rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
P27838	9088070	10298600	8429680	6375980	7374940	6546170	8540850	7321340	8021990	7652100	8134990	14058900	9473220	8101620	7219120	8273960	7237330	7297390	7676890	7728780	7652450	7299190	7637860	8211530
P46859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2434770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0A9E5	25000100	24622200	20898000	23582800	25696000	29216800	25749900	22999100	16370500	23235800	26890500	22461000	29662800	20842500	22740600	29118900	26285900	18159400	28940200	22939700	28131700	27998400	22389400	28281700
P0AG76	2873730	2218330	1983510	2406230	1830760	2549170	2500170	1684050	1173210	1722000	2262390	1892100	2227150	1744060	2028240	1980960	2003080	1304680	2115570	1945800	2252520	2186510	1791710	1923930
P0A6Z6	9601820	9204670	11143900	10003000	5854490	5085740	7509600	6920630	6660610	7090440	6662080	9830320	5942660	7165970	8347220	7336300	8444460	9408340	7162620	8605520	8803100	8592220	7664960	7213230
P0A6N4	168808000	159016000	165864000	162317000	140211000	178531000	173210000	119465000	111582000	124289000	175084000	275870000	162932000	125792000	154848000	172232000	151841000	141139000	158050000	153228000	165513000	166149000	148261000	165996000
P68567	2878260	1871930	2627510	2521130	2349060	2606020	3366690	2094760	2645950	2908180	2771260	3224890	3132250	2403450	2847260	3051270	2556870	1985650	2775290	2580860	2982880	2831140	2210370	2703530
P12281	24957600	20988400	30604000	27943100	29893200	27613500	26140700	24851600	26891900	27199100	27420500	17253900	27079300	29185600	29848000	30873500	26966600	31943700	29724100	30486300	28334700	28177100	28483600	29284000
P0AEE8	2412380	1897660	1534090	2188790	1500720	1960850	1977170	2175990	789899	1342960	1991620	1766730	2474820	1687890	2307510	1708510	1498710	1657620	2528120	1022100	2548550	2480230	1086940	2156430
P62617	36822900	37086900	33777200	32855500	38168200	30532600	30079500	37934600	37704700	35934100	35060600	48849600	34871000	35287400	33165300	31167400	32117000	31503400	28802100	31323800	29493600	32329100	32488900	31710000
P77808	3687850	3681490	5312120	5247810	4529060	4136210	4244840	4333580	3982440	4479740	3592470	1848020	3694900	4194330	5452530	5327900	5203180	5383500	4820160	5294530	5224450	4966660	5050950	4862300
P67095	15076300	13089300	14389300	11728900	13526900	10153100	12088300	14752600	15810700	13931800	11907000	17661000	13997700	14397000	14807500	13375800	13625200	13903700	10607300	13951700	12504700	13680100	14224200	11559100
P0AEC0	3057170	3245170	1918180	2129490	2114830	3418220	4157670	2271560	2009620	2561300	4293940	1891240	3077620	2687800	1920440	1995860	2308410	1192540	2643250	1992050	2419600	2316450	1471840	2273760
P39187	8875810	9060640	NA	1177700	7284520	7021900	12185600	8665140	9599770	8938380	9128340	14716900	8680270	8492930	1784220	2651470	1234750	1013500	929306	1065170	1098150	NA	1825710	630610
P0A6Y5	39029100	35220100	35277400	31129900	37012100	37529700	39245500	33115300	31479400	34767400	38322300	61544800	39326900	33340700	34732600	38707300	34692500	34501500	37061900	36313100	37401400	35249200	35647100	38177700
P0ABG4	2428350	2265020	1387340	2275670	1826640	2403720	2427220	1894020	1504350	1630630	2360830	1296250	2706150	1811480	2556890	2423010	2554360	1619940	2426090	1749190	2892120	3030730	2079100	2282010
P45469	7205160	7316850	5409900	4885490	7726880	9534510	8973330	8291450	6491430	7968710	6812180	6758630	7574910	7074190	5276380	5870880	5308200	5936460	5837220	5528490	5636200	5627240	5657270	5524540
