ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.0296492854970953	0.00351487400528543	0.000124047203483591	7.18150346703798e-09	1.18380992941476e-05	96.5197235915498	2.70316175021824e-16	6.2090200053579e-16	NA	P0A821
0.0296770748354145	0.000133056264608741	0.000953154477050771	2.61577745968994e-11	1.14911181137418e-08	124.09283714207	7.45903069141152e-22	2.2207162118435e-21	NA	P40120
0.0296853322221801	0.00172159357844848	0.00149143707692562	5.17242008961775e-11	0.173180249364275	83.6562798899216	9.603704345498e-14	1.97892098671133e-13	NA	P0ADA5
0.0297711774053083	0.00632161923793685	0.000324854400988891	0.123858515774278	NA	37.3974865787773	9.72435290769183e-06	1.32490682687049e-05	NA	P33371
0.0299960705758669	0.361638322055637	0.000266115982429926	3.18158669289335e-11	2.79038679751423e-08	108.641868789732	1.00215808608272e-18	2.63318362724168e-18	NA	P0A903
0.0302321362287193	0.00636740835269374	1.03961172931763e-09	9.52884771269611e-07	1.28627236543321e-13	145.570921493437	3.03273943372823e-26	1.12224918240644e-25	NA	P0ACX3
0.0307532538831407	0.00212388567316783	2.52982481111432e-07	9.87219564772697e-08	3.03723234963538e-12	134.954491912992	4.54511272547066e-24	1.53544420372023e-23	NA	P0AC51
0.0307965634122981	0.0511839516789845	NA	0.149301601646564	NA	NA	NA	NA	NA	P24197
0.0309010564168599	0.0524781467136492	0.000203886651170523	0.00138668104688383	0.685268467126018	43.7621128487191	3.63178892711998e-06	5.08327615898473e-06	NA	P76549
0.0309354308140083	0.0766882965987921	1.94184415856564e-10	0.0145849327355436	4.37307688076423e-05	85.3425940066256	4.46756721199887e-14	9.39286146265301e-14	NA	Q46864
0.0310018886848285	0.000532492240613865	3.53691323101671e-05	1.37865022061281e-08	0.61898939301843	79.6811268730965	5.79736269629509e-13	1.1497485283467e-12	NA	P0ABI4
0.031013610583101	0.901463265867521	0.556283820715688	0.0578337393316192	0.063830889396322	19.5304854898655	0.0340196413038012	0.0365674326222244	NA	P07639
0.0310938750786681	0.675150045105379	0.00409412349607233	1.49461772376474e-05	3.87452096171714e-07	70.4729919707977	3.5926313267329e-11	6.45945226957118e-11	NA	P0AD21
0.0312132506079845	0.00349895839526519	1.9287292452734e-06	0.000337952383409148	5.02571956745601e-06	84.9487983843692	5.34251404686897e-14	1.11380876392743e-13	NA	P0A7A5
0.0312295711945126	0.913905386926027	0.00553739228653681	0.405437590235714	0.0234984283993069	26.8125194484177	0.00278819012477844	0.00322603731585502	NA	P76658
0.0313280376251751	0.467746567896162	9.72844370418345e-06	1.20415705131765e-11	0.215020777806458	84.8864078870461	5.4960249817506e-14	1.14485151255761e-13	NA	P68699
0.0313306270237101	1.10994310387807e-05	4.55459908995387e-05	5.91713410295005e-09	0.46271873712979	89.1692266422337	7.8252818291384e-15	1.69992780242788e-14	NA	P76446
0.0313341213585412	0.954705080256416	0.818625069607653	0.40524527518442	0.992134146812301	9.24137851739469	0.509359473748326	0.514121777771176	NA	P30130
0.0313896237931469	4.71655505299751e-05	0.00101237972904881	4.94571712263135e-05	3.47572154224828e-05	81.0002061978239	3.19576094343986e-13	6.46178698905633e-13	NA	P0A8J8
0.0316701714573589	0.583864805117326	0.328365953667701	0.02825246093612	0.685762786068104	18.095781244231	0.0533692820936585	0.0568493897205294	NA	P0A823
0.031723899863286	0.995904486995525	1.10432348049674e-06	0.015852625773417	0.6614002247867	43.4577655563849	4.11802593021611e-06	5.74764383627128e-06	NA	P37908
0.0319383852512436	0.0135717271041687	0.00989736869593649	1.69102302644141e-06	1.29455437468207e-05	73.8082707809809	8.1123765767035e-12	1.52598719999658e-11	NA	P31678
0.0320203597342516	0.00762869359913979	2.2784774798716e-08	0.000529889476631652	1.99921159679004e-12	120.791011245357	3.49628046146946e-21	9.9899475095842e-21	NA	P0AFW8
0.0322848775132062	0.382699316409395	0.0255446151982866	0.165918095586213	0.00264106653357271	31.5876484509931	0.000468947797615726	0.00057501105258264	NA	P12281
0.0323288199973178	0.00660053425281796	7.04805779828461e-05	0.116804517658041	NA	40.3196555577866	2.79302261569079e-06	3.9269961238733e-06	NA	P23883
0.0324330766309154	0.343409471377492	2.29954001805392e-05	0.0985287249599456	0.00024983572710523	51.5794773883712	1.36497227938634e-07	2.05906814685071e-07	NA	P0AC62
0.0324853493629748	0.000540458372919274	1.40117468269232e-05	0.00067941262568665	0.00850633667954011	68.3737987225594	9.12667192471114e-11	1.60152129958005e-10	NA	P0AEJ2
0.0324899480482422	0.389547841260432	5.25527451339718e-05	2.17454260451043e-08	0.00025473540442789	80.2848678503196	4.41467663035323e-13	8.81160938357482e-13	NA	P0A912
0.0330056271404599	0.371148935200933	0.000128898708680687	7.16006133456734e-12	4.62073830427372e-06	102.612342722558	1.63301247606828e-17	4.0186025550818e-17	NA	P0AFS3
0.0330648987801754	0.0521589569891252	0.000202860426493956	0.69130134288613	0.0178203408482301	38.5246578599332	3.07438466871733e-05	4.09313519164886e-05	NA	P30847
0.0330655662315084	0.00303886123973975	0.000232488971394733	0.000102745319187191	0.134521908325095	57.522976990137	1.06296610223435e-08	1.69080386409218e-08	NA	P0AAS0
0.0331045618045833	0.00189172477375665	2.47879926477695e-07	0.0225778565933702	2.37919999164549e-05	78.6512373431256	9.22289883983157e-13	1.8060297964749e-12	NA	P12998
0.0332033838258564	0.0908674041392364	1.06873587954169e-07	0.000140978030322084	0.000171349376556447	78.7875779624823	8.67341265001429e-13	1.70650424801787e-12	NA	P0AC13
0.0332119644620678	0.650473526736132	0.356357461433967	0.955266753247707	0.882986469954013	10.0738615481294	0.434037245657514	0.43934548755304	NA	P04816;P0AD96
0.0333796459300544	0.133684920761807	0.822231292188387	0.555323537412119	NA	12.392032968716	0.13455069639375	0.140196969847117	NA	P39264
0.0339996092299372	0.000776738526271008	5.3496685907239e-06	7.99458611864432e-10	7.13042422542562e-10	129.377711049412	6.25688909766871e-23	1.96905648029295e-22	NA	P0A910
0.0340085828756017	0.0115855838867	2.01270751373441e-05	0.00160884586116836	1.08069688323327e-05	73.0402765630828	1.14357978802946e-11	2.13176322348134e-11	NA	P23878
