ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.360011110109607	0.0854918743702023	1.19828876042426e-05	0.021165141856522	0.0042688172053233	-4.74587374285759	2.0760818706599e-06	3.10164968393649e-06	NA	P0A6L9
0.360814155069703	0.00186140866704471	0.00989464774615645	0.000598132705929344	0.00206070801222189	-5.23053345092657	1.69021587526099e-07	2.65639264665316e-07	NA	P0A6V8
0.362411878743553	0.210727075025182	0.173589611436976	0.509915210294314	0.364344801749973	-1.08136603406209	0.279534324340192	0.29315736545143	NA	P12758
0.362786868566882	0.0883270547536147	0.000850068063935485	2.2809030513148e-07	0.805858324050124	-4.03451648778475	5.47148482580586e-05	7.61044614485452e-05	NA	P23837
0.363688971399162	2.03601553958495e-05	0.000430239297804391	7.91420865205397e-15	0.0265786027294419	-7.78099360295539	7.1957134391342e-15	1.57419420105399e-14	NA	P19319
0.366176303475462	0.777986650537474	0.688018274340919	0.796118251772519	0.533509065417629	0.816425981288323	0.414256541874156	0.42802684243507	NA	P77499
0.371007592353186	0.08347060194144	0.109679999000836	0.482731445678938	0.0612475189486658	-2.02462607364179	0.0429057748344535	0.0478679581652577	NA	P03841
0.371930936663072	0.996300422725425	0.00542878421811685	0.0155693645694218	0.00736933633579058	-2.14201977864851	0.032191890481646	0.0362401664476477	NA	P0A8E7
0.372879276503339	0.124993462454509	0.0646914758228891	0.0144039903109853	0.0360745068866809	-3.11951105688333	0.00181151461858029	0.00225607663682954	NA	P0A9S7
0.373892851756898	0.927555735569832	0.0454338511795683	1.5519782462956e-05	0.439770599155974	-2.17874674736015	0.0293504869268802	0.0330913802228503	NA	P17888
0.374000188948587	0.226061514949036	0.400723537876096	0.422048267473576	0.155305515364101	-1.13378898017844	0.256883074544662	0.270449952613413	NA	P77475
0.374393475882994	0.946373854329961	0.406230978025981	2.24851620355321e-05	0.000256694393358957	-2.90726074594915	0.00364609138689814	0.00443716831097228	NA	P30745
0.374798217311153	2.51909428325784e-06	0.000110915647417388	1.45957186384116e-07	1.35131236170942e-05	-8.00552414085186	1.18958891112624e-15	2.70558941372005e-15	NA	P28248
0.376879485850003	0.0732853067895658	0.00100663081514023	0.24302648858278	0.88671804464545	-1.94137671309148	0.0522126007586047	0.0579047574319908	NA	P76034
0.378082147118298	0.515493610577308	0.00264537060311466	0.26409452073164	0.0293554154209737	-2.49615755262027	0.0125546825261371	0.0146646030759367	NA	Q46948
0.37887195356219	0.191331695475964	0.09369167275563	0.254060211520941	0.595292754322377	-1.30603786022987	0.191539682833162	0.203448414893506	NA	P0A8H8
0.380846580339559	0.235516258261276	0.000302092074136719	0.381427467436218	0.0131408646576906	-3.12045277200992	0.00180573251121492	0.00225012770606849	NA	P25746
0.381112682829049	0.0615404734590144	0.652951707654166	0.102425465981785	0.366920459279905	-1.36807115523915	0.171289804516258	0.18245910638143	NA	P0A8R7
0.382920021666662	0.393517121596767	0.084067300502812	0.00508041491865821	0.00039993925486067	-3.51928085224069	0.000432718364655102	0.000565337828428558	NA	P0A8N3;P0A8N5
0.387799983483276	0.413814580165364	0.0167625863474484	0.000835432882713745	0.000310943860164789	-4.1115324140876	3.93041680619186e-05	5.5322470517342e-05	NA	P0AEX9
0.388407326283083	0.0456759555916532	0.00522122582844773	5.43182421411085e-07	1.94370445841909e-08	-6.66518587113867	2.6433060623301e-11	4.98375650168051e-11	NA	P26646
0.388687455536102	0.125954759896747	0.482908972246944	0.0103343094905704	0.478629157025254	-1.71680705461333	0.0860144315585818	0.0934467465184981	NA	P11557
0.38991215773912	0.00284166166622823	2.14910733773216e-09	7.05691109021014e-09	0.706665994230892	-6.28141940934132	3.35495702346512e-10	5.98278391913541e-10	NA	P0A786
