Symbol	metap	metafc	idx	ID
P0AEV1	0.00103054087305545	-0.0779262895656262	-0.232760744475779	P0AEV1
P64540	0.00103781685657639	-0.132854349476504	-0.3964213406109	P64540
P77804	0.00105486604653395	-0.0290272339995525	-0.086408348145304	P77804
P0AC86	0.00106879366405163	-0.0609115888773303	-0.18097479506586	P0AC86
P15288	0.00110004548092	-0.0579744903337684	-0.171522710180267	P15288
P76398	0.00111422070170878	0.219796693085233	0.649065959728293	P76398
P17445	0.00113908360427161	-0.0755620663433752	-0.222412740973291	P17445
P0AEK0	0.00116658453259209	0.208180657715701	0.610611311715798	P0AEK0
P24173;Q47689	0.00117545196051288	-0.112419897671494	-0.329367267064483	P24173;Q47689
Q7DFV3	0.00120318724549373	-0.161200822969544	-0.470652687815044	Q7DFV3
P0A6X1	0.00121252741164871	0.0608735087028218	0.177525926867922	P0A6X1
P77338	0.00121846352132929	0.0442363586678607	0.128913042073248	P77338
P17315	0.00122478433695415	0.289995459612751	0.84444948776416	P17315
P0ADT8	0.00122707696564358	-0.115011299334578	-0.334812636382977	P0ADT8
P0ACM5	0.0012287491470416	-0.0861522645816762	-0.250749333938277	P0ACM5
P15042	0.00123053893461782	0.0628676612785981	0.182938899294316	P15042
P0AAC8	0.00123956301486975	0.148624523321826	0.432011567320561	P0AAC8
P65290	0.00130322336752857	-0.0858644840178064	-0.247717417114729	P65290
P24555	0.00130468828166112	-0.0413211032593519	-0.119190442950983	P24555
P0AFU0	0.00132573344314118	-0.128445889906477	-0.369608672595187	P0AFU0
P0A9G4	0.00133334390926087	-0.0554273146396184	-0.159356734318922	P0A9G4
P04816	0.00135923838855124	0.0923544009392961	0.264752764606302	P04816
P0ADM0	0.00136529256028305	-0.515543856650669	-1.47691677884443	P0ADM0
P75828	0.00136787285507804	-0.020650021630264	-0.0591407175982693	P75828
P36929	0.00138769359699641	0.062354779411639	0.178191653167861	P36929
P39263	0.00139060328127266	0.0330085320980907	0.0942986672262466	P39263
P0ACS2	0.00139798974049736	-0.17733146039659	-0.506191947170785	P0ACS2
P76569	0.00140430972761511	-0.134971828692238	-0.385012148232096	P76569
