ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.000173919041929969	1.16460764948338e-05	3.19690323033861e-10	3.46229202059079e-08	1.39083003926558e-08	1.39083003926558e-08	1.93440814431483e-15	5.93855339777311e-15	NA	P0A7E5
0.000174844406572689	0.00139172561073676	1.72114165156321e-08	9.96673600030204e-10	6.84901767860548e-13	9.96673600030204e-10	9.9335826301706e-18	3.78084318474861e-17	NA	P0A6J1
0.000175345183849303	7.59189851908693e-07	2.1612396458616e-10	7.42900861938811e-11	2.59206776387462e-11	7.42900861938811e-11	5.51901690587425e-20	2.67349779985857e-19	NA	P05852
0.000183331621997401	0.00309690273301837	5.18707361772022e-05	8.60947553214222e-07	0.351204014308921	5.18707361772022e-05	2.69029415839086e-08	4.816702661183e-08	NA	P32176
0.000183865692525736	1.00937806007184e-08	7.12381243603628e-08	1.52853950257102e-07	0.00019433912626194	7.12381243603628e-08	5.07486963933405e-14	1.39185762902324e-13	NA	P76010
0.000184483652741534	3.17245247377678e-08	7.34164608739337e-10	9.67102887251432e-15	1.12211216932874e-13	1.12211216932874e-13	1.25913572055537e-25	1.15964845374606e-24	NA	P76237
0.000185826322380981	0.0304892851589535	2.51262500246561e-10	1.76914460156248e-06	6.56969562673558e-07	6.56969562673558e-07	4.31608439171805e-12	1.02107789309355e-11	NA	P76007
0.000193596795376971	2.04404306733542e-05	9.85076058510066e-08	3.6779957247309e-10	NA	NA	NA	NA	NA	P37326
0.000195616963180697	1.63510646753049e-06	2.69096091723658e-10	3.85937150775533e-13	1.21924988857602e-10	1.21924988857602e-10	1.48657029043014e-19	6.81750883193166e-19	NA	P19636
0.000199787102271584	0.973871052837491	0.000861194465188654	0.0020559744615073	NA	NA	NA	NA	NA	P77245
0.000200613466704771	1.81320245328015e-07	7.57050253684533e-09	8.88337411158081e-15	9.63931587312083e-11	9.63931587312083e-11	9.29164104838861e-20	4.35035411428738e-19	NA	P33195
0.000201959289599637	0.000587832773403829	1.75549593787524e-06	3.91716841195125e-06	5.38712209500806e-09	1.75549593787524e-06	3.08175516785536e-11	6.79597786923773e-11	NA	P42620
0.000203521498194473	0.222943000536558	1.07307488982717e-10	6.49725921566511e-10	NA	NA	NA	NA	NA	P36881
0.000205831637791925	4.10769470923149e-06	NA	NA	NA	NA	NA	NA	NA	P76394
0.000207506376154812	0.118831427344762	2.98849245292066e-12	7.83855797519999e-13	3.49516748311613e-10	2.98849245292066e-12	8.93108714111033e-23	6.12842902918076e-22	NA	P00954
0.000209384980853473	0.650039030910781	0.290707669636443	0.115721087607543	0.000464584810007995	0.000464584810007995	2.15638564477179e-06	3.37246056813366e-06	NA	P0AFH2
0.000210525763382979	9.3030611891184e-05	1.65972598898645e-10	1.5293268240407e-06	9.35673658079424e-06	1.5293268240407e-06	2.33883338103549e-11	5.22908002673069e-11	NA	P77258
0.000210537807016377	0.0377407529511088	4.89260178563081e-07	0.00050941867183825	0.000290179929550065	0.000210537807016377	4.4307506461828e-07	7.24855259222011e-07	NA	P76341
0.000212647047130164	1.27126427417722e-06	4.65736642565768e-10	1.14770343218425e-11	1.93511464898221e-11	1.93511464898221e-11	3.7446687045606e-21	2.09514214020166e-20	NA	P34209
0.000215566368422139	0.000555067247124526	5.92208523667529e-08	9.1044972731431e-12	1.09114633194362e-09	1.09114633194362e-09	1.19060031511578e-17	4.48579714685037e-17	NA	P0A7T7
0.000218886120371709	5.19702383305901e-07	3.11787512387481e-10	1.68477050629973e-11	4.197078761181e-09	3.11787512387481e-10	9.72114528201551e-19	4.11265087734418e-18	NA	P0ABJ1
0.000221640547275791	0.00045505153552072	9.25580122147825e-09	1.47261215014268e-10	1.90244860723183e-11	1.47261215014268e-10	2.16858654410915e-19	9.72604546235728e-19	NA	P0A744
0.000222004711526618	0.900988188886641	2.05853218833928e-05	5.35112110650806e-06	0.000146170300710865	2.05853218833928e-05	4.23738031026453e-09	7.98926464563775e-09	NA	P0A890
