Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P75746	-0.125605243629678	-0.177087202987182	-0.0741232842721743	19.398511142559	-4.84124840237571	4.77524968535962e-06	8.07088469209139e-06	1.95939132283761	P75746	5	-4.79777881934983	5.5546590812808e-06	9.34913190196549e-06
P0A8W0	-0.145085560487743	-0.205589625661283	-0.0845814953142039	20.5326848847364	-4.75821761550026	6.68157385965071e-06	1.11661957477398e-05	1.63312203490415	P0A8W0	12	-4.79639419671294	5.5859869501959e-06	9.3962739489035e-06
Q46925	0.155328131943598	0.0914929774271878	0.219163286460009	19.2153449484848	4.82830692132239	5.03297762222269e-06	8.47612114724118e-06	1.90830768698241	Q46925	4	4.79613553894533	5.59185822349689e-06	9.40056450755326e-06
P21515	0.234872174910169	0.140331092434405	0.329413257385934	17.6989094768426	4.92964519537266	3.32795804034501e-06	5.69616034595932e-06	2.31055373340927	P21515	2	4.7873562916225	5.79473173381225e-06	9.73583711479079e-06
P75767	-0.1790169782753	-0.252481485576479	-0.105552470974121	19.6859969661131	-4.83527652160507	4.89254352995959e-06	8.264194948279e-06	1.93580816172075	P75767	3	-4.77534981790376	6.08379024783248e-06	1.02154271599133e-05
P0A8Y8	0.309902731157166	0.179532854325632	0.4402726079887	20.5802021059291	4.71685811083817	7.88903861138328e-06	1.31144264878603e-05	1.47191899367734	P0A8Y8	4	4.75015943919546	6.73647205455128e-06	1.13046546451895e-05
P23524	-0.270113032249512	-0.380011989664007	-0.160214074835017	16.3687084354664	-4.915202777005	7.0627564076629e-06	1.17684893408438e-05	1.72448834979412	P23524	3	-4.90862349025314	6.80863992083621e-06	1.14189926634404e-05
P45523	-0.2209017482473	-0.314303686153365	-0.127499810341236	24.7653338529731	-4.69297163984232	8.68020563968146e-06	1.43958184920552e-05	1.37922412067538	P45523	19	-4.7465106501107	6.83647698773668e-06	1.1458890676307e-05
P30750	0.148208282034403	0.0856067082813663	0.21080985578744	21.9605574634759	4.69777146768703	8.51528426052395e-06	1.41388678836031e-05	1.39782658882856	P30750	13	4.73958950713824	7.03014343565208e-06	1.17765302167639e-05
P67662	0.211414645866082	0.12612787404978	0.296701417682384	18.9119952163768	4.91878746471516	3.47954320502031e-06	5.9448321143105e-06	2.26721236267354	P67662	2	4.73462862297524	7.17222344188423e-06	1.20074302566377e-05
P0ACL0	0.114766032539311	0.0669923927641595	0.162539672314463	20.6710659924952	4.76683041428533	6.4537343427074e-06	1.07981808062675e-05	1.66680245237903	P0ACL0	6	4.73111852299473	7.27443222871835e-06	1.21713461226369e-05
