	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P02942	-4.974314549103734	19.668778205079853	2.373481733067475	-1.13785055607579	-1.5937666147156393	-0.6819344974359408	7.365795144867569e-06	4.234753338614048e-06	74.9	2.0	-5.028921494046645	3.275363518221253e-06	5.767137609266574e-06
P02942;P07017	-15.700828288055359	19.404590771971403	44.50807415224469	-2.4412361419855984	-2.751440319914354	-2.131031964056843	1.0804910892431007e-23	1.9926625746432314e-24	70.9	2.0	-15.843411186442312	5.413594176057394e-25	3.0037054507853332e-24
P02942;P07017;P07018;P50466	-12.341537335278538	20.496160244583802	29.733892868708054	-2.6578572207952433	-3.0888289883259383	-2.2268854532645483	2.161428127629395e-17	5.888627102867369e-18	60.9	2.0	-12.503427838649824	1.8141604024956465e-18	6.807262427713022e-18
P02943	-3.207774369079235	21.934301509977676	-3.6870491471423765	-0.2973060968391934	-0.48131161523228716	-0.11330057844609961	0.002589532692177303	0.0018252451878497374	96.9	11.0	-3.2427464741230168	0.0016242133530844454	0.002320420573792798
P03004	0.8332219280823671	21.269198716923984	-8.271768157712021	0.025158600585541535	-0.03478690604311408	0.08510410721419714	0.44353091958916335	0.40681529683588646	96.9	15.0	0.8416875454771559	0.4020353216343231	0.4391557137882743
P03007	3.658966711034065	18.37793780967642	-2.356727912853529	0.17747154615099703	0.08086369732955467	0.2740793949724394	0.0006916328747464856	0.00046575905781041715	77.9	3.0	3.641425609751203	0.00048621833381616325	0.0007212658495936142
P03018	-2.1347528759717203	20.897734674098118	-6.372934731494285	-0.06917688270591782	-0.13351142651967246	-0.004842338892163192	0.043827151876680154	0.03536176068289597	96.9	17.0	-2.158476703193117	0.03336103311269551	0.041491154561966656
P03023	-0.6791112619569584	19.421114089399822	-8.388780322076986	-0.025027678907456163	-0.09819387681103021	0.04813851899611789	0.5339731880701171	0.4987231243099871	96.9	5.0	-0.6795609806649968	0.4984026423611546	0.5336300542557912
P03024	5.285386379959401	19.501229257439153	3.7441611661221312	0.14919877761903422	0.09315603647330666	0.20524151876476177	1.4702538590694215e-06	8.011163185987765e-07	96.9	2.0	4.783821327674359	6.15067290833599e-06	1.0608058154557795e-05
P03030	-3.31567464119159	17.27676599413215	-3.396817930309961	-0.2065606628637724	-0.330850645281756	-0.0822706804457888	0.0020966415361629914	0.0014624495800619958	70.9	2.0	-3.2423654576202727	0.0018081095175927855	0.002571593417222129
P03813	-6.623690893784662	20.494647666833536	9.588751333062898	-0.19285216468291821	-0.2506558204851387	-0.13504850888069775	4.589686367603398e-09	2.1096846873091415e-09	96.9	4.0	-6.548437444430204	2.7867189454246193e-09	6.01687506843943e-09
P03817	-3.8454012125990293	21.68306945914327	-1.6806894551674505	-0.23177276735317776	-0.35143348214941694	-0.11211205255693858	0.00033357826633808864	0.0002179968342013845	96.9	2.0	-3.7871504067172825	0.00026436641298675984	0.00040174152886469927
P03819	-1.4537086998671396	18.05822400832651	-7.565458195035699	-0.07046662127550718	-0.16670247523517132	0.025769232684156956	0.17330236170182098	0.1493317940336683	96.9	2.0	-1.4118977120088056	0.16118333597316997	0.18690477557358673
P03841	-2.884548473087125	21.910205647241522	-4.592763260460066	-0.2549187266800885	-0.43036928095345584	-0.07946817240672122	0.006631287017049528	0.004852443695675432	96.9	5.0	-2.911831389527226	0.00445940397319663	0.0061263308902408595
P03960	-4.083451262141903	22.040974098892917	-1.9590641040421533	-0.2512822108212731	-0.3793528987780943	-0.12321152286445194	0.0008040461245554126	0.0005437070545369468	22.9	3.0	-4.003505435290638	0.0005614636519358893	0.0008294481091292317
P04036	33.770419731640764	23.683131272580084	114.1173627232179	1.1351722601936416	1.0684368772609452	1.201907643126338	3.591428744137532e-53	1.2673036958935101e-54	96.9	23.0	34.19396288869814	7.029839067644773e-56	2.0126429250666984e-54
P04079	20.440522813644517	23.664330427798728	72.12886353203992	0.6650010760574077	0.6004116844447056	0.7295904676701097	1.9030557128620562e-35	1.675061263154866e-36	96.9	52.0	20.73401210364036	2.1110176575570554e-37	2.4079057982413743e-36
P04128	-1.158392838852857	23.570466737916572	-7.948124620831979	-0.1387911393761101	-0.37665952353193866	0.09907724477971849	0.28091556685260866	0.24961550893225165	96.9	2.0	-1.163530444103837	0.24747144655613143	0.2788955133613227
P04335	-1.0224019990819282	22.072762580316464	-8.096061849310555	-0.02458971889355155	-0.07233854724449969	0.02315910945739659	0.3445789383615164	0.3091943041043435	96.9	22.0	-1.0360482455501858	0.3027582385168552	0.33753770906298924
P04391	4.19904166569191	22.265950145062458	-0.4536537796339353	0.2856108258573329	0.15057303440289513	0.4206486173117706	9.653775242289293e-05	6.052576514114313e-05	96.9	9.0	4.24111125635683	5.086943635979045e-05	8.181977320116858e-05
P04391;P06960	7.3759118592176245	23.67062289210855	13.092322512069131	0.3452243834826447	0.25230280261323956	0.4381459643520499	1.496629371942559e-10	6.147524070570903e-11	96.9	14.0	7.454210544986795	3.821608926766958e-11	9.375549577835306e-11
P04395	0.5419263750498395	18.31235122114908	-8.47305553790994	0.036986172412447615	-0.09851091098469217	0.1724832558095874	0.6210280912326962	0.589141563320993	96.9	2.0	0.536779615202764	0.5926501845880613	0.6247266121044254
