Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
Q46856	-0.292757238168434	-0.409717706695848	-0.175796769641021	19.4564769321117	-5.21422869526865	3.94073421524065e-05	0.00015457035118227	1.13081983792717	Q46856	18	-5.43510042712743	1.84952639165658e-05	7.68746695370807e-05
P30138	-0.65895659453545	-0.91521773602406	-0.40269545304684	20.1546303973499	-5.35667854984504	2.83913738838888e-05	0.000115766725472755	1.46338370267002	P30138	9	-5.43086212210657	1.86834564498702e-05	7.75318313547754e-05
P0AAG3	-0.726156172525073	-1.00643477102295	-0.445877574027195	16.6169437442591	-5.39711447091122	2.58772862487348e-05	0.000106868215806073	1.55751733418108	P0AAG3	7	-5.42555886537534	1.89216773356487e-05	7.83941519195605e-05
P0AF50	-0.691615368198811	-0.959996779809185	-0.423233956588437	20.9164553156097	-5.3682623941913	2.76467276630672e-05	0.000113268071840579	1.49036322294334	P0AF50	8	-5.42252394107405	1.90593905378934e-05	7.88379605395688e-05
P0AC28	-0.437175280991758	-0.580680165909032	-0.293670396074483	15.1169331104058	-6.34615165599738	3.09112416938656e-06	1.60030173613724e-05	3.72337416059721	P0AC28	5	-5.42014581379832	1.91680116613068e-05	7.91602020051083e-05
P0ACA7	-0.390124061496163	-0.545198603019569	-0.235049519972756	18.5774380086411	-5.24063320584498	3.70785359379444e-05	0.000146326779650969	1.19256974414414	P0ACA7	16	-5.41862823272427	1.92376555987382e-05	7.93207015647173e-05
P76329	-0.7461719335335	-1.04317060335811	-0.449173263708891	15.88281536255	-5.23366521598116	3.76791539694041e-05	0.000148469693851918	1.17627880899231	P76329	14	-5.4121938151304	1.95358057029892e-05	8.03267754334053e-05
P23845	0.541564831881189	0.323929981946887	0.759199681815491	21.2867752810482	5.18374401967003	4.22817550584652e-05	0.00016459227006898	1.0594715313917	P23845	23	5.41201838214203	1.95440000763466e-05	8.03267754334053e-05
P64479	-1.15656035980453	-1.6080717648956	-0.705048954713448	17.3592225089719	-5.33606500236123	2.97673730002886e-05	0.00012080396885314	1.41534868013017	P64479	5	-5.40877241045491	1.96962487284331e-05	8.0823619384032e-05
P11875	0.235503636497569	0.136206165771804	0.334801107223334	19.7542484219575	4.94061445233505	7.43375316195723e-05	0.000274059826872157	0.488516691701007	P11875	33	5.40498409149286	1.98754590692185e-05	8.13769220422611e-05
P37624	-0.532631504249846	-0.746849228113415	-0.318413780386276	17.5266039335755	-5.17956137298549	4.26924345211947e-05	0.000165940277166092	1.04967757741876	P37624	22	-5.40458905549183	1.98942417099823e-05	8.13769220422611e-05
P0AG82	-0.676767894463776	-0.948685873430658	-0.404849915496893	19.0750537369709	-5.18469672057639	4.2188775434612e-05	0.000164478781081687	1.06170219182591	P0AG82	23	-5.4011774938473	2.0057201680102e-05	8.19134845160427e-05
P20083	0.201402184443644	0.119829059128334	0.282975309758955	17.2742787826608	5.14326152770985	4.64312952198509e-05	0.000178321084622289	0.964633468082071	P20083	18	5.38666051540656	2.07659255737548e-05	8.46737186765285e-05
P00562	0.450465926319779	0.266974337769083	0.633957514870476	19.7099927396468	5.11407766108157	4.96773674629425e-05	0.000189376591644975	0.896203260535434	P00562	31	5.38208480510597	2.09945416064499e-05	8.54706693836041e-05
P77735	-0.539446071054666	-0.756940588397051	-0.321951553712281	20.5342120827735	-5.16679527774202	4.39711365037637e-05	0.000170307857826712	1.01977812389034	P77735	20	-5.38090895168552	2.10537022084511e-05	8.55763258535938e-05
P75876	0.324839038782198	0.197911375221783	0.451766702342613	18.3467931926276	5.33130420551694	3.00947039671867e-05	0.000121748904432402	1.4042503072138	P75876	13	5.37825288642671	2.11879600951591e-05	8.59864144334253e-05
P0A759	-0.365802983378764	-0.504778751772573	-0.226827214984955	19.7910919602324	-5.48314451574524	2.12559026702539e-05	8.95040215379809e-05	1.75736752600144	P0A759	10	-5.36779037214282	2.17253234032685e-05	8.80285509594698e-05
P38105	-0.86912662888588	-1.21248047975383	-0.525772778017929	16.4040368828182	-5.27305944145257	3.44090166561354e-05	0.000137689496774629	1.2683380211559	P38105	7	-5.35614882508597	2.23395202132337e-05	9.03087012069631e-05
P0ADY7	0.370115995774004	0.246275210282573	0.493956781265435	23.5674124875197	6.22580752768335	4.02320007486609e-06	2.02101103176022e-05	3.45396397762226	P0ADY7	6	5.35580081811571	2.23581495421197e-05	9.03087012069631e-05
P06282	0.337880996861166	0.2299666331325	0.445795360589833	16.808208470806	6.52237921935741	2.10839528879962e-06	1.1295914052467e-05	4.11482652598067	P06282	6	5.35191457376926	2.25672599623623e-05	9.10106868904658e-05
P05704	-1.05289326866758	-1.41478050259573	-0.691006034739425	18.0936012853312	-6.08045042854062	6.87771605221397e-06	3.2700875030545e-05	2.96849992349486	P05704	2	-5.41090107842706	2.28683029706224e-05	9.20806511801468e-05
P0A9D4	-0.278522243168897	-0.380589355220061	-0.176455131117733	17.6121335495834	-5.68454345481263	1.3451235808044e-05	5.9559853397473e-05	2.22277963427833	P0A9D4	10	-5.32056731731086	2.43282184062339e-05	9.78062696300543e-05
P11289	-0.770932336912789	-1.04522062000674	-0.496644053818837	13.4259492190649	-5.85504907917766	9.16283139405612e-06	4.20153318549513e-05	2.61387449547243	P11289	3	-5.31772751012872	2.44944783841758e-05	9.8321294074799e-05
P37773	0.295690216882925	0.176189858201391	0.415190575564458	19.4887316728661	5.15453247625131	4.52360744994699e-05	0.000174250170381366	0.991047944848368	P37773	16	5.31647570295542	2.45681324826379e-05	9.84635729514119e-05
P0ACN4	0.394179550137572	0.239560953738509	0.548798146536635	18.9047240109316	5.31072601380532	3.15522566316548e-05	0.000127245955148317	1.35625943534225	P0ACN4	11	5.31431468922862	2.46958116911587e-05	9.88215942983166e-05
P0AA16	-0.354704117942916	-0.499831862209577	-0.209576373676255	20.4319425189049	-5.09140117745538	5.23580753274776e-05	0.000198713932428439	0.842997405412695	P0AA16	19	-5.31345894684724	2.47465573560722e-05	9.88711291575162e-05
P16456	-0.39253004167621	-0.552925941268259	-0.232134142084161	21.158925132398	-5.0980157398556	5.1561300278734e-05	0.000195978570528462	0.858520181847264	P16456	18	-5.3028545737315	2.53842443911088e-05	0.000101261916092705
P0AEX5	-0.368307212441707	-0.507890753699959	-0.228723671183454	17.6820867648724	-5.4966431718289	2.0611185859346e-05	8.69313027160959e-05	1.78867091212973	P0AEX5	9	-5.29464899172736	2.58890992037655e-05	0.000103116242114534
P31133	-0.680147403869903	-0.958010101078646	-0.40228470666116	20.478699689088	-5.09910941310007	5.14307498211202e-05	0.000195771111209788	0.861086529946191	P31133	17	-5.29097431178651	2.61184760518434e-05	0.000103869309854322
P76483	-1.94475160189221	-2.66573799611928	-1.22376520766514	14.4547794371886	-5.70599479882815	2.93343007559297e-05	0.000119234216164087	1.71683773798303	P76483	2	-5.58700667695724	2.65428579743536e-05	0.00010539436825872
P14175	0.536560936662173	0.315467459382502	0.757654413941845	22.0797475717461	5.05550628394256	5.6905078224168e-05	0.000215021094697479	0.758718529087475	P14175	24	5.28053820298934	2.67812076925882e-05	0.000106177188036615
P0ADZ7	-0.320526347998086	-0.435814798233245	-0.205237897762928	22.0833571222996	-5.79161210757108	1.05656590280908e-05	4.76842439849214e-05	2.46869678847124	P0ADZ7	8	-5.27048913784073	2.74354733548155e-05	0.000108604016644178
P0A9A9	-0.80191661300962	-1.12530153241528	-0.478531693603965	20.432260544543	-5.16572140824214	4.40804583509572e-05	0.000170307857826712	1.01726255413775	P0A9A9	8	-5.26110714695801	2.80609300749621e-05	0.000110909534974198
P32669	-0.571981299974071	-0.792385259891193	-0.35157734005695	15.879747963969	-5.40609870278373	2.5350193058418e-05	0.000104859466310663	1.57841535283686	P32669	6	-5.24578409258043	2.9113693391827e-05	0.000114894315269124
P37794	-0.492860025412948	-0.678512291549155	-0.307207759276742	17.3396447883634	-5.53025139018013	1.90912333225397e-05	8.14538216426903e-05	1.86654229716599	P37794	6	-5.23334599021489	2.99976250774889e-05	0.000118201651108087
P33218	-0.508856227268023	-0.711699760895727	-0.306012693640319	17.9033034607348	-5.2258321860405	3.83661589036369e-05	0.000150715840693098	1.15796157897766	P33218	9	-5.2278179693269	3.03991648667931e-05	0.000119600989101871
P76422	-0.380935007602993	-0.534447299306347	-0.227422715899638	19.7099725849001	-5.16927056211975	4.37201962594685e-05	0.000169679135181702	1.02557627602296	P76422	12	-5.21871060401315	3.10726124582797e-05	0.000122064210830773
P39297	-0.807484815837888	-1.12702712530445	-0.487942506371329	16.4150765533829	-5.26414117821741	3.51231128033987e-05	0.00014032908789823	1.24750646046606	P39297	5	-5.21786188694735	3.11361361088505e-05	0.000122127584098185
P37634	0.237211139554763	0.139749142861172	0.334673136248354	18.910937533355	5.07015584346521	5.5002802688186e-05	0.000208138359071153	0.793123247615195	P37634	16	5.21357718188283	3.14588465463359e-05	0.000123205847340285
P60560	-0.369176258918895	-0.521733654719545	-0.216618863118244	18.7308963399355	-5.04106191127235	5.88460983407366e-05	0.000222029861528665	0.724784489756714	P60560	16	-5.21165191998011	3.16049525547838e-05	0.000123590231765824
P0AFB5	0.394341173402434	0.247305400432701	0.541376946372167	16.4671507329779	5.58689679249369	1.67832401818543e-05	7.26897646195606e-05	1.99757336246935	P0AFB5	7	5.2098414959622	3.17429707723336e-05	0.000123941872242884
P64461	-1.85419573935335	-2.56523049369328	-1.14316098501341	16.1119982322988	-5.49154340909223	3.63568257797583e-05	0.000144095741226995	1.40924301816763	P64461	2	-5.40766895392993	3.22474057502999e-05	0.00012572097521713
P00957	0.279484445992221	0.158261194449397	0.400707697535045	21.8283882843063	4.80278613000248	0.000102559562524838	0.000363543318605925	0.163623554832582	P00957	61	5.2019166037127	3.2354350103563e-05	0.000125947371928825
P0AAG0	-0.354821277515352	-0.502861685839061	-0.206780869191643	20.5781881055269	-4.9928775388425	6.58204813624958e-05	0.000246181974559001	0.611508027646233	P0AAG0	18	-5.19563498355552	3.28474214027029e-05	0.000127673913958922
P42588	-0.856683305693862	-1.13539946864169	-0.577967142746036	15.9381399232091	-6.42366398527226	3.31989978387569e-06	1.69749637758882e-05	3.71450519639875	P42588	2	-5.25485500317209	3.29172779023124e-05	0.000127752748726294
P33219	-0.794328307057022	-1.11715956934789	-0.471497044766156	20.1512691420523	-5.12561507812724	4.83673895049079e-05	0.000184655944820959	0.923262144576326	P33219	7	-5.19213659166759	3.31253180264518e-05	0.000128366833916039
P0ADB7	-0.940182431263882	-1.30140357193552	-0.578961290592239	23.2934664128631	-5.42201238182277	2.44432477106563e-05	0.00010159717637155	1.61541636019159	P0ADB7	3	-5.18814729172509	3.34451176057205e-05	0.000129411513618531
P0A9C5	0.259159285182456	0.147210738902248	0.371107831462663	22.287101325445	4.82247348270647	9.794409825183e-05	0.00034910365310507	0.210073196264871	P0A9C5	29	5.18694459485662	3.35421431320984e-05	0.000129585240474667
P0AD68	0.310431913674549	0.181094436828698	0.4397693905204	17.6604861509013	4.99992524370098	6.4750238904641e-05	0.000242884083926142	0.628083661355499	P0AD68	17	5.18634542845855	3.3590586199875e-05	0.000129585240474667
P0AB52	-0.729925877175038	-1.02595985307131	-0.433891901278763	18.3986866231421	-5.13639879808604	4.71747138113887e-05	0.000180906603410638	0.948546301530222	P0AB52	7	-5.18001695966234	3.4106594855307e-05	0.000131379215160129
P0A881	-0.738508730671839	-1.03833009353217	-0.438687367811504	21.710452144938	-5.13114861241885	4.77516049060677e-05	0.000182575498283289	0.936237260650993	P0A881	7	-5.17833366185062	3.42451937355113e-05	0.000131716215308078
P0ADK6	-0.709665241591463	-0.988922285940918	-0.430408197242007	13.9790164263911	-5.29384145772119	3.28017352354544e-05	0.000131872186742225	1.31685984456564	P0ADK6	5	-5.17759246406035	3.43064029969674e-05	0.000131754993328145
P0AAZ7	-0.948748373334986	-1.33848614572034	-0.559010600949632	20.0800111026744	-5.07107552884287	5.48855550899014e-05	0.000208000110980406	0.795282755558067	P0AAZ7	7	-5.17530197098795	3.44962565640701e-05	0.000132286983877394
P00946	-0.451017023800979	-0.641806602294529	-0.260227445307429	20.3043061372827	-4.9244736675739	7.71874664036806e-05	0.000282545597900973	0.450507655697158	P00946	24	-5.15529105751623	3.62008339195846e-05	0.000138617457668305
P62768	-0.66223682523113	-0.938513227110339	-0.385960423351921	21.7353657450641	-4.99333920139838	6.57498288656098e-05	0.000246181974559001	0.61259389438777	P62768	13	-5.15018915340867	3.6648909411767e-05	0.000140124984501667
