rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P31460	13162100	13965200	12894600	13369600	12911900	13289800	12881500	12182900	12438900	12694400	8993310	8699160	9160910	8865480	8882510	8491530	8652820	8629230	8539090	8826810	12105400	12347300	8992090	8250210
P77285	1356360	1500330	1477950	1352690	1336010	1505410	1493570	1448310	1378130	1511410	1510720	1459930	1543420	1551120	1398850	1471670	1474020	1545360	1490930	1434410	1396500	1497990	1506910	1622550
P37902	51884100	63871400	62717200	65109700	59451500	54915200	61800700	57772000	64155300	51648500	32739000	30927100	36884100	29539500	32968700	32268200	30903800	30997300	30868700	27791200	59238400	60970200	29534400	29438700
P77316	19209800	36031700	22207900	26879800	29577500	17841500	32595700	39407600	33604200	17398500	4221810	4304750	4475650	8234650	5232790	5796850	4593170	4761570	5076030	4084680	18618000	21906100	4879450	4786770
P76193	10044500	9995490	10653000	10975400	10548300	10495100	10226200	11304800	10616900	9702330	9196610	9330050	9690270	9000770	10440400	9780190	10146600	10009400	9657230	8660340	11662300	12027100	9266690	11049400
P06846	3273060	3186040	3186410	3260390	3166650	3290800	3104830	3138870	3197110	3102780	2929600	2747520	2699810	2746010	2879960	2606070	2785200	2873060	2820160	2782830	3168660	3100740	2962130	2818310
P18843	16779500	17400400	17413100	17054100	17452400	16514200	18047300	16803600	16280400	16078100	28316000	29098200	28924400	28214000	27389200	27436200	28294400	31620300	27170800	28066500	18280200	16866000	27028200	26999200
P0A749	11365000	11403500	10756100	11827500	10787800	12600200	10916700	11626700	10674500	11841100	11812700	10941200	10871300	11537800	11731300	11171600	12396000	11526600	11322500	11096700	11124900	11704700	10715800	10599500
P24175	2311240	4086910	2933190	2539410	3194010	2673750	3707410	2667340	3149540	3224000	2534540	2522430	2202280	2619830	2682310	2593780	2410620	2744820	2150590	2036730	3104260	3419950	2328280	2443040
P26281	1022190	1094110	1262830	1115730	1052780	1166930	1171610	1089880	970655	948719	1182570	1213900	1187180	1129460	1383410	1360080	1092580	1168770	1179810	1118150	1166410	1220450	1172820	1120320
