ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
GAPDH	2.85513727929213e-47	1.78254724067541e-22	4.40324695717157e-13	-18.0272143341996	1.19144958624494e-72	7.79612672659897e-72	NA
EPCAM	3.3747561413282e-47	9.02552417813111e-23	1.32274809215426e-18	-18.9714514931406	2.93684397188973e-80	2.21733851114229e-79	NA
FBP2	3.40156718960237e-47	2.86572908180179e-21	6.62374612466589e-12	-17.6333188795224	1.36701812978616e-69	8.45699071928671e-69	NA
GBP2	3.76986322855335e-47	1.70081641540333e-75	1.79009608473505e-49	-27.402252802197	2.57813710316491e-165	8.59709564786146e-164	NA
PDZK1IP1	3.77923869352641e-47	7.22970182199556e-16	0.000398881450541593	-14.843000280953	7.72234179802115e-50	3.35602523252348e-49	NA
MRPL16	3.8563611984515e-47	0.0429187452786	6.31052963695276e-06	-11.8107021359803	3.43679169813012e-32	1.02512559711427e-31	NA
THEMIS2	3.93195568928573e-47	5.50954784032756e-62	1.132503875167e-08	-21.092888682253	9.24409772910489e-99	9.33743619161236e-98	NA
MRPS30	4.07037252518384e-47	0.0279356724898729	0.57282082649864	-9.2936784475806	1.49046205075649e-20	3.13775135088436e-20	NA
NASP	5.0797007829582e-47	6.5939767207713e-22	7.2096668276455e-31	-20.4346667718656	8.22522656352272e-93	7.6406479613295e-92	NA
ACSM2A	5.17270547977201e-47	2.42421036077111e-87	3.50356149140401e-50	-28.2768650077654	6.6548567918367e-176	2.76948520249076e-174	NA
MRPS6	5.63160132537726e-47	4.69272822527273e-34	1.00573545556811e-17	-20.1777883127753	1.53460462043617e-90	1.37638159232913e-89	NA
IVD	5.68131257457433e-47	5.48818899798524e-73	1.03802244711485e-26	-24.8324273796314	4.00398859533788e-136	7.57409042652642e-135	NA
NAGLU	6.77342304027112e-47	1.5761127049664e-34	2.29436393651427e-06	-17.9642231180684	3.71441787556584e-72	2.41530022358669e-71	NA
ALDH1B1	8.96673470682698e-47	3.747779729686e-67	1.29713937466749e-36	-25.5019781511677	1.87412961333382e-143	4.11359588546942e-142	NA
ATP6V1C2	9.72560599368765e-47	1.88040511646411e-15	0.62642987447255	-12.6141969854556	1.76345938919263e-36	5.86167140100964e-36	NA
MRPL1	1.09786897072047e-46	0.0214493435181255	0.0273512539412359	-10.5341506094017	6.01235831072182e-26	1.51239303348041e-25	NA
COX1	1.10693227502279e-46	2.76351322620059e-32	9.20107186721283e-12	-18.9301867579162	6.43338966764736e-80	4.82226124655642e-79	NA
CDK18	1.10743665012934e-46	4.78880080037876e-42	1.22496680028365e-32	-22.9059969169498	4.04886419063727e-116	5.63160201061366e-115	NA
PFN1	1.2333764253269e-46	5.87871046845834e-17	1.33166794365664e-32	-19.8662267809008	7.97789429376693e-88	6.89385483657401e-87	NA
NMNAT1	1.28989236577468e-46	6.78078119621563e-07	0.487592800906807	-11.0568250748222	2.03162130641956e-28	5.51016373096692e-28	NA
EMILIN2	1.41722076031583e-46	4.10333714563622e-05	0.572425316249901	-10.4140755649648	2.13865174879454e-25	5.2755377271359e-25	NA
MPP5	1.5540646558886e-46	4.00121245774996e-11	1.10440770118763e-07	-14.9862544175659	9.03043153009699e-51	3.99798338889911e-50	NA
SFXN2	1.63548910150084e-46	2.39101690906907e-92	1.58563123609037e-13	-24.1952839491493	2.4941406782491e-129	4.2125064312506e-128	NA
NNMT	1.76319702902026e-46	8.42369466105805e-68	5.93792895546269e-62	-27.8246910324001	2.18092184021052e-170	7.8785801477605e-169	NA
NAT8	1.91318929117492e-46	3.48279631451582e-82	3.35053742703928e-39	-26.8318528065978	1.37371246802711e-158	3.8419635799339e-157	NA
MRPL18	1.98616090701072e-46	0.00143516717640005	0.607007507137505	-9.79659841580818	1.16440946833019e-22	2.64971918383798e-22	NA
MRPS23	2.06250389832753e-46	8.09928580732415e-07	2.38353816909023e-09	-14.3799270105424	6.91674609888794e-47	2.85562803225517e-46	NA
NEBL	2.10727545358086e-46	2.8107295472493e-54	2.03849933466027e-28	-23.508212885017	3.3615501743518e-122	5.15834336489029e-121	NA
LGALS9	2.34462771888935e-46	3.97811878281989e-22	1.07595569869091e-22	-19.3884024953684	9.66936822316249e-84	7.8348992985812e-83	NA
FOXRED1	2.75236715448891e-46	1.4806095403915e-69	4.43058518997755e-13	-22.5006964299109	4.08596266612081e-112	5.18418970467328e-111	NA
LYPLAL1	2.82282273157376e-46	2.12237504469277e-35	1.23910169646948e-27	-21.6073783958786	1.53097880384592e-103	1.65574880199719e-102	NA
SLIRP	3.01470763341775e-46	5.6893392460332e-13	3.85338673895428e-17	-17.1344017496859	8.21940051162473e-66	4.79880151082737e-65	NA
RDH12	3.04239780774456e-46	1.89210176445962e-19	1.64464939726944e-06	-16.063972737435	4.56362190129165e-58	2.30485059519603e-57	NA
MRPL38	3.27851657744612e-46	0.0967261039268287	4.54037040622748e-21	-14.3587622473921	9.38890051710957e-47	3.86706733887601e-46	NA
RNASE6	3.30549070047921e-46	1.70383346314987e-61	1.12867380534118e-16	-22.4790529203396	6.65438326907744e-112	8.38162270356921e-111	NA
CYP27A1	3.69152827471496e-46	2.15465932415479e-30	1.08342633505618e-16	-19.5288473710428	6.24326879969197e-85	5.16335203433985e-84	NA
KIAA0391	3.94454893915769e-46	2.08290586721153e-41	1.19923743228415e-07	-18.9391409609933	5.42754243039911e-80	4.08597333182868e-79	NA
CLPX	4.15238661341214e-46	2.01431313434157e-31	3.15977010828635e-13	-19.0538385771428	6.10565017326506e-81	4.69846038481137e-80	NA
ATP6V1E1	4.76615271359425e-46	9.2348097989183e-117	7.39895808837662e-50	-29.9856711994542	1.50893572982566e-197	1.04659782220708e-195	NA
COX7A2	4.86590678521709e-46	9.77822834366516e-113	2.6791505442751e-48	-29.6094157131741	1.1303951607409e-192	6.60709620918446e-191	NA
NDRG1	4.99833261872851e-46	1.91696174709492e-75	6.86518251670567e-38	-26.182556510975	4.19913312762332e-151	1.02553476666181e-149	NA
SMTNL2	5.02962722247599e-46	6.49801585882497e-09	0.00787219315913618	-12.8716490251915	6.49994323747389e-38	2.22305750962125e-37	NA
PACSIN3	5.32768165714067e-46	1.1918550930544e-11	6.05343412942679e-07	-14.8515503824691	6.79781466913085e-50	2.96166096388766e-49	NA
PDZK1	5.49729402364462e-46	1.17401868258264e-62	3.15556147541636e-39	-25.347356535506	9.61020254996864e-142	2.04886367479249e-140	NA
FAHD2A	5.53117025477418e-46	1.59486617953361e-62	1.41487067382374e-14	-22.1930585871968	4.00786776650006e-109	4.78186424801223e-108	NA
MRPL48	5.62298141446074e-46	3.62443557854157e-17	8.67590299148116e-08	-16.0238981334659	8.7019723581986e-58	4.37368697655547e-57	NA
KCP	5.91059486985859e-46	8.05328980682117e-23	0.905300625272006	-13.0674734916305	5.05155689593224e-39	1.77675449443134e-38	NA
COX2	6.33730303734106e-46	3.83774134530816e-114	7.49717197777556e-59	-30.5917098719855	1.57775272330931e-205	1.34548683059918e-203	NA
OXNAD1	6.47331049045211e-46	1.66829925178858e-19	1.66585351907486e-06	-16.0399260983851	6.72343148147888e-58	3.38579773152499e-57	NA
MTTP	7.02153150183593e-46	1.0111589983547e-09	6.66425807754798e-17	-16.417901962323	1.42406200691407e-60	7.5746120245061e-60	NA
NDUFB6	7.4841152913621e-46	5.02035539504516e-75	3.19658208847908e-35	-25.8555456293952	2.10766773882065e-147	4.87292781215335e-146	NA
PIP4K2C	1.01481546426178e-45	0.000541605104189671	1.58813763417064e-24	-15.9153818067356	4.95637288022805e-57	2.45786956367458e-56	NA
ARHGEF1	1.04679731105858e-45	1.36404212755803e-32	9.07991214913617e-51	-23.6204602609651	2.37549521735599e-123	3.69979823972631e-122	NA
HLA-E	1.1453372196621e-45	5.42176129599868e-33	4.46250024254114e-12	-18.9750683697559	2.74154601442826e-80	2.07289569288602e-79	NA
ENTPD1	1.18258915075036e-45	1.2205928059513e-27	2.44156707517639e-05	-16.758187264098	4.93440823811771e-63	2.73654495252541e-62	NA
PARP14	1.20288815516059e-45	1.34635590267453e-53	3.03196424085757e-69	-27.1636697922084	1.7459246681744e-162	5.47126513484531e-161	NA
SLC5A10	1.40239168256364e-45	1.60736168513787e-93	2.98996521900611e-44	-28.0049349824413	1.41481841089354e-172	5.37217910472129e-171	NA
HLA-F	1.50872563422353e-45	5.47678481244115e-42	2.35971484225456e-19	-21.1085548622478	6.63712182743969e-99	6.73027441449147e-98	NA
MCAM	1.53094340236355e-45	1.15862460094981e-62	8.17989256097994e-26	-23.7987797380844	3.43835990536438e-125	5.52047784805726e-124	NA
UQCRH	1.54811938280651e-45	1.33506985723293e-106	1.09457917216752e-48	-29.2313170512007	7.75897554645631e-188	4.11859089721079e-186	NA
RBM47	1.866909264386e-45	2.48859839818661e-09	1.85036332092418e-18	-16.5334420795165	2.10756935106927e-61	1.13260080209322e-60	NA
MRPL3	1.90331500136516e-45	4.54615516911376e-08	1.03475599306829e-07	-14.2240666153316	6.49653587359047e-46	2.61571049647195e-45	NA
PGAM1	1.9580936764362e-45	9.51666041978335e-30	2.89734329084516e-16	-19.3173788452349	3.83642676952327e-83	3.06090368942638e-82	NA
PML	2.07717170773494e-45	6.68541688696373e-48	1.8295924646465e-24	-22.3591634551772	9.833866181116e-111	1.21222208232619e-109	NA
CAD	2.22169753689839e-45	1.35126738074896e-17	1.90746878308305e-43	-20.9685274510368	1.27138482281988e-97	1.25497985736414e-96	NA
