ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
SCAF4	0.361043590877177	0.000710503970958756	0.0154227645023521	0.0154227645023521	0.00070624802580141	0.000872039456496305	NA
SPOUT1	0.361957617304005	NA	NA	NA	NA	NA	NA
NAT14	0.447866152353425	5.3672144365192e-11	NA	NA	NA	NA	NA
TRMT6	0.362085411899826	1.15714726222853e-05	0.0100956173232128	0.0100956173232128	0.00030370654670759	0.000385149062889537	NA
UBAP2L	0.362598191888535	2.95416410691545e-46	3.33250464187906e-22	3.33250464187906e-22	3.33167615644363e-43	1.69582968354401e-42	NA
MFAP4	0.363258323334561	5.61991599456585e-05	0.00291899216678255	0.00291899216678255	2.5511803174555e-05	3.44797090449559e-05	NA
ALS2	0.363270415252714	0.353810486908379	NA	NA	NA	NA	NA
ZNF672	0.671531373287091	NA	NA	NA	NA	NA	NA
AKAP11	0.36582707357383	1.14964197282537e-20	NA	NA	NA	NA	NA
WDR24	0.36624093042277	1.01093766545347e-05	NA	NA	NA	NA	NA
LEO1	0.367394488529891	1.34773319526182e-08	0.155737876375097	0.155737876375097	0.0652082363812774	0.0709206033149498	NA
KLHL26	0.473447122728349	NA	NA	NA	NA	NA	NA
CRTAC1	0.368346064547125	1.37051293732395e-06	2.418930906378e-26	1.37051293732395e-06	5.6349119856324e-12	1.0756995284132e-11	NA
KANK2	0.368348218758087	3.02624344320434e-14	2.39156464835799e-08	2.39156464835799e-08	1.71587441282521e-15	3.81941749915136e-15	NA
PADI6	0.955151622966608	NA	NA	NA	NA	NA	NA
HSD17B2	0.574076309180545	0.283126214372166	9.22311910226759e-10	0.283126214372166	0.19509030844375	0.205105049418834	NA
SCRN1	0.369604605695595	1.13778402057978e-06	0.0110429327881302	0.0110429327881302	0.000363145802674227	0.000457073424996693	NA
FANCI	0.3812086594402	0.0200207234561872	NA	NA	NA	NA	NA
KRT74	0.371523441247031	0.545019256734593	0.998577836651682	0.545019256734593	0.567346401032428	0.577560856784871	NA
ITM2C	0.819398249068757	0.0681501438625872	NA	NA	NA	NA	NA
FITM2	0.400959082484154	1.54884210640169e-05	NA	NA	NA	NA	NA
CLIC2	0.371609914149372	1.41765613909005e-05	1.37093541285052e-12	1.41765613909005e-05	6.02918980344099e-10	1.04546151191667e-09	NA
ABCA6	0.799146935339296	0.814454339385676	NA	NA	NA	NA	NA
TRIM41	0.489726732277339	0.00603715372320134	NA	NA	NA	NA	NA
SELENON	0.687931501689355	NA	NA	NA	NA	NA	NA
ARHGAP6	0.374362221783218	8.84925836334825e-07	NA	NA	NA	NA	NA
SP3	0.374673605928702	3.67486344534891e-05	NA	NA	NA	NA	NA
C1GALT1	0.37467468906927	0.0132925111239205	NA	NA	NA	NA	NA
CLIP1	0.374805992117729	0.528574368700474	3.49058317191879e-11	0.374805992117729	0.316133454659455	0.327138697262479	NA
PGRMC1	0.37499619723017	0.002816443517272	0.00108299039507565	0.002816443517272	2.37523802034661e-05	3.21435696718081e-05	NA
CPTP	0.374999255201441	NA	NA	NA	NA	NA	NA
CPSF2	0.375318964478265	4.82998760476034e-16	0.0012237196883041	0.0012237196883041	4.48880461094177e-06	6.3504926804784e-06	NA
UPF3A	0.375588781238548	NA	NA	NA	NA	NA	NA
CCDC106	0.647809600011714	NA	NA	NA	NA	NA	NA
FAM135A	0.642308264705415	NA	NA	NA	NA	NA	NA
MEPCE	0.376884862469327	0.469270629239774	0.176843684968962	0.376884862469327	0.319059488984661	0.329969674293878	NA
