Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0AEY3	-0.0182198012852481	-0.172576513846615	0.136136911276119	24.9420664566335	-0.245343562545921	0.808551923598462	0.848322297497845	-7.74987892115651	P0AEY3	7	-0.245598476997016	0.808219475236033	0.848327113915386
P0AFR4	-0.0234183314489229	-0.227665707650486	0.180829044752641	25.1778993033917	-0.238317543668904	0.813925259872981	0.852183809941886	-7.75165030532428	P0AFR4	11	-0.244411262272841	0.809127399086597	0.848926078991649
P38506	-0.0219448547944907	-0.205144497646868	0.161254788057886	22.7196700290054	-0.248980102042289	0.805774561500339	0.846201975479658	-7.74894198762225	P38506	4	-0.241734913776771	0.811175144621215	0.850719932921499
P08401	-0.0330361178505818	-0.295639217037997	0.229566981336833	21.1715371524236	-0.261484356035708	0.796244839643175	0.838555757900365	-7.7456157856958	P08401	2	-0.241001143896666	0.811736813252398	0.850954418557387
P52102	0.0271388344632513	-0.199521332023113	0.253799000949616	20.9373454391235	0.248869995706299	0.805858615504465	0.846201975479658	-7.74897055708898	P52102	3	0.239421916430242	0.812945993189652	0.851867221006808
P69490	-0.0192038225158058	-0.184252166153612	0.145844521122001	21.1132362882602	-0.241842745768259	0.811228075246422	0.850067054702433	-7.75076793679915	P69490	5	-0.237803323780856	0.814185808514674	0.852811352489152
P0A776	0.0745420666141854	-0.587864842987631	0.736948976216001	20.9912698124947	0.234602901298284	0.816880784340002	0.854922633756251	-7.72552038553058	P0A776	2	0.236981126273253	0.814914856463226	0.853219922511623
P24251	-0.0366023038498646	-0.383626776959928	0.310422169260198	25.7131669957285	-0.219232466609525	0.82856780327056	0.866433386303281	-7.75620352939657	P24251	13	-0.225809294528791	0.823388321179672	0.861733224286583
P76340	-0.0351107512651581	-0.341447593911545	0.271226091381229	21.6156349549544	-0.239738362769338	0.813076374569057	0.851649286221522	-7.69857980612226	P76340	2	-0.223390759248449	0.825442430684903	0.86348655122614
P00582	-0.0202476508892104	-0.213809787617257	0.173314485838836	25.4251584560945	-0.21742565556441	0.829957440063948	0.867451602213851	-7.75661499956825	P00582	50	-0.222737060234039	0.825749753198776	0.86348655122614
P0A7J0	-0.0144400959483804	-0.155510410484629	0.126630218587869	25.4231554145649	-0.21276049693857	0.833548088491223	0.869473907473024	-7.75766173173044	P0A7J0	13	-0.218435377224227	0.82905901045924	0.866520317457698
P0AE12	0.0158843159082984	-0.140720022674756	0.172488654491353	24.0648549618201	0.21082459653115	0.835039197892671	0.870668459443187	-7.75808945745873	P0AE12	21	0.218071004969738	0.829339469509573	0.866520317457698
P06709	-0.0145653848908225	-0.154253170167615	0.12512240038597	22.7003500559983	-0.216730526167321	0.830492223387759	0.867451602213851	-7.75677240035507	P06709	8	-0.217603564075638	0.829699294986891	0.866536566590044
P45522	0.0573087536200241	-0.496975251996932	0.611592759236981	18.0921139861641	0.217064313477191	0.830575431599277	0.867451602213851	-7.65963247266558	P45522	2	0.216074712362957	0.83117374826931	0.867716434837766
P37325	0.030023667973186	-0.239756423090047	0.299803759036419	19.1630434687933	0.231318519184695	0.819287302649908	0.857084846537747	-7.75336398522319	P37325	2	0.214328318125297	0.832221571327784	0.868295877624642
