Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0AFI0	-0.867041948408557	-1.10042251588317	-0.633661380933944	15.102139777464	-7.67877905112709	2.55547030943543e-08	1.6224934239411e-07	7.3032202924478	P0AFI0	10	-7.87832648224475	2.55547030943543e-08	1.6224934239411e-07
P00959	0.29657808788842	0.210710430224904	0.382445745551936	17.8950700386081	7.13881615819522	2.63588018769017e-08	1.66978567395474e-07	6.06238864063736	P00959	52	7.86509465467761	2.63588018769017e-08	1.66978567395474e-07
P25748	-1.29407142534948	-1.59988417057696	-0.988258680121992	12.7422219318599	-8.74620030894148	2.69280112453113e-08	1.69952580287681e-07	9.64501072785266	P25748	2	-7.85597554075061	2.69280112453113e-08	1.69952580287681e-07
P76559	-1.22259726878147	-1.49407871163682	-0.951115825926109	12.0439876922952	-9.33078953829121	2.6948848310959e-08	1.69952580287681e-07	10.5152142881474	P76559	2	-7.97799685134206	2.6948848310959e-08	1.69952580287681e-07
P0ABJ1	-0.867906556943776	-1.10602224994779	-0.629790863939763	18.9291917696692	-7.53358519993106	2.81885788491797e-08	1.77374115571066e-07	6.97320312324241	P0ABJ1	17	-7.83646384013517	2.81885788491797e-08	1.77374115571066e-07
P06864	-2.69762581700241	-3.34830991466223	-2.0469417193426	11.0379950612299	-8.69778592238474	2.85417557534806e-08	1.79196457614837e-07	7.92249383994936	P06864	2	-8.59827376965405	2.85417557534806e-08	1.79196457614837e-07
P05852	0.406382671881822	0.30494771172344	0.507817632040204	16.2719795745277	8.28064700886012	3.04248382053508e-08	1.90594708668631e-07	8.64202175525849	P05852	10	7.80395211212265	3.04248382053508e-08	1.90594708668631e-07
P77596	-0.744888000180886	-0.910064391442531	-0.579711608919241	16.0477450695785	-9.32094097542808	3.19068886935562e-08	1.99435741080122e-07	10.8441623818491	P77596	3	-7.78372652164603	3.19068886935562e-08	1.99435741080122e-07
P0ADH5	0.99942819645149	0.790822385508938	1.20803400739404	11.8010692202181	9.90243383217947	3.20391252214688e-08	1.99819234511771e-07	12.014263854451	P0ADH5	2	7.78196884731674	3.20391252214688e-08	1.99819234511771e-07
P0A843	1.57247120299396	1.17352496630643	1.97141743968149	11.820069137751	8.14676298477542	3.40290545081305e-08	2.11761378936909e-07	8.34830870442695	P0A843	2	7.7563802488397	3.40290545081305e-08	2.11761378936909e-07
P45524	0.476374435811907	0.350167155256305	0.602581716367509	15.3271835736112	7.80154812460152	3.41486390337407e-08	2.12037474528888e-07	7.58014498775298	P45524	12	7.75489165375126	3.41486390337407e-08	2.12037474528888e-07
