Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P39453	0.056034730376938	-0.209915777272714	0.32198523802659	13.4167432032025	0.440559527819126	0.664431961295034	0.73772284204281	-7.85259369809606	P39453	8	0.450470450222886	0.656901950700841	0.729776203296293
P0A6E1	-0.0535420935081472	-0.307780160979102	0.200695973962808	15.3961695398898	-0.4403549723083	0.664577517760945	0.73772284204281	-7.85268741055025	P0A6E1	8	-0.449033524405685	0.657921814648619	0.730621787089147
P0AFP2	0.0541058851605367	-0.19701697782709	0.305228748148163	14.2255782008159	0.45051202487428	0.657366613428527	0.731443387045768	-7.84798268875304	P0AFP2	5	0.443918646027788	0.661557648050609	0.734370596735425
P77804	-0.0500647727428607	-0.300953006477458	0.200823460991736	18.9183303968103	-0.41725359784044	0.681102515828553	0.753401294437851	-7.862996079608	P77804	47	-0.442665107926934	0.662450017369622	0.735072239313089
P0A8I8	-0.0329269032585309	-0.187848367563896	0.121994561046834	16.1075662510335	-0.444413690770232	0.661691996378044	0.735966206290506	-7.85082002948509	P0A8I8	10	-0.441631848675101	0.663185960792369	0.735599824539533
P64606	-0.152412069098474	-0.88320873582536	0.578384597628411	13.9558114769223	-0.436084786848464	0.667619182723006	0.740066126480067	-7.85463395791672	P64606	2	-0.440620332628744	0.66390675503155	0.736110198747192
P0A9Q5	0.0367970454782807	-0.151063543669131	0.224657634625692	18.3865074118207	0.409567422133666	0.686637995546866	0.759226977065133	-7.86630502681382	P0A9Q5	19	0.427182206775312	0.673513998035761	0.746469203474485
P28631	-0.0325903743274463	-0.190004371333319	0.124823622678426	15.0959962917675	-0.432906530478397	0.669886899422333	0.74215794584883	-7.85607068130781	P28631	9	-0.426322666236768	0.674130473167955	0.746859339437547
P0AD21	-0.156749771533773	-0.940246699102723	0.626747156035177	14.9021362867591	-0.418328789464816	0.680329644142268	0.752841267655863	-7.86252838528665	P0AD21	2	-0.424901811582353	0.675150045105379	0.747695579363761
P0AFF4	-0.121702390335278	-0.711042807747021	0.467638027076465	12.3827092394459	-0.437163127670817	0.667736717518134	0.740066126480067	-7.76106295713927	P0AFF4	2	-0.424489063605873	0.676131197119608	0.74848863217004
P0A6Q6	0.0596981411793358	-0.251225397606093	0.370621679964765	20.4132084768559	0.401472074207515	0.692487830654479	0.764199153485052	-7.86972474243526	P0A6Q6	13	0.419062362530448	0.679346988885036	0.7517538779825
P75958	-0.0913429011174411	-0.562731825747872	0.380046023512989	14.0459865600659	-0.405175859067281	0.689808928168981	0.76154042734527	-7.86816848208661	P75958	5	-0.418457432709195	0.679782377915219	0.751941024376255
P0AG96	0.133063693290064	-0.551369376086965	0.817496762667092	13.0444319409673	0.406515138854247	0.688841273184928	0.760769556305919	-7.86760228327327	P0AG96	2	0.408454018442018	0.686998676661739	0.75936137393075
P0A855	-0.0302410739361072	-0.192244406251427	0.131762258379212	19.3177462547141	-0.390320532180086	0.700578587413932	0.771319271289257	-7.87432551766179	P0A855	22	-0.408214962285222	0.687171505733441	0.75936137393075
P37774	-0.0430757365969541	-0.263767288781227	0.177615815587319	16.483677096762	-0.408126823014025	0.687677529253915	0.760078803371059	-7.86691848690359	P37774	7	-0.408040932337713	0.687297334195113	0.75936137393075
P30860	0.0634486099866152	-0.28090110094804	0.407798320921271	20.3514664389053	0.385274729735948	0.704251615317578	0.773854693251689	-7.87636534120252	P30860	19	0.404686402451231	0.689724561784707	0.761741927302007
P24252	-0.0358288511029521	-0.224537671298994	0.15287996909309	14.6259165265258	-0.396998456105673	0.695729086141888	0.767029470823047	-7.87158573069766	P24252	11	-0.404317843322642	0.689991448313929	0.761741927302007
P08622	0.0198655227860165	-0.0878532404582805	0.127584286030314	17.9355472973361	0.385617535880392	0.704001836792093	0.773854693251689	-7.87622758526431	P08622	23	0.401179053935313	0.69226602638049	0.763954380030677
P31825	0.0471162096019793	-0.18576942837553	0.280001847579488	12.7521285210006	0.42303448695281	0.676951356310825	0.749396562219432	-7.86046756452192	P31825	4	0.400280257093745	0.692917904302113	0.764375063183268
P0A6X3	-0.0367367003916961	-0.230320107962394	0.156846707179002	18.8913572724484	-0.396807754957282	0.69586738819003	0.767029470823047	-7.8716646049546	P0A6X3	9	-0.399409672167299	0.693549553088538	0.764685729665445
P0ADQ7	-0.0788711953791577	-0.503868079340289	0.346125688581974	17.0215589011087	-0.388043856695543	0.702234935548019	0.772841565856432	-7.87524912491901	P0ADQ7	5	-0.398974215966678	0.693865581939225	0.764685729665445
P0AE12	0.020456101042857	-0.0929652866416941	0.133877488727408	17.8917608665737	0.377116937896115	0.71020572333459	0.779487354332251	-7.87960792620259	P0AE12	28	0.398772670167624	0.694011871505855	0.764685729665445
P14900	-0.0329566065149365	-0.211337433890921	0.145424220861048	16.6253150836738	-0.386315779620907	0.703493182712857	0.773770629390321	-7.87594662436132	P14900	14	-0.397308988500007	0.695074633238225	0.765138980558443
P75858	-0.0593817890043926	-0.308435110451341	0.189671532442556	11.5132534733769	-0.498550406394831	0.623736231068798	0.701409835229479	-7.8243111083122	P75858	2	-0.396914400267036	0.695361249039769	0.765138980558443
P0A894	-0.0239013952814737	-0.153331618550983	0.105528827988036	17.507607032603	-0.386131906246525	0.703627116244456	0.773770629390321	-7.87602066029104	P0A894	18	-0.396822329745296	0.695428132725627	0.765138980558443
P0AE91	-0.0534187039435636	-0.334419962522773	0.227582554635646	15.5284575896974	-0.397496415673847	0.695368002819723	0.767029470823047	-7.87137959816402	P0AE91	5	-0.396713769777257	0.695506998262579	0.765138980558443
P76193	-0.0338760041002928	-0.214905683464082	0.147153675263496	18.4433936383867	-0.391282594600873	0.699879119871705	0.770849701449959	-7.8739336273329	P76193	10	-0.394704491225097	0.69696731476536	0.766446922467826
P0A8G6	-0.0529736389997701	-0.350696046754521	0.244748768754981	20.5335555667051	-0.372045811938929	0.713916651674417	0.78295169876837	-7.88158914903989	P0A8G6	20	-0.390658936121373	0.699911216886264	0.769384693066099
P0AFH6	-0.0929580470841209	-0.604671776596721	0.418755682428479	13.7265612603918	-0.379846436854876	0.708211400745575	0.777600698174769	-7.8785306057784	P0AFH6	3	-0.384784913796727	0.704194276430031	0.77379168740794
P64610	0.0686151146530882	-0.321243377072022	0.458473606378198	14.6519693734723	0.368011110214057	0.716874381963966	0.784976058420411	-7.88314656735634	P64610	7	0.381036220807798	0.706932920949242	0.776236322014556
P0AF08	0.0250683816597288	-0.118856995885146	0.168993759204603	17.7489598375582	0.364197580097886	0.719674198280355	0.787519637071535	-7.88460321826192	P0AF08	23	0.380987180507882	0.706968774865948	0.776236322014556
P76393	0.0693329322225935	-0.271136291987483	0.40980215643267	13.3135211175434	0.425804102727344	0.674966278530866	0.747492066890653	-7.85924405656594	P76393	2	0.378876984660274	0.708512221634759	0.777628649007602
P0A8V6	-0.0232529808149913	-0.154923934520913	0.10841797289093	17.0900049890468	-0.369263844692145	0.715955542931097	0.784578367573697	-7.88266479672447	P0A8V6	16	-0.376400718609165	0.710325057204555	0.779315447375937
P0A8H3	0.134451608512514	-0.628282010683879	0.897185227708907	12.1566238352072	0.369936464988531	0.715681112501203	0.784578367573697	-7.85661585383366	P0A8H3	2	0.374330973252712	0.712020837023992	0.780872560681846
P33360	0.0424287562296648	-0.198556255879224	0.283413768338554	13.9346172921405	0.368144573415902	0.716776470062747	0.784976058420411	-7.88309531754604	P33360	7	0.371056204675128	0.714243670564838	0.783006259967043
P0A8A8	-0.0927410518495062	-0.625357156806832	0.439875053107819	15.6847755425287	-0.3640875748336	0.71975502240851	0.787519637071535	-7.8846450148199	P0A8A8	3	-0.369897313932745	0.715094443424445	0.783634733500439
P17444	0.0435856934292893	-0.21134140656341	0.298512793421989	13.2370968383893	0.35750003556879	0.724601216740764	0.79220822147732	-7.8871252451687	P17444	9	0.366678662981325	0.717459328688306	0.785921312729161
P04391	-0.091108001449232	-0.640734495501874	0.45851849260341	17.9843805715959	-0.346606733876993	0.732641099680498	0.799450720826015	-7.89112853439341	P04391	9	-0.363024394140662	0.720147801893973	0.78830386102913
P76280	-0.0891260553098263	-0.577473594217609	0.399221483597956	11.434829771339	-0.384578652930946	0.705241677962189	0.774641189640304	-7.80629803377978	P76280	2	-0.363458927691175	0.720192620911882	0.78830386102913
P45532	0.199162380611979	-1.02765805118888	1.42598281241284	12.2295744464919	0.349965743809544	0.731852616434407	0.799211414797508	-7.67322043844915	P45532	2	0.363267297352013	0.721343467652542	0.789257633727539
P31063	0.0372178254581463	-0.187119326229666	0.261554977145959	18.1695478867694	0.346894910725598	0.73242799536584	0.799450720826015	-7.89102420439443	P31063	15	0.360606752512141	0.721928521861921	0.78932396456041
P36979	0.043754155461901	-0.222692390404429	0.310200701328231	17.4585547238092	0.343366044937703	0.7350390898196	0.80113870692804	-7.8922958793826	P36979	20	0.360245162497122	0.722194991028805	0.78932396456041
P75966	0.0322011072330426	-0.14668078260226	0.211082997068345	15.1686478758081	0.376402557652153	0.710728043607928	0.779757573872878	-7.87988862475697	P75966	6	0.360180553246789	0.722242607798902	0.78932396456041
P05194	-0.0197408773755008	-0.139561418074122	0.10007966332312	16.4875151669915	-0.344495307696673	0.734203159054087	0.800743733760625	-7.89189033145246	P05194	19	-0.354202937203419	0.726653052245863	0.793602024067535
P25728	-0.0611945043716542	-0.375113873079154	0.252724864335846	11.9393752190397	-0.407607760896798	0.688052239879459	0.760195432480279	-7.86713900200686	P25728	2	-0.353852722582397	0.726911752972732	0.793602024067535
P0A7A9	0.0194891483489386	-0.0988916947961062	0.137869991493983	20.9117598263979	0.344238600665318	0.734393155254964	0.800743733760625	-7.89198263720741	P0A7A9	19	0.353733059899914	0.727000154483964	0.793602024067535
