Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0C058	-0.056069958303457	-0.189400276463185	0.0772603598562713	17.8654573026214	-0.867982125636645	0.393596434451766	0.425476519485242	-8.06736996146665	P0C058	5	-0.868161762958678	0.393596434451766	0.425476519485242
P69380	-0.0297042911076026	-0.0880604387481342	0.0286518565329289	22.7547244667229	-1.05061123848388	0.393811169557746	0.425542937599184	-7.89175050161968	P69380	3	-0.867761856636415	0.393811169557746	0.425542937599184
Q46829	-0.01619827714077	-0.0566218887421802	0.0242253344606402	23.1735890981362	-0.827071730608121	0.39524295940542	0.426923912571768	-8.10242146419614	Q46829	40	-0.865098972967769	0.39524295940542	0.426923912571768
P33634	0.0563248131636449	-0.0648188340525924	0.177468460379882	17.3223976344873	0.959640524235504	0.396442608114709	0.428053162242875	-7.98310034362295	P33634	2	0.862872592349112	0.396442608114709	0.428053162242875
P30128	-0.0347866011700617	-0.118215574425923	0.0486423720857999	21.0789697759993	-0.86060638392376	0.398559643480048	0.430171683631654	-8.07380704208955	P30128	8	-0.858954170530903	0.398559643480048	0.430171683631654
P0AE52	0.0257424685154817	-0.0378648067797493	0.0893497438107127	24.5982993271014	0.835319965791437	0.398997432990283	0.430476826265459	-8.09548284184262	P0AE52	29	0.858145527392622	0.398997432990283	0.430476826265459
P29131	-0.0218464447507785	-0.0763856225144942	0.0326927330129373	21.8426401118455	-0.826764173182499	0.405338921311904	0.437148735649513	-8.10267893188038	P29131	21	-0.846495023846084	0.405338921311904	0.437148735649513
P51024	0.0399710202619019	-0.0585951676462847	0.138537208170089	21.6472077643047	0.837002466130567	0.407340472693159	0.439136758134451	-8.09405950230977	P51024	9	0.842841858884577	0.407340472693159	0.439136758134451
P76576	0.0232588355496866	-0.0352897913261609	0.081807462425534	22.4813561393385	0.819937440800915	0.410674622968887	0.44255929866523	-8.10837054551966	P76576	19	0.836781600203051	0.410674622968887	0.44255929866523
P23873	-0.064733689757297	-0.222612175364408	0.0931447958498145	18.639912317765	-0.846285450193679	0.412656813671542	0.4445228229539	-8.08615786562822	P23873	3	-0.833193402300188	0.412656813671542	0.4445228229539
P0A7I7	0.0253029531759807	-0.0388356408639203	0.0894415472158818	23.3149180996876	0.814256511584998	0.414631278870318	0.446476505098527	-8.11307285800397	P0A7I7	18	0.829629949160592	0.414631278870318	0.446476505098527
P0ACU0	0.0382749571312786	-0.0580633751429878	0.134613289405545	19.7908329538095	0.82002114873675	0.41704530595623	0.448901810521324	-8.10830102628506	P0ACU0	9	0.825287622739726	0.41704530595623	0.448901810521324
P41039	0.0607149981018225	-0.0893377764861005	0.210767772689745	19.4858852882537	0.835144104499659	0.420382848977895	0.452318910373115	-8.09563145870601	P41039	3	0.81930990143066	0.420382848977895	0.452318910373115
Q46865	-0.212291365809264	-0.760390508577198	0.33580777695867	18.1403996534175	-0.8012810351454	0.425350644707977	0.45748678407956	-8.10110160175812	Q46865	2	-0.811031952719883	0.425350644707977	0.45748678407956
P0A898	0.0380982982507057	-0.0370167041344964	0.113213300635908	21.5872476840517	1.04685939778408	0.426302829527794	0.458333328725467	-7.89566769831222	P0A898	2	0.808779168729074	0.426302829527794	0.458333328725467
P37637	-0.0878768147061351	-0.316786867357392	0.141033237945122	21.4935185294213	-0.792353362798359	0.427120072861523	0.458964421926118	-8.13091297778809	P37637	17	-0.807332558657156	0.427120072861523	0.458964421926118
P33228	-0.172923193665245	-0.621653536928787	0.275807149598298	17.2701687069323	-0.803905881833693	0.427220484962928	0.458964421926118	-8.02367339979444	P33228	2	-0.809726956714705	0.427220484962928	0.458964421926118
P18392	-0.022694255798914	-0.0803759683458567	0.0349874567480286	19.3510416547036	-0.812058401580868	0.428310527836014	0.459957456585213	-8.11488401431104	P18392	10	-0.805228381824254	0.428310527836014	0.459957456585213
P0ADM8	-0.0490247837460061	-0.176672398340955	0.0786228308489429	19.1921192944412	-0.792706551262185	0.432092538467728	0.46383947671555	-8.13062896457866	P0ADM8	7	-0.798567363973121	0.432092538467728	0.46383947671555
P0AF10	0.088783070308228	-0.136095881933962	0.313662022550418	18.7004746455691	0.814874663665631	0.432354077847022	0.463940827252931	-8.11256269042314	P0AF10	2	0.798108060041748	0.432354077847022	0.463940827252931
