ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P0A8G3	4.22457023638646e-06	6.36664191723222e-07	0.000259076101525277	3.45129824209081e-11	4.87343990306929e-08	-11.0115970119338	3.35994402940672e-28	1.42565580916263e-27	NA
P0AGD1	4.31832108093036e-06	2.5184905680671e-08	9.06024131897864e-09	3.0325642413567e-11	7.25272281754501e-10	-12.5755141601521	2.87920958062498e-36	1.75494679199999e-35	NA
P77529	4.35266737383082e-06	0.0452055641485412	0.238937588114883	0.0725131253474771	2.79893896301372e-06	-5.74596980044548	9.13956191456619e-09	1.59285557119217e-08	NA
P27247	4.50968389687832e-06	0.240749276045206	0.00275339499812127	1.73625886690922e-12	0.000407216401217174	-8.1500672052063	3.63722081883909e-16	8.87728471038693e-16	NA
P26459	4.64862267137531e-06	0.00341768822758695	3.56813958415509e-05	6.13685605550462e-10	0.924714808320488	-7.04292823376669	1.88241197449554e-12	3.90024927089724e-12	NA
P60240	4.64999829792782e-06	5.15511512941893e-10	7.89563899609001e-05	1.02873891640579e-05	5.50458005470308e-13	-11.48957853252	1.48836292543692e-30	7.04145416880219e-30	NA
P0A7V3	4.65356727148005e-06	0.000148680297493235	4.40005362801991e-10	1.18941303642416e-14	1.453701690448e-10	-12.5720563118379	3.00797073880006e-36	1.82859223804626e-35	NA
P77243	4.84958107365947e-06	9.37604246116832e-12	0.0273102448220495	1.70511658488229e-09	0.085493186143671	-9.0966126783431	9.31929975472865e-20	2.68731747620711e-19	NA
P0AGJ9	4.8981389183053e-06	1.27796317650621e-05	2.20876251426427e-06	5.45757783283235e-07	1.04475304887547e-09	-10.7721233490574	4.66125262018569e-27	1.86126967710707e-26	NA
P00448	4.9174630944073e-06	0.00314459799006378	6.21581041040209e-06	3.81970716466024e-08	4.32597443500607e-07	-9.75751136444847	1.71307255258573e-22	5.59846689525891e-22	NA
P0AEJ4	4.98115543035773e-06	0.537473553239667	0.317590862349222	4.64972779786236e-10	4.77322418469821e-07	-7.07497349459599	1.49477328433715e-12	3.11388575688317e-12	NA
P03023	5.02986617661316e-06	0.234538330713969	0.0889554329656909	0.000427423731252171	0.202909923549554	-4.76405540860694	1.89740365979244e-06	2.94782065553727e-06	NA
P77783	5.04375426834088e-06	2.31887795786865e-09	1.57909319557043e-06	2.51809801729162e-08	2.42869598994896e-09	-11.7336464943249	8.56860725872432e-32	4.31049587862464e-31	NA
P0A9A2	5.0885146050892e-06	5.0593742578295e-06	8.2809696503224e-12	2.00795698290077e-13	2.26076333245457e-14	-13.5781065935383	5.40044936143012e-42	4.3203594891441e-41	NA
P33012	5.25262017863042e-06	2.78811800198883e-05	0.0249882354290042	1.76023042617301e-10	9.00380812509085e-10	-10.1452596080578	3.478522959373e-24	1.23110858654307e-23	NA
P0AGE6	5.3022707025743e-06	2.57490756437249e-06	1.76504207112829e-08	4.18399246719517e-11	8.858080282837e-15	-12.8063956899417	1.50986454312925e-37	1.00348080417057e-36	NA
P0ABK2	5.45691922977169e-06	0.014519976470729	8.30048709519805e-11	4.45102488539542e-10	0.000605000671205085	-9.9887463471416	1.70727218076182e-23	5.82748904366702e-23	NA
Q46857	5.98633058962815e-06	2.4430734808575e-06	6.3922226766832e-07	7.17355772203329e-08	3.26676665647609e-07	-10.7448726645792	6.26483096335488e-27	2.48865009302925e-26	NA
P46144	5.99556817872126e-06	0.00022050704496312	0.000147487857120402	8.66278983203752e-10	0.379806138911525	-7.97772393421022	1.49056313963702e-15	3.52231535766534e-15	NA
P24182	6.13817028446e-06	0.00159654339311237	1.35953851144823e-06	7.3391343656111e-07	7.0647883068249e-13	-10.6930776518153	1.0967018900464e-26	4.31194736291281e-26	NA
P0AF56	6.31499532089575e-06	0.000697905168874205	3.82252826741521e-09	6.06729231612839e-07	2.10922746932503e-05	-9.96688972078263	2.12788153104196e-23	7.22038151328524e-23	NA
P37691	6.32792115489947e-06	3.47530218078877e-07	7.29276098304374e-05	1.87396201968783e-05	6.58347344635424e-08	-10.073814717884	7.21251466678319e-24	2.50643043623959e-23	NA
P00370	6.43636510420964e-06	8.74617991138434e-05	0.000693047695270434	1.02537951069546e-06	3.98943695514493e-07	-9.39003315134251	5.99813752147282e-21	1.81599327851161e-20	NA
P25737	6.60692254752179e-06	0.122203356470607	0.00286918681927835	0.0227309254466341	2.9195211792843e-08	-7.02436680989594	2.15039193318613e-12	4.43951882980362e-12	NA
P22186	6.67716326893544e-06	2.52180194036665e-06	5.18824630788201e-10	1.27470931597595e-10	2.01506519498462e-13	-12.7899502536368	1.86593306359238e-37	1.22481760071705e-36	NA
P37759	6.86105919169047e-06	1.03934690231152e-06	1.2677423077188e-06	8.42360766640537e-09	1.07027561387933e-10	-11.5343735935442	8.85292293151796e-31	4.24056848944229e-30	NA
P75959	6.98715034368865e-06	0.000225292399860448	0.0962811071122665	8.69963590963246e-10	1.50535769052183e-07	-9.07799053337282	1.10597779810938e-19	3.18123950916855e-19	NA
P75682	7.0794141640663e-06	1.46651521205764e-14	6.40571422185972e-12	2.78751043120284e-18	3.29417253513207e-05	-14.0179121844423	1.21125855360064e-44	1.09871642027397e-43	NA
