Symbol	metap	metafc	idx	ID
P0AEY3	0.00426065427565436	-0.165042519318482	-0.391237204301231	P0AEY3
P0AFK0	0.00443180207951017	0.0490378866592401	0.11540672571833	P0AFK0
P36879	0.00450613544903468	0.0197826663421411	0.0464140078547314	P36879
P0ABC3	0.00453641372801683	0.0200832997470365	0.0470609421224639	P0ABC3
P30847	0.00457019915739389	0.0980310620800663	0.229399044943661	P30847
P27862	0.00458541890682692	-0.270387903997986	-0.632334825744982	P27862
P0AB85	0.00464621118132868	-0.328324206818813	-0.765947888263429	P0AB85
P67338	0.00469772907694767	-0.196138638076569	-0.4566327234546	P67338
P0A832	0.00469886030603628	0.0015870180372992	0.00369458983961814	P0A832
P0A9G4	0.00473308373621245	-0.0580411619573582	-0.134937332715522	P0A9G4
P30136	0.00473312071664965	-0.142374698377041	-0.331000161905796	P30136
P0AEU3	0.00485045986131399	-0.355435222222804	-0.8225542638616	P0AEU3
Q46906	0.00485549408275596	0.10199317557759	0.235988400101468	Q46906
P08395	0.00490755153948241	-0.0232396104626966	-0.0536634009434301	P08395
Q46811	0.00493929795915188	-0.475987441627298	-1.09778638889083	Q46811
P0AGB3	0.00494231492931701	0.0482681953530323	0.111309817195941	P0AGB3
P0ABJ3	0.00502244215770439	-0.384418567431764	-0.883810983715572	P0ABJ3
P09163	0.00515666933044329	-0.205843749035576	-0.470894483129751	P09163
P32170	0.00524941551927238	0.036844742258177	0.0840019243929393	P32170
P77211	0.00526725687292713	0.128283634983518	0.292283422536096	P77211
P52073	0.00549574327712355	-0.417612319773383	-0.943792802141596	P52073
P18775;P77374	0.00551803839335611	0.587281579377538	1.32620823745571	P18775;P77374
P64429	0.00552749911374844	-0.0955860151597277	-0.215782687661498	P64429
P06715	0.00561865061349545	0.0359260968165593	0.0808469376690946	P06715
P64545	0.0056718187852317	-0.125710026496986	-0.282379623318964	P64545
P03024	0.00573527987612594	0.122160175339484	0.273815361134774	P03024
P00903	0.00575806045215734	-0.0321575222125632	-0.0720239672023305	P00903
P0ABC7	0.00579134310249684	-0.0186943683227923	-0.0418234278777067	P0ABC7
P15993	0.00586274569703815	-0.16582840767593	-0.370112247877857	P15993
P36561	0.00601048381429266	-0.143225525114476	-0.318116862932492	P36561
P36655	0.00610364877724688	-0.0309993286807711	-0.0686452378379466	P36655
P64624	0.00610636010958386	-0.00502040727398303	-0.0111162740834195	P64624
P32177	0.00614072881297828	0.203825442037832	0.450817052805936	P32177
P0AB20	0.00616714548583705	0.0604385953569077	0.133564207186389	P0AB20
