ID	down_reg.pval	up_reg.pval	down_reg.FDR	up_reg.FDR	avgL2FC
P0AD33	0.375385812232201	0.902084412946493	0.375385812232201	0.902084412946493	-0.335086619315326
P80645	0.0185868443007808	0.999258905510061	0.0185868443007808	0.999258905510061	NA
P0ADN0	0.992074712786978	0.110058887599973	0.992074712786978	0.110058887599973	0.287841951472064
P27249	0.626785640124054	0.785606010967868	0.626785640124054	0.785606010967868	-0.155990960462714
P69490	0.71707087691582	0.712863685120824	0.71707087691582	0.712863685120824	-0.0998272516911373
P0A850	0.961132303234225	0.269522966892508	0.961132303234225	0.269522966892508	0.154860877950089
P77360	0.0319453980670227	0.998804101330672	0.0319453980670227	0.998804101330672	NA
P0AEP7	0.020272098863374	0.999359554514928	0.020272098863374	0.999359554514928	NA
P31455	0.71279099334091	0.739455392829484	0.71279099334091	0.739455392829484	-0.100372067328738
Q46925	0.959943462563259	0.295326436022492	0.959943462563259	0.295326436022492	0.14297724252617
P0AEE1	0.594252432231445	0.836486334257354	0.594252432231445	0.836486334257354	-0.186192994649738
P05827	0.449206313868073	0.778032417799886	0.449206313868073	0.778032417799886	-0.250648165485215
P0AG30	0.968636236565723	0.261212260911244	0.968636236565723	0.261212260911244	0.168744805917711
P0A9L3	0.707766214406164	0.730416015113865	0.707766214406164	0.730416015113865	-0.115667059923156
P0A6K3	0.893432098557047	0.424203330434681	0.893432098557047	0.424203330434681	0.0442458505554675
P69822	0.0517935843452449	0.995551342097284	0.0517935843452449	0.995551342097284	NA
P76398	0.941064112422155	0.230282727981241	0.941064112422155	0.230282727981241	0.1631195596762
P76251	0.556505861961909	0.853929359705723	0.556505861961909	0.853929359705723	-0.213383488899043
P15373	0.410854999016811	0.921357797801799	0.410854999016811	0.921357797801799	-0.310838910646933
P06971	0.822760595080419	0.562839508711508	0.822760595080419	0.562839508711508	-0.0111241295039889
P0AAI5	0.923287386356113	0.337722650120061	0.923287386356113	0.337722650120061	0.100814877062723
