Symbol	signcon	randomSummary	randomCi.lb	randomCi.ub	randomP	het_QE	het_QEp	het_QM	het_QMp	error	rank	ID
P0A6F5	-5	-0.31580872415651	-0.376765968264203	-0.254851480048817	3.17313046173096e-24	7.57311770732351	0.108527996983649	103.108336424183	3.17313046173094e-24	FALSE	1172	P0A6F5
P24554	5	0.466834951036119	0.376622705652215	0.557047196420023	3.57741977660178e-24	12.9527964381594	0.0115087568912894	102.870754157384	3.57741977660176e-24	FALSE	865	P24554
P37665	5	0.305862708375693	0.246710920004387	0.365014496746999	3.87946148505302e-24	1.84860862742771	0.763578146358698	102.710178223591	3.879461485053e-24	FALSE	1201	P37665
P0ADR8	5	0.327470685875342	0.263973014027451	0.390968357723233	5.09434062213371e-24	4.5620905230294	0.335248506205076	102.170480693625	5.09434062213367e-24	FALSE	1142	P0ADR8
P0AG63	5	0.448814240861785	0.361765303552708	0.535863178170862	5.23098684017597e-24	8.00154450959724	0.0915216334653245	102.118045036566	5.23098684017606e-24	FALSE	895	P0AG63
P0AFC3	-5	-0.599475661962878	-0.715891666652353	-0.483059657273402	5.95154773484088e-24	6.67052540974436	0.154358031417814	101.862401958472	5.95154773484096e-24	FALSE	653	P0AFC3
P21362	-5	-1.05885196450266	-1.26476275995374	-0.85294116905158	6.86328849317428e-24	1.62198074647161	0.804836192324202	101.580054805295	6.86328849317425e-24	FALSE	343	P21362
P25536	5	0.39872228352942	0.321183785013385	0.476260782045455	6.86816783763336e-24	6.99433019923864	0.136188151938266	101.578647041114	6.86816783763332e-24	FALSE	994	P25536
P0A847	5	0.528362927379268	0.425470740857054	0.631255113901482	7.91804355274662e-24	12.1312840991856	0.0164012429059159	101.296879000142	7.9180435527466e-24	FALSE	758	P0A847
P0CK95	5	0.785277394084698	0.632340006571546	0.93821478159785	7.99394406440512e-24	23.130406819956	0.00011925195305669	101.277981827788	7.99394406440502e-24	FALSE	489	P0CK95
P09152;P19319	2	1.33848514789603	1.07715348123064	1.59981681456141	1.03212964227927e-23	1.65491686432179	0.198291038555037	100.771847011096	1.03212964227929e-23	FALSE	251	P09152;P19319
P24202	-5	-0.341895433045411	-0.408681470263328	-0.275109395827494	1.08514546087393e-23	5.36518950708324	0.251836010885985	100.672633851577	1.08514546087394e-23	FALSE	1109	P24202
