	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P39346	-6.661518461744797	15.416724659375078	7.49194775627598	-1.0886682181840541	-1.4171952236570564	-0.7601412127110518	4.8679497367254333e-08	2.3508473113831156e-08	51.4	2.0	-6.720364169323775	1.4541754101266885e-08	3.054394261729515e-08
P39353	-14.158358105292013	17.318222833679737	45.57895008391547	-0.6308292676235254	-0.7192903247202691	-0.5423682105267817	2.5634585022366582e-24	4.482550386424757e-25	97.4	7.0	-14.207986856602522	1.7730578458641796e-25	1.0139674556035777e-24
P39356	1.6903106456050363	18.825502973510655	-7.292457912626515	0.0669239789313778	-0.011684322153266813	0.14553228001602242	0.11206701380964956	0.09426948600176464	97.4	7.0	1.6907570087678756	0.09408103332750255	0.11184298237228074
P39358	-10.537194833562195	16.01380552624695	25.866994164578447	-0.8728278056959979	-1.0378266087670016	-0.7078290026249943	6.232592202950293e-16	1.7837815116367302e-16	78.4	2.0	-10.315520601054322	2.957525007246964e-16	1.0057646017676087e-15
P39359	-10.351929292158369	15.978164098186578	27.114884764239527	-1.2602216280531309	-1.5020259381407497	-1.018417317965512	1.6179976908691335e-16	4.503647944188333e-17	94.4	2.0	-10.361146769059951	3.0030791933309304e-17	1.0842189738684295e-16
P39363	-5.570558481391342	18.70867049002607	3.0600404833496153	-0.3972310138787343	-0.5415436004342974	-0.25291842732317116	3.833962550544868e-06	2.1474380406057322e-06	41.4	2.0	-5.120488126081802	7.436208058670203e-06	1.2898825352954002e-05
P39364	-2.416502926200205	13.558109499303951	-5.800299565242245	-0.255059160629024	-0.4699604014907801	-0.04015791976726793	0.027476758100909042	0.02148029347437869	35.4	2.0	-2.3451018994420294	0.0247519430648405	0.031482923237990006
P39366	-12.29531502457032	16.33543096066415	28.37779311843297	-2.094439533313679	-2.4359073793526402	-1.7529716872747176	9.118233900570741e-17	2.4913207378608583e-17	57.4	2.0	-12.325084081423082	9.156084866199658e-18	3.3722033318531566e-17
P39367	-8.183041588855746	15.756210096274081	12.941769576766958	-1.006680465512268	-1.2538529775780125	-0.7595079534465237	2.3267477779342145e-10	9.519958462995864e-11	52.4	2.0	-8.160874693552934	6.719289778445419e-11	1.6532840732174948e-10
P39370	-3.2702821685179737	14.35061694615709	-3.324353694694512	-0.7558830076969869	-1.2180144496631584	-0.2937515657308155	0.0025067397389292164	0.0017644776645946432	64.4	2.0	-3.3043842535633923	0.0015575755193563627	0.0022257594537215372
P39371	-18.427412101459105	19.020596119779746	63.99022482363405	-0.6549312895644945	-0.7254955142701269	-0.5843670648588621	4.4120081685979315e-32	5.032823525654744e-33	97.4	6.0	-18.268127172940236	3.151795407537802e-33	2.6983792261025394e-32
P39376	2.0863497481701	15.478547470730923	-6.520763533825345	0.26227704513141603	0.010172911604018398	0.5143811786588137	0.05159085948975856	0.041741375044821734	56.4	2.0	2.0859212323477117	0.041520787824608045	0.05140501765346823
P39377	-0.951705137530976	19.571818495759814	-8.25899833536502	-0.04650652936385313	-0.1435272955579699	0.05051423683026364	0.37759431514805003	0.3436778858844103	97.4	13.0	-0.9638471981559938	0.3375094806771982	0.37207370460197153
P39379	1.7138934898491907	18.467011914655284	-7.160289237132368	0.23294550402468062	-0.04108867164559343	0.5069796796949546	0.11146757896509867	0.09368910923261878	46.4	2.0	1.7175634430077908	0.09254446969552597	0.11015049075955287
P39380	-3.292704516662531	12.542012808562156	-3.5216683052727733	-0.49503830152397654	-0.8038672828088734	-0.18620932023907966	0.00395251586661615	0.002826965989779617	29.4	2.0	-3.1834717091693308	0.003427816936908656	0.0047589606407152886
P39382	5.553353535179481	16.241880968383576	3.48792677692977	0.5367508096312825	0.34234856849529655	0.7311530507672686	2.278874171117406e-06	1.2413949122036416e-06	50.4	2.0	5.42843788864381	1.6343264700042376e-06	2.955718285467824e-06
P39383	-1.06903607855784	17.41250770303316	-8.140512390079827	-0.0978989350522923	-0.2797177355585769	0.08391986545399227	0.3199017305516383	0.28778045022985493	97.4	3.0	-1.0734814929896228	0.28570750341700885	0.3186863123828579
P39384	2.134574082620793	18.989929131144006	-6.466485912394715	0.18706558632867853	0.013070954046721817	0.36106021861063525	0.04416602696055848	0.035387124060611404	97.4	11.0	2.1655551404680584	0.032786964262749956	0.041095989452624944
P39385	-8.569244982470797	17.65990846459388	18.72106322823705	-0.3277080061766995	-0.40363525711912124	-0.25178075523427773	5.634631028379412e-13	1.9628837598862708e-13	97.4	9.0	-8.611618092908397	1.2878625832676346e-13	3.7114779958736555e-13
P39389	-5.9943666057595735	17.63220664757447	6.14492081238731	-0.4049063119304037	-0.539613913451091	-0.27019871040971644	1.5812691275754209e-07	7.900945128561615e-08	73.4	2.0	-5.644282385394921	2.944559400079307e-07	5.645934055124962e-07
P39396	-43.235461105574686	20.491868388871072	135.77102654761472	-5.186640242651109	-5.424816909560649	-4.9484635757415685	2.3949888216022795e-62	5.316744310250962e-64	97.4	3.0	-43.62597545481363	9.84474796527851e-66	4.434680314205458e-64
P39399	-9.939097458718916	13.201388657740766	14.93666227204647	-1.4682011363177754	-1.7689638046040908	-1.16743846803146	5.90924502635118e-11	2.3289852323802125e-11	35.4	2.0	-9.823678727956112	1.1934803278764656e-11	3.0573144357150406e-11
P39401	5.781358089091041	18.416744920467693	5.739009968613107	0.3067172608644668	0.20138496984303228	0.41204955188590137	1.8925555904153622e-07	9.540341705782358e-08	97.4	16.0	5.86481685788949	6.16883640655178e-08	1.239694783691394e-07
P39404	3.6685202574032436	14.906959215218654	-3.04447988177669	0.2720529579530435	0.11753751039007837	0.42656840551600866	0.002129313862740946	0.0014893561444308254	23.4	3.0	3.457816988428978	0.0020986223140377603	0.0029584815288890526
P39406	3.177539124871828	20.066158511295768	-3.8687524903082426	0.0917378418519803	0.03441723291164096	0.14905845079231966	0.002840607620035826	0.002008216452689262	97.4	11.0	3.1866518502230083	0.0019347008515740857	0.002739266969733522
P39407	15.968346374157957	17.210031792297688	53.66352983250115	0.7771702070323059	0.6805407849565878	0.873799629108024	9.916009175162815e-28	1.4426980562224588e-28	97.4	6.0	16.010093322102062	4.9859961789690427e-29	3.43505807341679e-28
P39408	2.1379987293197322	19.355655429142626	-6.459435389174439	0.08379011972076	0.005979557868656393	0.1616006815728636	0.04386064342897393	0.03510046267177532	97.4	8.0	2.1445972336089785	0.034473065259643304	0.04315396967945088
P39409	1.7915386543083396	14.943455861586914	-6.949889787857748	0.21035134222545793	-0.024255022351686556	0.4449577068026024	0.09361709713449749	0.07798227455978121	66.4	2.0	1.7737778591667244	0.08068497833648217	0.09670307677823159
P39410	1.8571564381908316	15.504447456191416	-7.003130179526352	0.1176854979377353	-0.008128117922404837	0.24349911379787545	0.08064815711657945	0.06640802828144572	97.4	2.0	1.7897198315892426	0.07660665873650171	0.09200340310930148
P39411	7.075246039492269	18.88150977347884	11.571815012260055	0.312470217358765	0.2247862350697785	0.40015419964775156	6.159987508866268e-10	2.5982187750853286e-10	97.4	3.0	6.848488363658966	6.733242826395008e-10	1.5450576015426791e-09
P39451	-7.894012805964475	16.077641655681187	15.454100221665916	-0.9723065038059389	-1.2168513684747366	-0.727761639137141	1.3844183158974286e-11	5.215209707769344e-12	97.4	2.0	-7.9042852961266705	4.191375641884558e-12	1.113643183252086e-11
P39452	3.8075894632326874	18.57254582692636	-1.901639390883119	0.2753522058709521	0.13177297361402146	0.41893143812788275	0.00038106599864774977	0.00024948890690154927	97.4	18.0	3.8663693431127837	0.00019941054755682694	0.0003076259658832399
P39453	-0.17072620728839283	15.7024572286456	-8.678293492652783	-0.016473158360732043	-0.20867339225509224	0.17572707553362815	0.8796427925904455	0.8648965826570114	78.4	2.0	-0.16889277555910448	0.866315970476641	0.881060493767143
P39829	-20.910344567721204	17.93514588471147	73.65721997878576	-1.731760667859767	-1.8961902167725182	-1.5673311189470158	3.741679262060395e-36	3.3992031547406596e-37	97.4	7.0	-21.16769573389542	3.238480621885455e-38	3.5647636319100046e-37
P39830	-1.932273349876714	18.821168932141987	-6.8646080986173725	-0.09702753814799792	-0.19672397370775246	0.002668897411756632	0.068802508941043	0.056325004758087466	97.4	7.0	-1.9440908270253316	0.05476988806025893	0.06701472304238953
P39831	-0.8932728336982186	22.723997463854705	-8.312970977213547	-0.058120682203394836	-0.1873020147063699	0.07106065029958022	0.4085909972120934	0.3739835630219981	97.4	8.0	-0.9033060615049974	0.3685921236336248	0.40390633907157686
P39836	-1.7580584794062286	13.77029039160779	-7.178048125069766	-0.23511726592992943	-0.5006416369653548	0.03040710510549588	0.09817488630354021	0.08198005362437016	97.4	2.0	-1.764185936716784	0.0808359059283557	0.09680471679273026
P39838	3.267676671635023	19.620385595249715	-3.6043824853101656	0.08055335588545631	0.03160954929586806	0.12949716247504456	0.002162148318173545	0.0015130607595415276	97.4	28.0	3.3283512128212043	0.0012339978864258894	0.0017781229387081713
P40120	-13.45966325951368	19.929553051916173	42.353856631397086	-0.24702659882836286	-0.2834652847971501	-0.21058791285957562	5.839289233026696e-23	1.1108210733592453e-23	97.4	21.0	-13.635639297001495	2.5815548843421758e-24	1.3768292716491605e-23
P40191	1.246386223058252	19.437987791330084	-7.9359935382580495	0.091459025531897	-0.05423009209795818	0.23714814316175217	0.24508834750622532	0.21570787961869628	97.4	4.0	1.2525926390803177	0.21335312976338958	0.24260115104745814
P40710	-5.951268948814853	18.939304408070107	6.476842888542862	-0.27949610721589124	-0.3727397794881775	-0.18625243494360502	9.18124676077232e-08	4.505960244272481e-08	97.4	8.0	-5.9925899010092465	3.4837221408116155e-08	7.123141360542186e-08
P40711	0.9021434371127257	15.302025172470373	-8.16426045055596	0.13129236568395442	-0.16349020932748154	0.42607494069539037	0.4074059624027951	0.37275975863288524	40.4	2.0	0.9062149442755868	0.3701954290388284	0.40520752210650307
P40719	2.5387621538052416	16.363948949703946	-5.5648239606121805	0.14000800065440444	0.03051558903887991	0.24950041226992897	0.016687689021891088	0.012760838702190625	97.4	3.0	2.4991020719715893	0.01412376778722387	0.01846178217901406
P40874	6.940333847768844	20.877869762981764	10.9436639720573	0.18067657840789764	0.12899036946573653	0.23236278735005875	1.1379444522799148e-09	4.896892110220944e-10	97.4	20.0	7.0357883058594295	2.77368957524415e-10	6.549486351866832e-10
P41039	-2.535612771533744	16.866195999454064	-5.561751704408877	-0.22799351628415465	-0.4080923199483712	-0.04789471261993811	0.0182586523575951	0.014024490830680117	59.4	3.0	-2.5447537203695103	0.013553186823526747	0.017755584348673966
P41052	1.0117970022349425	17.85556903630564	-8.19999700963082	0.04660204456462225	-0.044843966408844235	0.13804805553808874	0.347711047662811	0.31422248364610583	97.4	6.0	1.0129024680059173	0.3136163685287717	0.34743425162778796
P41407	-2.8944382822971852	20.499771991885325	-4.659694486250733	-0.12428581915746406	-0.2095389758165071	-0.03903266249842102	0.006479778210930204	0.004718199161783878	97.4	9.0	-2.9152592423132346	0.004410015377668306	0.0060764823650883764
P41409	-46.70715007407212	19.675815907375892	142.76601397132083	-1.6350788477186953	-1.7045826421252785	-1.565575053312112	3.059581547353136e-65	5.0157074546772727e-67	97.4	8.0	-46.70258404086758	1.741244749060983e-68	1.0621592969271996e-66
P42588	-11.484099902143546	17.116117635702256	32.8429580766877	-0.7262262924671674	-0.8517970746613681	-0.6006555102729667	6.160731585227853e-19	1.4917891714230014e-19	96.4	2.0	-11.034663884851563	8.613232526095201e-19	3.38517380354453e-18
P42589	-6.037657604473286	15.41036625974805	4.957818566313174	-0.867411666377178	-1.1576918108138612	-0.5771315219404949	7.691383059562612e-07	4.0479580924815526e-07	43.4	2.0	-5.945129252015299	4.257087675747292e-07	8.057370856230169e-07
P42593	-49.1659028092527	18.09038395371843	147.43401906286823	-2.859578138459703	-2.9750539792277366	-2.74410229769167	3.418115593758294e-67	4.786295742626026e-69	97.4	2.0	-46.94247944111723	1.0795930932549974e-68	6.871844732718766e-67
