Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0A968	-1.96119634780267	-2.06440342059376	-1.85798927501158	22.920609138693	-37.7261477013351	7.21210927448312e-59	2.9925027322964e-57	123.941687985039	P0A968	4	-37.8789845393888	6.87121131612408e-60	2.77074338000891e-58
P0ACW6	-3.04095602854002	-3.20369296583713	-2.8782190912429	21.6340485617263	-37.0983716390385	3.20009228991621e-58	1.23808976027434e-56	122.4445311693	P0ACW6	5	-37.4379639939145	1.98917246238155e-59	7.90972327749774e-58
Q46939	-2.69792637422774	-2.84056798449014	-2.55528476396533	19.0128694810353	-37.5504119876946	1.09207444901254e-58	4.40367485566604e-57	123.524813520997	Q46939	2	-37.2680833981281	3.00443027407915e-59	1.17831285954638e-57
P09831	1.356232530475	1.28289994674912	1.42956511420088	24.8092894994392	36.7170698592855	7.99620475848694e-58	3.01225450309843e-56	121.524249309266	P09831	101	37.19836574562	3.56012306339781e-59	1.37738274736594e-57
P60664	1.02392017840777	0.968511693241352	1.0793286635742	22.5598026529038	36.6877155505295	8.58323834903407e-58	3.19140407704994e-56	121.453054344718	P60664	20	37.1363840358992	4.14086231258386e-59	1.58070517345701e-57
P60757	1.42805726543538	1.35072212570536	1.50539240516541	23.8439502611785	36.6606021526359	9.16407625157106e-58	3.36368593695486e-56	121.387249989461	P60757	22	37.1043281094597	4.47784206788445e-59	1.68685024215173e-57
P09148	-0.82685361736214	-0.871420133917109	-0.782287100807171	20.1371924533798	-36.8341613727137	6.03071579089771e-58	2.30212524124535e-56	121.807742887646	P09148	10	-36.9038005445947	7.31477522308206e-59	2.71976642385506e-57
P21514	-1.83433934820657	-1.9309422970274	-1.73773639938573	20.0379649929753	-37.6981591956242	7.70390478237815e-59	3.15089705599266e-57	123.875409687587	P21514	2	-36.6246991129722	1.4538722708331e-58	5.33645680948097e-57
P0A9D8	1.10755093797695	1.04653302082038	1.16856885513352	24.7760346279594	36.0360495775712	4.1903637303106e-57	1.51860903289611e-55	119.859532697191	P0A9D8	20	36.4711188195347	2.1258199628511e-58	7.7040791818262e-57
P0A8Y5	0.684838286631322	0.647061673039819	0.722614900222826	21.6694195983827	35.9911607774285	4.67822451463797e-57	1.67421959817606e-55	119.748840914423	P0A8Y5	15	36.2926660382543	3.31135543122889e-58	1.18505132495104e-56
P76108	-1.88353192996699	-1.98762264178128	-1.7794412181527	21.3605764124342	-35.9245927746032	5.50940687966722e-57	1.92358925566918e-55	119.584468229933	P76108	9	-36.2522125971618	3.66228957206257e-58	1.29446111664384e-56
P0A9S3	-2.01438439811118	-2.12590431528818	-1.90286448093417	23.4800209870863	-35.8608646142453	6.44474014335567e-57	2.21962742895602e-55	119.426858818851	P0A9S3	12	-36.2347691049663	3.82498133403161e-58	1.33547823894299e-56
P23857	-2.22493988150563	-2.34813108524289	-2.10174867776837	22.6596807303226	-35.8566264917195	6.5123543147854e-57	2.21962742895602e-55	119.416368644349	P23857	7	-36.1753671332991	4.43578683908446e-58	1.53007924340949e-56
P61889	-1.15977931116763	-1.22436508781052	-1.09519353452475	26.6471198932353	-35.6508030031031	1.08248570119832e-56	3.64606654415387e-55	118.905611455592	P61889	29	-36.129745317562	4.97104844483166e-58	1.69429901161346e-56
P0AFG8	-1.04522178353712	-1.10368306930387	-0.986760497770373	26.3929373263408	-35.4953068559785	1.59175242175393e-56	5.29905486451336e-55	118.518039318195	P0AFG8	97	-36.0011059251288	6.8588245645796e-58	2.31021349745781e-56
