ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P52643	8.00891923749044e-12	1.6626072847938e-11	2.31056946600827e-16	2.41952594948417e-16	1.68571721673882e-11	294.276833037768	2.51870312877103e-57	4.50128230584651e-56	NA
P31551	9.73291925561845e-12	7.81637053343331e-09	1.65239787935723e-09	6.76910084141035e-12	0.000186763081791059	197.095827276314	6.50681921317497e-37	4.46029086886679e-36	NA
P69874	9.76050670690514e-12	9.53630587342428e-09	1.063457330964e-10	1.36689373372242e-11	1.5385200707234e-12	238.002515015441	1.7993904642482e-45	1.91577657087191e-44	NA
P0A993	1.05475625077308e-11	5.18081546397856e-12	1.26731863319733e-14	6.38686699073827e-17	3.4911327112183e-16	312.282621787673	3.92416211481436e-61	8.04774886169306e-60	NA
P75838	1.12795371160604e-11	3.28963419494486e-06	8.67677090552602e-14	3.40367963217771e-13	1.1769125045866e-17	271.196216323117	1.87153678929875e-52	2.64552827504264e-51	NA
Q6BF17	1.1348655647013e-11	9.61422986899302e-08	8.56294804012473e-10	1.79864100875259e-18	1.47524288695977e-05	228.442735599838	1.82141805945837e-43	1.73277109686876e-42	NA
P69451	1.18538637498694e-11	7.2587904838298e-12	1.52090571595712e-10	8.58023667355236e-17	2.93536973586778e-15	287.740296225391	6.05087569621114e-56	9.89496143262763e-55	NA
P06988	1.19847995524972e-11	6.97094035526215e-08	3.72402350593281e-12	2.81915750941305e-18	9.33473384507939e-17	290.525653872204	1.56172065412281e-56	2.69477591490709e-55	NA
P0A761	1.28364582828595e-11	6.91304651534322e-08	1.2647715287293e-14	1.13983775204451e-15	1.00431673362856e-13	275.808982091064	1.99356663122543e-53	2.95142231439411e-52	NA
P23256	1.3014629357805e-11	9.6330577635644e-07	1.75224188442591e-06	5.49846264154024e-14	2.37167055777209e-16	237.363892385351	2.45003857573263e-45	2.56485209894688e-44	NA
P37339	1.35652958853344e-11	3.38445070113638e-14	7.37547032193898e-12	5.83492932441118e-15	2.34140277301184e-12	282.457105232337	7.89014243277568e-55	1.22615753831085e-53	NA
