	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value
prt2233	1.3668004935126552	0.41073490744318897	-5.932080968573114	0.40325900506697776	-0.17651584619891292	0.9830338563328684	0.7430719348497085	0.17234856918379401
prt2234	-0.3517925925784682	1.16883617263247	-6.875920436754434	-0.06925651041208902	-0.45601713658685117	0.3175041157626731	0.9853328045574425	0.7251374831515014
prt2235	-1.8360321244596676	-3.065436319117967	-5.052826027113895	-0.3226444705705691	-0.6683555684092162	0.02306662726807801	0.5479684764449697	0.06726682059096686
prt2236	0.601677781725536	-0.8408452548570544	-6.751551566772563	0.08944832560715654	-0.2026724576677122	0.3815691088820253	0.9464326259820798	0.5476752113788064
prt2237	-0.8787725265725281	-1.1988985958618807	-6.519854596182334	-0.12839635187287568	-0.4155403095568919	0.15874760581114056	0.8937575192285723	0.3799959052586813
prt2238	0.2344987632842796	0.052043128259244	-6.86081101269343	0.0685618138701801	-0.5059871786516251	0.6431108063919854	0.9918240950292757	0.8147014997875066
prt2239	0.3187401905414896	0.43704216812828567	-6.91571795505227	0.03128653982014923	-0.16154552012095777	0.22411859976125623	0.9910884516374897	0.7500513229009167
prt224	5.0511388361939575	-1.3492173574029638	5.394948940054251	0.5901629613517737	0.3605584560146422	0.8197674666889052	1.935550905876598e-05	6.355058807628163e-07
prt2240	-1.0398251297916183	-2.0794553202984645	-6.295768578809576	-0.1501079995342609	-0.4338701967183597	0.13365419764983788	0.8551492438970776	0.29902395145046307
prt2241	-0.5139804113569942	-0.6481445009017893	-6.817881324441195	-0.04762191145335848	-0.22968581942261473	0.13444199651589778	0.9666913554484003	0.6075063223597676
prt2242	0.06747956234048016	1.0829853261039528	-6.960509172452185	0.01767186069880533	-0.49686610722075	0.5322098286183606	0.9926260321983946	0.9462270799453483
prt2243	0.7174513821044931	-0.3816638317480219	-6.674095169266859	0.0850909955490402	-0.14791090762703948	0.3180928987251199	0.920811298458242	0.4734204030634087
prt2244	0.124925713364937	2.850285059671139	-6.956651637165938	0.0263936569131622	-0.3886527361482478	0.4414400499745722	0.9921574873914691	0.9006301076446366
prt2245	-0.9457732999551213	-2.8624905311567934	-6.402838288927867	-0.22595836285634818	-0.6958057974745046	0.24388907176180818	0.880304821188756	0.3449006885073217
prt2246	0.3239302283352383	1.2483275272962133	-6.8215529037898985	0.18143219997500548	-0.9194152704789713	1.2822796704289823	0.9907753698852622	0.7461473352055682
prt2247	-0.10209967971852708	0.28207653306118424	-6.96837488548444	-0.00940992037930255	-0.1904689144534362	0.1716490736948311	0.9924212935127406	0.9187168525883666
prt2248	1.167874724282907	1.751011566136955	-6.30272653278966	0.15452298022635547	-0.10540063045821718	0.4144465909109281	0.8136371148738658	0.24338658619067838
prt2249	-0.6182497790324231	-1.4019047221276708	-6.756027015664508	-0.09995241341312897	-0.4177447107893377	0.21783988396307977	0.9449442373386693	0.5367491956599193
prt225	4.270099327838164	-0.4748141085006172	1.926204577984481	0.44218593586255905	0.23874269251687627	0.6456291792082418	0.0005847897207004495	2.3294123874567902e-05
prt2250	0.41446901187784874	-1.890535922231701	-6.754040579556162	0.03338203594385458	-0.12493320532418636	0.19169727721189553	0.9779765792574384	0.6787423560145396
prt2251	-0.13375945732224506	0.6581720488954118	-6.939018510577615	-0.01599086718130116	-0.25084096686865176	0.21885923250604947	0.9921574873914691	0.8936436759722276
prt2252	-0.4344534886103606	3.921202272956245	-6.895168692409609	-0.06820919182777407	-0.3766201713957651	0.24020178774021694	0.9779765792574384	0.6641340675126828
prt2253	1.574935934254862	1.4484664786796237	-5.726094474463604	0.25737702152789743	-0.06365629804181472	0.5784103410976096	0.6691200085644075	0.11586928148306988
prt2254	-0.6322146995125675	-2.3877452911112624	-6.69295398913327	-0.09307939685517264	-0.38257734199371024	0.19641854828336497	0.9413614260016329	0.5276330792739152
prt2255	0.6026808678267327	1.6435695809503308	-6.797384821971202	0.07548767681746504	-0.17056396422863207	0.32153931786356216	0.9464326259820798	0.5469779141282877
prt2256	-0.08734926928322088	-1.4679531068751162	-6.775317978504227	-0.010248299704842978	-0.24081705210679086	0.2203204526971049	0.9924212935127406	0.9304324218560025
prt2257	-0.706856350985056	0.41210289753853896	-6.7391478881397955	-0.11983431261901278	-0.45290506915036294	0.21323644391233737	0.9225731411282629	0.47998061256445734
prt2258	0.21269719683908606	0.14280713380621576	-6.9536346095085335	0.016212162533666197	-0.13351994397934044	0.16594426904667284	0.9918240950292757	0.8316445036820477
prt2259	-0.17772512191222517	1.4958486012699894	-6.967349623632061	-0.013785874251629693	-0.16615096452056105	0.13857921601730167	0.9921574873914691	0.859003958053033
prt226	5.398186868553906	-0.5029004021961452	7.205675547677357	0.580663498775774	0.3693384744156524	0.7919885231358955	3.4749779200153602e-06	1.0309101162712236e-07
prt2260	0.7806247785073501	-4.131739392625274	-6.352903511285124	0.106692114267116	-0.16238908056597817	0.3757733091002102	0.9092974485703357	0.43570502743995254
prt2261	-0.835810657803147	-5.659480284473498	-6.341085273721734	-0.11161353822410147	-0.374529428116408	0.15130235166820505	0.8991369089016464	0.4040037431797081
prt2262	-1.2176503710758175	-0.8006477743324895	-6.116140486876839	-0.1217976985795155	-0.31833732823103444	0.07474193107200344	0.7959501499174461	0.2239491818503478
prt2263	-0.44348235660681473	-0.31598379119601505	-6.881450959090256	-0.027181272856024008	-0.1475949547515209	0.09323240903947287	0.9756969191751215	0.6576053936205555
prt2264	-0.5863350477359301	0.24669047120832058	-6.728534848035657	-0.14368883268279548	-0.6251999883660488	0.3378223230004579	0.9495191141127199	0.5579221508524868
prt2265	-0.29928945018216496	1.2750492180708588	-6.9207443405758005	-0.044586400335695275	-0.33724151674614905	0.2480687160747585	0.9917830276624297	0.764837016274936
prt2266	0.45753867610900373	-1.7921544369991529	-6.851933803443388	0.055981454636576444	-0.18451869805179974	0.29648160732495266	0.973815894148094	0.6475200459881234
prt2267	-0.6467413917734769	0.18514362729013162	-6.738758676878424	-0.06807443472052277	-0.2748607177679655	0.13871184832691996	0.9365877092381427	0.5180870072076351
prt2268	-0.9349001586306563	-0.05148263490593109	-6.499442273247936	-0.07036715878528188	-0.21822882865201154	0.07749451108144778	0.8805035696029413	0.35026971983526334
prt2269	1.418411053009015	-0.510895914880648	-5.919235435442929	0.22115587673174364	-0.08519954363078758	0.5275112970942748	0.7227239453329142	0.15671064214635355
prt227	6.367764803422696	1.4851229313684187	12.421684974116134	0.570032614995233	0.39418239878376493	0.745882831206701	1.7820627103750447e-08	4.1284452790355195e-10
prt2270	-0.28970789933171126	-0.31614866693877325	-6.881668231725894	-0.0885661260186068	-0.6893931661690298	0.5122609141318162	0.9917830276624297	0.772175931470404
prt2271	0.8644931637611515	0.3333614257872592	-6.5498093368183445	0.11141920885566536	-0.14177130027023294	0.36460971798156366	0.894825184956068	0.3877112423615672
prt2272	-1.2472088061168287	2.1503508278648362	-6.162744377387957	-0.2491341131430973	-0.641557164009947	0.1432889377237524	0.7826565519244175	0.21288258212344158
prt2273	0.3831053339484505	0.4853414144164855	-6.905872502705297	0.03837992254617956	-0.15842708579799145	0.23518693089035056	0.9828914535399045	0.7017973854484024
prt2274	1.427589986395107	-0.2390079521603995	-5.944640794392337	0.0865053750549189	-0.03253446674149241	0.2055452168513302	0.720214145335766	0.15400579141096463
prt2275	1.6073363719729317	-0.06324880936516686	-5.638146807566339	0.3151967351290498	-0.07011576368587136	0.7005092339439709	0.6531122523072109	0.10863433796709941
prt2276	0.5629610213660127	-4.773128084819415	-6.5922545699513275	0.08016408616864279	-0.20014177463560762	0.3604699469728932	0.9571449635277188	0.5739122298170878
prt2277	0.44951424139786866	-0.46390246075102176	-6.862001754143195	0.039009327358333845	-0.1314880392592307	0.20950669397589838	0.975403151956838	0.6532540593216821
prt2278	-3.2325909040589815	-2.3361780472662597	-1.7453496649904432	-0.4805394926832345	-0.7728590453027933	-0.1882199400636757	0.02720415413063681	0.0013375375780896432
prt2279	0.1935087544292063	-0.03565622460531346	-6.930171636355049	0.02515016962369615	-0.230189704034449	0.2804900432818413	0.9921574873914691	0.8466374723615667
prt228	4.749372479089115	0.5174387852208834	4.013635170028637	0.544734656592016	0.3194066685951544	0.7700626445888776	7.386663383441695e-05	2.646887712399941e-06
prt2280	0.28673308058043284	-4.739330350853784	-6.668550624891533	0.05299677475084241	-0.31069269147479445	0.41668624097647927	0.9917830276624297	0.774509615260976
prt2281	1.2683425324432718	3.491494724351129	-6.188485660388226	0.15383404529683586	-0.0844252230808234	0.3920933136744951	0.7743444904868358	0.2052285155444097
prt2282	0.254891621260952	-1.7248898849539345	-6.675597458662765	0.03703783887992085	-0.24860664254849163	0.3226823203083333	0.9917830276624297	0.79893498413743
prt2283	1.2853925473387262	-0.4467576617692388	-6.043216143160595	0.455877218454022	-0.2411837573116941	1.152938194219738	0.7681670691301785	0.19933935443928133
prt2284	0.48064190741402757	-1.7638111846739788	-6.768758994572188	0.04844389332317123	-0.14964973747010188	0.24653752411644433	0.9718955419371392	0.6310116615533405
prt2285	1.2351165309526224	2.29836816186179	-6.22894656897928	0.21630498408395904	-0.12772937882663854	0.5603393469945566	0.7871726951403836	0.21733561649602964
prt2286	0.8689307754934272	-3.2224215284838653	-6.4503387213562124	0.13959576000654383	-0.17642282890057714	0.4556143489136648	0.8941074279923481	0.3855093193693674
prt2287	0.23063307730844715	-0.3325074034376171	-6.911467190178483	0.05135744740427217	-0.38618937587839125	0.4889042706869356	0.9918240950292757	0.8176979687385844
prt2288	-0.8357213061044475	0.1844937818880977	-6.582238569596809	-0.1100713224606285	-0.3688362301621502	0.1486935852408932	0.8991369089016464	0.4037078706946313
prt2289	0.9471377535586241	3.157104057806196	-6.505829983402877	0.20279932611373486	-0.21784573405191032	0.62344438627938	0.880304821188756	0.34400952308613597
prt229	2.2618156864696863	0.37152268442300823	-4.418537474262955	0.3782053595241629	0.04969366943552145	0.7067170496128043	0.305432022150939	0.02412912974992418
prt2290	1.0088531244778187	-2.6116421262825	-6.37644778525568	0.09879212117676994	-0.09376790642932392	0.2913521487828638	0.8620425246863915	0.31370471442067743
prt2291	-0.8770830605017821	-1.2634479694872276	-6.582014880898328	-0.10993091569281632	-0.3562954058047262	0.1364335744190935	0.8938033495544575	0.3809419670780929
prt2292	-0.6501476779270978	6.207785759960469	-6.776789377729525	-0.04768060811524499	-0.19174190054799078	0.0963806843175008	0.9353978144364751	0.515871894661716
prt2293	0.9588751413224004	-0.038781465251164944	-6.5136792489136255	0.08817666544974911	-0.09247360852539735	0.26882693942489555	0.8802302151064546	0.33806150648731625
prt2294	-0.1628233131831578	0.8505325117130536	-6.956383372310785	-0.04649096177063816	-0.6074891862425481	0.5145072627012718	0.9921574873914691	0.8707238926173143
prt2295	-0.20709575048313442	0.08872093194721281	-6.908637716830332	-0.03618264842024621	-0.3794432142094663	0.3070779173689739	0.9921574873914691	0.8360189232115384
prt2296	1.1618199806459062	-1.7577311996520062	-6.212434282987963	0.19986772910037132	-0.13833877213858614	0.5380742303393288	0.8141490572633895	0.2460087068030875
