	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value
prt336	1.8869140893230711	0.5688192706180997	-5.1204606233866965	0.3616987086290841	-0.014902575013402974	0.7382999922715712	0.5600947492180821	0.059743439916595434
prt3360	0.4158874283628119	-3.3130101605929303	-6.572625031515031	0.06265322260777406	-0.23373681995328688	0.359043265168835	0.9751228011523176	0.6777715179662376
prt3361	1.1791974324963534	-2.1000259622598088	-6.17089871808512	0.1401543686479012	-0.09348564181850785	0.37379437911431024	0.8433040770305275	0.23900078480101244
prt3362	0.8798843267435512	1.531627589537739	-6.5527669780336835	0.13730588375893338	-0.16923910210244786	0.4438508696203146	0.9100682665704393	0.37931660860039484
prt3363	0.8240255088468215	-1.505171492123874	-6.370314924996041	0.10105495999855929	-0.13992512019636189	0.34203504019348047	0.9221160251566011	0.4103416311946875
prt3364	1.0395076502656666	-1.4445722020054337	-6.194740715890755	0.09728404152662451	-0.08660458828898177	0.2811726713422308	0.8834069645972147	0.2990903257626266
prt3365	0.0513170882096198	2.247950813119919	-6.873002869954973	0.006491551114309324	-0.24200952309732138	0.25499262532594	0.9983689046419829	0.95909220188017
prt3366	-0.24486275498316276	-0.36841241089421944	-6.803618980461086	-0.031050561610387106	-0.2801802845154577	0.21807916129468347	0.9887409691253307	0.8066610808545255
prt3367	-1.6199078356977923	-0.3712858313036432	-5.577057761444949	-0.15687306484523078	-0.34711719731605484	0.033371067625593276	0.695646418086464	0.1058541966188236
prt3368	-0.01625745691943985	-0.7602130792748267	-6.8843431154990045	-0.0013216172790813108	-0.16103454147767302	0.1583913069195104	0.9995291464540942	0.9870353984527258
prt3369	-0.16014985715082658	-0.5902894923289056	-6.871136324599821	-0.012009177076836963	-0.15931104213969113	0.1352926879860172	0.9949124049355518	0.8728228525241601
prt337	5.118761123691364	0.8598386878915529	5.781121943553092	0.7090306187491983	0.4369222350538828	0.9811390024445137	1.2677764393109452e-05	4.310439893657214e-07
prt3370	-0.5975306467724559	-1.1887931584572964	-6.6918710910147725	-0.05828794364713408	-0.24996537976374691	0.13338949246947876	0.9647048182021365	0.5504369581461168
prt3371	-0.34658087714656627	0.09984157798204166	-6.8512341188939825	-0.025649606687802917	-0.17102726402170015	0.11972805064609432	0.9819917363488662	0.7290410805254576
prt3372	-1.0055059246145657	-1.2100444749184465	-6.334146432371492	-0.10548416788010717	-0.3116163907092847	0.10064805494907036	0.8941787509325512	0.3151593068523717
prt3373	1.4567689519107467	2.2838995061146448	-5.839297146439558	0.18694282508151172	-0.06513171283239516	0.4390173629954186	0.7605429632741416	0.1457543959356607
prt3374	-0.029973811684729575	-1.4205512544494971	-6.805532241190073	-0.004083500247870742	-0.2717889132414371	0.26362191274569563	0.9995291464540942	0.97610064704631
prt3375	0.168325002915385	-4.056398304759904	-6.590102431025439	0.07185979523250996	-0.7681020786229992	0.9118216690880191	0.9949124049355518	0.8664357775742633
prt3376	-0.7861194967807487	5.1726654939928105	-6.620502720806774	-0.07116866002431443	-0.24900551699345289	0.10666819694482402	0.9337471188299699	0.4321419370791859
prt3377	0.12395388018598172	-2.105607640519383	-6.77259535236347	0.01611366946219195	-0.2394446730211371	0.271672011945521	0.9957468699667953	0.901413657139822
prt3378	0.5132000178892414	-3.64299681108729	-6.546905173664902	0.11855437016599035	-0.3358658088374205	0.5729745491694012	0.9724364396417231	0.6081511305621266
prt3379	0.8066389824816685	0.27575505373908915	-6.51459449963334	0.07319719259910014	-0.10505283790466051	0.2514472231028608	0.9262894346527261	0.42022664018745337
prt338	3.060577586547275	-1.41046919425355	-2.248872025268793	0.6008013164011377	0.21493561144521878	0.9866670213570565	0.044511219600250285	0.0023516761022132236
prt3380	-0.4294381273497008	-8.91237943942063	-6.449890798260139	-0.08194696164279591	-0.4576602887895897	0.2937663655039979	0.9734534395116191	0.6679513017448894
prt3381	1.919542764759216	-5.054625230150001	-4.91300952946475	0.31338951741191634	-0.00790165512164781	0.6346806899454804	0.5372532948331545	0.055868535915055
prt3382	-0.06526787157514055	1.7294004524486704	-6.89624484788599	-0.007911288042218079	-0.24603301538901307	0.2302104393045769	0.9967332834729503	0.9479855878553967
prt3383	-0.7867259006698964	-1.2170132466826933	-6.3506821062767225	-0.07602892451911236	-0.2659276017985182	0.11386975276029349	0.9337471188299699	0.43183835924604763
prt3384	-2.354488727908149	-0.0015720809261689655	-4.116587813882836	-0.1647831013826384	-0.3022731223373972	-0.02729308042787959	0.2702462657180771	0.018917238600265396
prt3385	-0.8843863376637866	-0.7697020154797761	-6.417497068699774	-0.18768600464345697	-0.6047483171018502	0.22937630781493623	0.9086394185621653	0.37695728713446774
prt3386	-1.0591756773602985	-0.6619432134863757	-6.292430096741453	-0.07959265053957054	-0.22722236433958068	0.0680370632604396	0.8765947868540785	0.29001574479853137
prt3387	-0.19378981513130308	4.699139006093283	-6.860461794122866	-0.014459376115968592	-0.1610326532038576	0.1321139009719204	0.9934226361117535	0.8464143522565811
prt3388	-1.6485647488236912	2.063654768487043	-5.502320414213301	-0.11665270686909457	-0.25565537914037717	0.02234996540218806	0.6860495636065772	0.09982547280257936
prt3389	-1.2607576615253113	0.054947132996463637	-6.1666008595619015	-0.1308219765661618	-0.3346734952441678	0.0730295421118442	0.8230773575948397	0.20796421235229615
prt339	4.144167506855648	-0.7150988535813492	1.4851191962489683	0.5622134835584061	0.29564738355514075	0.8287795835616714	0.0009480809439786224	4.0293440119091456e-05
prt3390	-0.5514524761687972	1.6928818170511495	-6.776275948143957	-0.060775633886662295	-0.27726197529346264	0.15571070752013802	0.9713002573232371	0.581548491653018
prt3391	-0.5116277168984356	-1.0451743876376702	-6.761248354121879	-0.05618949728459666	-0.2719987238928372	0.15961972932364388	0.9724364396417231	0.6091520896939919
