rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P0C018	51281200	46218000	44844500	51616100	46376400	48436300	44904800	48326500	45598100	48409800	45793600	41567800	43292500	47114200	55397300	58979600	54873000	51566700	53318100	51520200	51506400	49554500	51336000	49967400
P0A8N3	5297000	4526540	4133400	5471870	5046780	3436080	4715400	4359260	3940490	3698940	3651630	5049010	4905730	3854590	5282390	5318670	5063430	5394750	5226980	5261720	5161960	5325710	5329460	5116760
P08956	989679	1352870	1365980	1040260	1338330	1109190	1427080	1331130	1255840	1212810	1216850	1476810	1362150	1226900	895363	922210	877336	918422	904112	924196	931396	994134	956108	926424
P76403	2705320	2270360	2152110	2603320	2348490	1815560	2319440	2181940	2089820	1898070	1933270	2515130	2356060	1966310	2630670	2481320	2496980	2543090	2649900	2642970	2533780	2715020	2563820	2519200
P25534	514255	487369	500680	543090	472662	380662	521794	482492	428971	417594	407094	503973	507446	490478	491939	525827	471034	512453	560079	526821	516936	535473	510440	514754
P63386	2113070	1841440	1984250	2193330	2245920	1666470	2005920	2059660	1965370	2018240	1783210	2151100	2119980	1961160	2195000	2283290	2241330	2236480	2035510	2143540	2222470	2187470	2117140	2033920
P0AD10	689085	651292	626542	685122	660547	598841	607049	697722	669549	659958	648060	615140	610295	641375	754525	810009	738033	700940	692549	722797	759885	733113	684693	708682
P77243	1484930	1328760	1528830	1397010	950573	1082980	1556910	1308340	1538240	1365770	1232800	1328460	1151500	1142660	369160	1142390	979522	680769	NA	1267890	968110	980743	465632	NA
P0AAZ4	708336	671720	637369	722351	680630	564003	663312	692382	604492	614916	607560	630679	720762	644120	688281	718666	685193	684910	701897	700280	703564	736531	661472	681481
P04693	7196710	6957970	7239860	7107050	6474820	6151210	7212670	6341220	7296800	6555870	6283120	6870220	6090780	6006100	7300330	7472200	7009940	7729050	7398000	7254530	7233210	7436210	7101430	7497890
P0A6J8	3012540	3979590	3797500	3362080	4421730	3240160	4050930	3912940	3280930	3524340	3510030	4171260	4476070	4159650	3044170	3006310	2704540	2938530	3047760	3020720	2926340	3035360	3140840	2763160
P25553	6068370	64253600	69502900	3693500	60539500	62013400	80212600	62765900	85838300	68532900	63116700	70617000	58564800	55941300	5832100	6071480	6464360	7157400	5503820	6540930	5898980	6295780	5129240	6770920
P0A8G0	1132180	921448	994080	1173350	1021410	937320	975782	976003	1049110	959949	1033740	992515	1069360	992002	1114810	1050350	1174970	1079510	1090800	1122260	1105780	1154950	1153950	1182480
P0A821	1859460	1679800	1566910	1983550	1611680	1300370	1662250	1655470	1621850	1558300	1447660	1780930	1610370	1578040	1807240	1957190	1725460	1885700	1936690	1837410	1839570	1940040	1839950	1834870
P10902	879723	770638	699276	976094	732500	675841	784000	843670	647818	690357	739781	784920	735880	780119	842818	800947	843259	767929	933305	896214	858902	920818	878815	889805
P0AE88	7384070	11831300	11471100	7552430	11533700	11842100	10747700	11948300	11134900	12149200	12149100	10392800	11124600	12149400	8161870	7898270	8182970	7309200	7847270	7690480	7724010	6832340	7679040	7728750
P0ABH0	5309420	4951620	5093280	5376260	4849490	4448090	5394550	5017200	5318790	4743440	4995000	5021850	4840730	4958640	5462550	5200500	5361920	5539060	5484540	5420940	5360250	5678250	5446650	5506620
P77562	497823	526322	555145	488535	537214	520984	537152	563236	514375	467302	538894	550028	566902	557279	445873	539828	464269	515800	418384	472664	469087	554273	474265	469865
P0A847	2526870	1806560	1799580	2529900	1650960	1806710	1726750	2005830	1866570	1940870	2026270	1707360	1846480	2119740	2526670	2223010	2895920	2230030	2478520	2329560	2471500	2351460	2599400	2654430
P39384	694030	677508	583245	903711	828406	357267	602058	727399	417028	459875	559271	776710	873142	689374	677334	537312	506088	508683	671969	608668	616359	607660	735796	580893
P04994	593581	556567	563303	619200	580701	476226	555876	542342	501240	543690	509991	579185	610830	544512	611110	579902	617962	597098	599602	629592	603144	589326	571274	591822
P0A6R0	8537290	7558390	7115170	8449400	8007320	6683620	8249940	7742630	7580750	7049870	7022570	8556850	8193550	7384530	8662480	8357480	8659310	8660220	8987400	8528060	8442650	8501290	8689300	8576460
Q47679	510937	520480	523373	515053	536448	471816	539171	561084	563922	559473	532684	541175	504970	534860	502484	516831	555395	514393	525268	533291	490252	528926	510194	540547
P32173	556261	648741	648388	657567	702169	550223	590425	609223	702570	623504	611673	626384	707474	620728	604380	620067	615485	583314	622665	584534	610852	599304	593574	643194
P76062	743347	906286	966419	804445	811506	961307	846620	888879	829391	947822	1068430	702747	917914	949900	848645	789072	854696	812155	850162	772699	841901	766029	788115	749035
