	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P07339	-0.5326148245650058	16.65683393844666	-6.692911991286277	-0.03499779375476919	-0.16659807374800192	0.09660248623846354	0.669360035085566	0.5963846929145832	57.0	8.0	-0.5321396334398953	0.596697492006915	0.6697111091723181
P07357	2.479966176226574	21.10199383864563	-3.8998593604686573	0.14342902666936652	0.027599124466265862	0.25925892887246715	0.03476124575873552	0.01613914981655578	57.0	19.0	2.5118587150535134	0.01486636792627791	0.03281704455095373
P07358	2.365733237791479	21.05708319752558	-4.151856865360629	0.13610726292930053	0.02088273832578967	0.2513317875328114	0.04390299796743938	0.02144236694464025	57.0	27.0	2.398171801634078	0.019773670452825486	0.0409868694800664
P07359	-2.6198136340119063	18.520116257582497	-3.5784774903892664	-0.19346052342223174	-0.3413547963046513	-0.04556625053981217	0.026188226615682222	0.01127275168231434	57.0	8.0	-2.619812659805868	0.011255135638311728	0.026147302006907593
P07360	1.9053847344866297	19.720214792780457	-5.065689990364565	0.11265626553691277	-0.0057574654856715896	0.23106999655949712	0.1050627849862941	0.061813255076522654	57.0	12.0	1.920185676050641	0.059843084058147644	0.10303081138813769
P07602	-1.2315618836914208	15.492082602528985	-6.08239311588426	-0.05281557479937504	-0.1387041043436676	0.033072954744917504	0.3107531394147936	0.22320415322773554	57.0	5.0	-1.235119079117183	0.2218531647881046	0.30896828185149644
P07737	-0.9186066475849497	17.45987639098526	-6.413922048469791	-0.10005179543443887	-0.31818646614798923	0.11808287527911149	0.4576952295156563	0.3621986684700964	57.0	6.0	-0.9204730457471478	0.3612049671239642	0.4575262916903547
P07858	-4.3122836101283255	15.086366863269717	0.8980500389002266	-0.3292519450028095	-0.48361229956735563	-0.17489159043826344	0.0005708485793685553	0.00010408329360667268	40.0	3.0	-4.245182006847053	0.0001261550129434667	0.0006779239079386291
P07942	-1.3163560820738154	15.580463041654971	-5.976772692679831	-0.0706301147987034	-0.1780898890254738	0.036829659428067	0.2802919723197996	0.19335931173189183	57.0	4.0	-1.3158829762927786	0.19348119827454657	0.27970651489689885
P07998	-4.260743582854417	14.028766679089593	0.5864694011447122	-0.5819397777414945	-0.8596250632784546	-0.30425449220453443	0.0007860129732518477	0.00015513413945760152	34.0	3.0	-4.24929458213095	0.00015760527641261391	0.0007910000665236849
P08123	-3.866807297077039	12.754202857392722	-0.9237247110739109	-0.3144172768653828	-0.4837081072072419	-0.14512644652352372	0.0033219310789215774	0.0009179020086493832	21.0	3.0	-3.7258171780800247	0.0012490818395610884	0.004259689350298071
P08174	-5.763246686768722	15.061136711200616	5.28771787603423	-0.35733058235465265	-0.4827808895412504	-0.2318802751680549	1.597438643465953e-05	1.1410276024756807e-06	39.0	3.0	-5.610369041010065	1.8000547669383492e-06	2.2800693714552425e-05
P08185	5.8195352237940945	20.089490294001077	6.4772263812800865	0.49592127267494845	0.3252525914258283	0.6665899539240686	5.168385919339615e-06	2.8912746564118474e-07	57.0	10.0	5.8430741306799225	2.5959050574901566e-07	4.762143070981943e-06
P08195	3.9515056374973554	14.851268004687741	-0.17065492998525666	0.19857549944214092	0.0968963724193971	0.30025462646488477	0.0014190958384655468	0.0003200968056689203	39.0	3.0	3.7861195803624614	0.0005161002015237773	0.0020960949295494597
P08253	-1.8111103236085753	17.05072360450077	-5.231696359525771	-0.1233129711644807	-0.259674936488853	0.013048994159891553	0.12385477393276323	0.07543035104175806	57.0	11.0	-1.8216556670070287	0.07375583787343791	0.12148020355625068
P08294	1.8238223060102976	15.264354123785777	-5.209747096348379	0.09178587828125018	-0.009005350762115366	0.19257710732461572	0.12136680099485248	0.0734588532337265	57.0	5.0	1.8293520637324687	0.07257900411496736	0.11991313723342432
P08514	4.36714818545824	15.426238232340674	1.418705105850325	0.36315364949105344	0.19661237633591794	0.5296949226461889	0.0003238409811820626	5.417640474662326e-05	57.0	4.0	4.375171647551727	5.22761185552117e-05	0.0003196654605904899
P08519	-3.242554625826343	20.00525374956063	-1.9886236124358403	-0.5903044074687074	-0.9549056301523662	-0.22570318478504858	0.006295817857131179	0.001988153007515109	57.0	29.0	-3.256898699921351	0.0018994830155491217	0.006015029549238886
P08567	0.5575356515765314	15.173627951602853	-6.6644782233904	0.04327563866870676	-0.11282161235505372	0.19937288969246725	0.6548608893462973	0.5797734565453121	48.0	3.0	0.5510630677186279	0.5841465115525224	0.6598003060423395
P08571	1.4673482629095456	18.71582569883848	-5.772419558042643	0.05292343480276429	-0.01931098960414264	0.1251578592096712	0.22403889578045524	0.14781513612582667	57.0	12.0	1.4897199548882323	0.1418107603146295	0.2167911623200658
P08603	-2.384782917724855	24.037262541086207	-4.110503932118409	-0.13245003251890353	-0.24368276682739345	-0.0212172982104136	0.04219260004056675	0.02046182483170342	57.0	76.0	-2.402524652146246	0.01956181444162721	0.04081131483508108
P08637	-0.525619692915547	15.358659689934191	-6.69661740398139	-0.043674000016665104	-0.2100845047295173	0.1227365046961871	0.6719353457380776	0.6012053093445957	57.0	4.0	-0.5265840787778061	0.6005257101960245	0.6725887954195474
P08697	3.166295579759016	20.602606814715074	-2.196310452888115	0.23106617685776598	0.0849109605216925	0.37722139319383946	0.007559842136136985	0.0024867901763608504	57.0	19.0	3.195790937580404	0.002274549322912564	0.0069543691941924375
P08709	-1.5859728213839637	14.372563765651474	-5.597505742933085	-0.17872251668312344	-0.40441283380482196	0.04696780043857507	0.1873335036684401	0.11831589705375163	57.0	3.0	-1.5817584803583853	0.11923827174847529	0.1893574942393697
P09172	3.031199542959527	18.84735784973302	-2.5557155762442125	0.29844412025704514	0.10125729429705893	0.49563094621703135	0.010271776721673755	0.0036693228847178294	57.0	13.0	3.0474028083837537	0.0034948383722492957	0.00980175546955308
P09486	2.9080696530503247	17.32184271951607	-2.873449094651605	0.17143247381990534	0.05336842194174295	0.2894965256980677	0.01332881721667083	0.00518621271400538	57.0	7.0	2.895123674705138	0.005364055582461806	0.013852803737231459
P09871	0.968329780475973	21.654163607015104	-6.367461533191554	0.04333725441023262	-0.04629565655446459	0.13297016537492984	0.43105582333768483	0.3369984830587265	57.0	27.0	0.9882830479841765	0.3271908098919447	0.4214661279964034
P09960	1.856572399442964	14.343828754325129	-5.103737578469571	0.09974334859977851	-0.010036810820362355	0.20952350801991937	0.12136680099485248	0.07334599696989683	30.0	5.0	1.8615609865994682	0.07248850064499157	0.11991313723342432
P0C0L4	-2.8032023735054423	20.5338846731849	-3.136374521700149	-0.27782767955814336	-0.4763230835641262	-0.07933227555216046	0.016958385990392573	0.006917236390818023	57.0	5.0	-2.812494243467499	0.006731324024491899	0.016733945705746215
P0C0L5	-1.4186530027411586	23.06540309910504	-5.8405806927314465	-0.10619292595877994	-0.2561092074877974	0.04372335557023754	0.2419958192479419	0.16148217261845746	57.0	6.0	-1.419355835696481	0.16124108864482548	0.24231711626849478
P0CF74;P0DOY2;P0DOY3	5.169104827567754	19.327430495289203	4.147745614405981	0.5945096396999361	0.3641677330713234	0.8248515463285488	3.76793134082853e-05	3.1871599687459372e-06	57.0	3.0	5.156612778815029	3.2897334576220154e-06	3.8046482596845916e-05
P0CG47;P0CG48;P62979;P62987	-2.49188159147046	16.405629092991862	-3.873023118012958	-0.1555810369506645	-0.28062382716020184	-0.030538246741127123	0.03426199483834206	0.015660487617409687	57.0	4.0	-2.4934335905558864	0.015578324314944575	0.03396585465389555
P0DJD7;P0DJD8;P0DJD9	-6.297363780243296	12.574083077623646	4.588769220946352	-0.7687400447994825	-1.0228959971489924	-0.5145840924499727	3.817239692251607e-05	3.300620786533344e-06	21.0	3.0	-6.223253479309675	3.5757173138642823e-06	3.9630866895329133e-05
P0DJI8;P0DJI9	-2.6179773349513	17.58290412954446	-3.650048625896532	-0.5004292461210511	-0.8972644337428197	-0.1035940584992825	0.03426199483834206	0.015842952500436366	22.0	4.0	-2.6366804342794867	0.015066942391071167	0.033122369223346534
P0DP23;P0DP24;P0DP25	-0.8528616876291231	14.388153530264777	-6.458561385956835	-0.09533352031142783	-0.32001060420357774	0.1293435635807221	0.4902670283416495	0.3979186408576021	49.0	3.0	-0.8498979567506094	0.399515528571906	0.49199597500058795
P0DPH7;P0DPH8;P68363;Q6PEY2;Q71U36;Q9BQE3	2.058608160876268	14.68451296260558	-4.773503685029278	0.14532298873437455	0.003356760733609271	0.28728921673513985	0.08119979891682408	0.045026204286584784	48.0	3.0	2.0281580941825577	0.04811331872492546	0.08706219578796034
P10124	1.2698790415305494	16.646728907712394	-6.03548660863964	0.0898970000259709	-0.05188210793116041	0.2316761079831022	0.2962769502064738	0.2093226251661925	57.0	4.0	1.2714545428101074	0.20873076444378458	0.2961193778242491
P10586	-4.92527686330721	14.011504563202518	3.0439287355631057	-0.2825048310723943	-0.39785537402899374	-0.1671542881157949	9.170217740973268e-05	1.0556700871972421e-05	48.0	4.0	-4.923864586213542	1.0443087725967202e-05	9.416479102058562e-05
P10599	-3.4380501624023903	15.85783473407697	-1.5731084826421107	-0.3202900663524417	-0.508631553202735	-0.13194857950214844	0.00459781241518889	0.0013914432309124272	40.0	3.0	-3.407142018227783	0.0015082811741791574	0.004922733648241176
P10643	-0.34156623409783204	21.67891156538502	-6.776630381481722	-0.023059480874906058	-0.15826797957535324	0.11214901782554113	0.7903990380574523	0.7339419639104914	57.0	44.0	-0.34492259762036687	0.7314220968830918	0.789283074121308
P10645	-4.415332089596723	13.041047337533817	0.8889023115192991	-0.4800829090995151	-0.7019546953825383	-0.25821112281649194	0.0006191041278415796	0.00011637295636119917	31.0	3.0	-4.3789916736274614	0.00012613989043830422	0.0006779239079386291
P10721	3.5140905160378355	16.69963173332562	-1.222425289309042	0.21175747509525422	0.09107194505837476	0.33244300513213365	0.0032045475101799797	0.000875480318151095	57.0	4.0	3.5155616047946903	0.0008679441182927125	0.003184457040908435
P10909	-0.6531107216040047	21.74903809101355	-6.621489382772179	-0.03482233553826575	-0.14160493248932776	0.07196026141279625	0.5926239375993299	0.5163286175086765	57.0	23.0	-0.6630990128754456	0.5099399732622387	0.5872036055746991
P11021	-0.8908373267667778	18.180144221252494	-6.438835233107164	-0.03899501062859656	-0.12666279546485681	0.04867277420766371	0.4683425385424258	0.37678685431608694	57.0	14.0	-0.9041788075596778	0.36970631322334324	0.4649734246686019
P11055;P13535;Q9UKX2;Q9UKX3;Q9Y623	4.991870433192294	14.145383229289498	1.6698915735818645	0.3488194429494573	0.20333487040950154	0.4943040154894131	0.0003761935464058158	6.434889609573165e-05	21.0	3.0	4.736062206000352	0.00011203259773616485	0.0006273825473225231
P11142;P34931;P54652	-3.171501304705489	14.08599622522687	-2.4680588353242836	-0.20650312587840602	-0.34167773098121723	-0.07132852077559479	0.01205197383738699	0.0044855090597793685	22.0	3.0	-2.996452043311136	0.0066490576808376	0.016607036085472315
P11226	-2.2118064154784443	18.57880822261548	-4.475931984381672	-0.2781515645950634	-0.530014226926263	-0.026288902263863823	0.058542818348729174	0.03103209544049178	57.0	11.0	-2.220913627823072	0.03034602703437384	0.058281900297064565
P11279	3.1605218732587637	15.934067800966975	-2.211895461611663	0.18339863518583854	0.06718242870756724	0.29961484166410984	0.007596541491946307	0.0025289758754815047	57.0	3.0	3.100721873426047	0.002999047023319952	0.008624286575168727
P11362	3.87188212143556	14.584816506614528	-0.3956259503667461	0.1752947696261309	0.08369052826570167	0.2668990109865601	0.0017243403664174805	0.00040515516128230276	39.0	3.0	3.671238430665642	0.0007216391244529496	0.0027619569367551737
P11597	-1.5193337394948692	17.809834798344824	-5.697305907121489	-0.12571808386078942	-0.29143771840064636	0.04000155067906752	0.20821516826329656	0.13424399006449383	57.0	9.0	-1.523173177172272	0.13324455601671947	0.2078771372460257
P11717	-0.8027367131647557	15.53794234114782	-6.51294332532464	-0.09261794803953904	-0.32369213044052614	0.13845623436144805	0.5144490441810473	0.4254841718790616	57.0	7.0	-0.8038139254857678	0.42484406016016374	0.5136750909209252
P12109	2.412793632449443	13.878749237145358	-4.059813426714294	0.21057193284830333	0.02886986570299674	0.3922739999936099	0.05010637333825745	0.025241556493708642	21.0	4.0	2.412759927700881	0.02505792758135248	0.04992815533063491
P12110	2.3964054317297454	13.611922812834338	-4.091453146561157	0.4161392382481406	0.061301195457144964	0.7709772810391362	0.04669168067099676	0.023082541384346143	30.0	3.0	2.397505205946156	0.022936514373981934	0.046751822402139424
P12111	-4.092055461232805	17.963260949795885	0.5324659866399131	-0.19360485888917367	-0.28836029556080695	-0.09884942221754041	0.0007216411101402114	0.0001370032934664687	57.0	16.0	-4.155676472204029	0.00011003082696355662	0.0006227276589852354
P12259	-3.091159690713944	20.98194282295594	-2.397566333311042	-0.15380951657418507	-0.2534626965330832	-0.054156336615286946	0.008937432556369885	0.0030911420871655238	57.0	47.0	-3.136795839974745	0.002701827734452596	0.00794128372778332
P12814	0.5936460126368133	14.592177629942766	-6.621931851410868	0.043764062359285205	-0.1053981527997408	0.1929262775183112	0.6309256961671436	0.5562108110947186	39.0	4.0	0.5943854101577694	0.5556870490488899	0.6303315780256065
P12821	0.048120122144347466	15.836754941168024	-6.819630841021924	0.003327025442104059	-0.13571747413316473	0.14237152501737285	0.9709472382252228	0.9618217942569406	48.0	3.0	0.047370954172281106	0.9624141285290183	0.9715451923670545
P12830	-6.981816801235598	16.790239811263955	10.77772470158847	-0.35494656397852964	-0.4567644142721139	-0.2531287136849454	1.4416776330224744e-07	3.52289647167146e-09	57.0	6.0	-6.961707818181157	3.6852063226544194e-09	1.5080998181939624e-07
P12955	6.63366187605975	18.109676291645787	9.478681276716577	0.38051160198283185	0.26563172341381447	0.49539148055184923	4.1259758672712655e-07	1.3310781201515283e-08	57.0	9.0	6.644089993365885	1.2437448987336727e-08	3.912755942439595e-07
P13473	3.6582825424552485	15.231328001091256	-0.8795581658171576	0.2279463572283298	0.10263806128199479	0.35325465317466476	0.002444330741672816	0.0006340557187046027	48.0	3.0	3.5853157153276096	0.0007860080609112013	0.0029656474354947454
P13591	0.48130508427996943	18.379046900154304	-6.718963600156544	0.025676846872670467	-0.08116727591806276	0.1325209696634037	0.6991816741188449	0.63215485949467	57.0	12.0	0.4855261967516366	0.6291642448231031	0.6973237046789392
P13598	4.619770660244487	16.75780788468991	2.257061363756627	0.3705030824067421	0.20988264468127132	0.5311235201322129	0.0001655132297140794	2.2615033119912404e-05	57.0	5.0	4.6348446177600175	2.124243783462061e-05	0.00016144252754311664
P13671	2.420415499849696	21.903796457055407	-4.0324286839575185	0.11222193556763216	0.0193643845426055	0.20507948659265882	0.0392400462204074	0.01873490928568323	57.0	41.0	2.4633824838483114	0.016805782062575794	0.03619706905785555
P13727	-1.2252692273189452	15.241432765430895	-6.089966313172141	-0.06979364107522201	-0.18387474771821266	0.044287465567768636	0.311665060260193	0.22554708308303442	57.0	4.0	-1.2253472379859258	0.22548363585542358	0.3123887871747014
P13796	3.8300465621052937	18.703958100648727	-0.2824377370209685	0.15272281155139922	0.0728628212907037	0.23258280181209473	0.001420452893020884	0.0003230729324352011	57.0	18.0	3.9175134523955317	0.0002419296541350273	0.0011290050526301275
