ind.p.Center1	ind.p.Center2	ind.p.Center3	stat	pval	FDR	weight	ID
0.0137969165781593	0.113935855643614	0.00143776650102781	-3.68904412996419	0.000225098176325166	0.00133532816464081	NA	P01008
0.013908456933073	0.043751306572565	0.000825056558969152	-4.07348333471403	4.63151670790382e-05	0.00033771475995132	NA	P19320
0.0141069408171523	0.00598014332143467	0.0231428747518491	-3.86847286621861	0.00010951912074053	0.000751601809003636	NA	Q9HDC9
0.0151637322737173	0.498231603102411	0.465674587393679	-1.30271423908184	0.19267233895693	0.330565287426105	NA	Q9UK55
0.0157539603340417	0.248904557819631	0.464815830236764	-1.68404271446328	0.0921734140413473	0.189768793614538	NA	P49913
0.0184265541119981	0.601802702291437	0.33099740133677	-1.30858308943163	0.190675612227908	0.328751055565359	NA	P60174
0.018536607517581	0.55410378951529	0.084127849769965	-1.92070037479946	0.0547694923414837	0.127605959613291	NA	P24593
0.0186135828367232	0.0102396054927227	0.017398880762009	-3.75936915784092	0.000170342335051443	0.00108399667760009	NA	P04196
0.0191446238918587	0.0603341399174004	0.154508585998219	-2.67948603411591	0.00737352790723706	0.0255518293815146	NA	Q9NPH3
0.0192366016627777	0.00110658323353286	0.00360597364393786	-4.51297414852169	6.39248163916564e-06	8.05035222311096e-05	NA	Q9NQ79
0.0200230535483737	0.0214141857372907	0.00491719541759305	-3.84529796330287	0.000120406037588843	0.000810425253001831	NA	P06312
0.024152353918833	0.177856415496705	0.368041281994685	-1.86789469416429	0.0617767506030352	0.136516436634215	NA	P07942
0.0249346623955452	0.00627633588787013	0.0158194793469281	-3.81411444451516	0.000136672126049236	0.000901083432949355	NA	P13598
0.0249810628389171	0.0097245274806209	0.0713102102393894	-3.32738542046861	0.000876650320822815	0.00464890321648462	NA	P05155
0.0268531999353614	0.000876917786949887	0.647655753840922	-2.70155432202099	0.00690162052267603	0.0241556718293661	NA	P02652
0.0275569891585381	0.00124932183164153	0.0104070301839494	-4.18741910497878	2.82144534554086e-05	0.000229652528125419	NA	P02655
0.0276125357923516	0.0745427479454076	0.459654041997955	-1.99831076616259	0.0456829790194071	0.115862627947772	NA	P08709
0.028364429069408	0.20824846028096	0.163629672926007	-2.13478551079652	0.0327785343520198	0.0856163414878086	NA	P01040
0.0285854866137973	0.0170825620437308	0.626488809390378	-2.13478191892603	0.0327788278839038	0.0856163414878086	NA	P25311
0.0288955067362775	0.924587981945569	0.433403299338815	-0.362789061039022	0.716762464008227	0.818835347724953	NA	P04406
0.0293199536743097	0.115296562967546	0.0875443114042557	-2.56675435785432	0.010265530507153	0.0329627126376471	NA	P05109
0.0295109466329513	0.243157608627029	0.00666482953479672	-2.92084372791145	0.00349084879850718	0.0138840577213354	NA	P02649
0.0295812637898826	0.278032379290187	0.31558056171801	-1.70651663699101	0.0879119314232612	0.183149857131794	NA	P06702
