P_1.RIC_1	P_1.RIC_2	P_1.RIC_3	P_1.RIC_4	P_1.RIC_5	P_1.RIC_6	P_1.RIC_7	P_1.RIC_8	P_1.RIC_9	P_1.RIC_10	P_1.RIC_11	P_2.RIC_1	P_2.RIC_2	P_2.RIC_3	P_2.RIC_4	P_2.RIC_5	P_2.RIC_6	P_2.RIC_7	P_2.RIC_8	P_2.RIC_9	P_2.RIC_10	P_2.RIC_11	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_4.RIC_1	P_4.RIC_2	P_4.RIC_3	P_4.RIC_4	P_4.RIC_5	P_4.RIC_6	P_4.RIC_7	P_4.RIC_8	P_4.RIC_9	P_4.RIC_10	P_4.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11	P_6.RIC_1	P_6.RIC_2	P_6.RIC_3	P_6.RIC_4	P_6.RIC_5	P_6.RIC_6	P_6.RIC_7	P_6.RIC_8	P_6.RIC_9	P_6.RIC_10	P_6.RIC_11
2323900	3409900	2209800	2532000	1998100	3107300	2816500	2820400	2986700	3147300	2952700	2321000	2314500	2902700	3162100	2143100	2805200	2948300	2703500	2526600	2631400	2727800	6283100	8978600	8171200	7619800	7232300	7781200	8023300	9020600	8667800	7161900	62636000	80566000	43791000	69581000	41056000	58371000	42898000	63491000	62608000	59617000	58086000	6660400	8131300	6980900	8657300	7922300	11560000	4507200	7859900	6956800	9222600	6763300	90446000	92911000	69588000	95095000	70072000	77936000	51874000	82202000	81631000	82179000	72701000
334200	532260	360680	368090	422270	442680	404900	401330	351930	405200	442150	191350	298350	376300	349010	400820	347820	350580	410350	420040	320530	349530	1736700	1879900	2450900	1896400	1712000	2281200	1440500	2965500	1944800	1752300	5504400	6336400	5265300	5183700	7126000	4420300	3435600	5871100	4959800	5751500	5278500	598740	815590	620830	719580	518320	749680	562620	885360	585550	552180	562640	3232500	6695700	7780900	7423300	6333000	7145900	7515800	6124000	5888200	8574400	5756400
158630	283140	200260	168160	227090	231150	229000	183030	180680	176670	232610	93956	177420	188350	211330	190440	191260	192200	247010	253070	193950	199890	404810	414930	476150	362820	414210	464490	290770	468420	419790	382690	1394000	1559500	1092700	1582600	1524400	1047200	1018200	1256800	1922300	1356800	1194600	299530	334180	275570	377390	277750	339380	249180	499530	263090	281210	281400	626880	1191500	1389700	1539500	1133900	1404700	1807300	1533900	1038100	1694500	1105900
222920	243070	206700	189690	272690	159450	176720	207060	221530	207110	243730	179370	180550	266860	227680	659760	220400	220920	203480	248040	219720	277240	601850	588130	500930	666750	545260	482850	547530	612660	549760	517600	1054900	1225100	1227200	1020400	1471700	1109500	1284700	1099900	1048500	1181900	1190600	963670	765630	700680	729920	913220	667770	1107200	567540	704590	607060	674130	1071200	1493800	1205100	1455100	1493700	1219300	2616300	1290100	1390400	1341400	1164900
1224700	1739600	1551100	1914600	1977300	2480100	2002100	2202300	2107900	1856100	1536600	1895600	1841300	2246900	2559300	1216000	1641000	2321900	2116000	1869000	1529900	1478800	2659000	5214800	5020700	2816800	4354000	3566500	4070700	3622200	4484500	3837200	8352600	12524000	7598000	11345000	10440000	11625000	9562500	14051000	11651000	14193000	9886100	2890700	2631800	3433100	3843800	4990600	3727600	3910000	3320300	3151000	3572200	2956300	9655200	15642000	13517000	14033000	7912500	12150000	7722700	10673000	12614000	15320000	11641000
195770	295790	386590	226510	218390	163330	286930	155960	226350	256370	239880	92102	106250	133880	147130	147500	144540	181640	269110	158890	143040	180140	244220	215800	195920	153650	186590	222310	170090	331740	190570	192700	320410	406580	785300	349240	408100	296090	318020	389980	408760	299650	396380	136450	152600	172880	183340	262570	204380	145500	174080	167300	180070	158800	319320	409320	402380	362170	271220	369510	281740	466740	264660	459450	265960
2227500	3558600	2733400	3528500	1921600	3047800	3527600	3282300	3194400	3563100	3674700	2727600	2614100	2900800	3313600	2014900	3065200	3395800	3376500	2808400	3087600	3188400	5479900	6672300	6746400	4098000	6555200	6771400	5861000	6996200	6679600	6091900	123650000	147830000	78054000	116550000	82451000	93253000	79757000	119360000	130910000	153170000	120780000	6998700	7788700	5347600	8464500	6779800	8339800	5404600	7514800	6731100	7417900	6168300	143200000	191820000	147460000	191450000	169890000	213750000	74257000	177030000	145120000	148200000	143720000
62055	58018	48325	54723	54799	53979	70562	53009	66289	52764	70291	41754	25463	35046	30940	38800	32774	37775	30987	33568	27266	36813	197190	131680	141450	131370	135190	228320	135820	185300	128600	189040	91822	107380	97619	101680	138410	51295	117620	70269	80282	88583	120980	201300	215570	219420	267420	331880	204410	239840	174870	201950	179800	214600	184640	194590	143690	192830	156200	162250	213850	174830	208290	135150	153530
435600	472240	456950	385620	390730	449840	487940	385590	437710	469220	486780	378490	395300	516610	429720	383540	475770	461620	458460	488910	390690	475510	957100	949650	1015700	962790	1054100	1012300	879870	958690	907640	954850	1761900	1311000	1930700	1764700	2018000	1627300	1633800	1620800	1850900	1966600	1971200	908730	898690	935170	1052600	820070	920950	874630	955200	836870	951530	811390	1908100	2309500	1711400	2584300	2668700	2264700	2439000	2220300	1902200	1902100	1894500
1016100	1240600	1193100	975800	893160	1050800	1192800	766360	1019600	1013000	1116300	847470	840070	1461900	1141100	1130500	1220600	1312500	1121200	1329800	991750	1224500	2922100	2508400	2918000	3515400	3088700	3232500	2564900	2685400	2814100	2913800	6930600	7566900	6584500	6878600	8520900	5726300	7655800	8381800	8108500	8215800	7290500	2973600	2508500	2462400	2770700	2161500	2475100	2342200	2555800	2334100	2508500	2259400	7653300	9931100	7764800	10281000	10265000	8819500	10279000	8926300	7582500	8496900	7948200
3414700	1821500	2418000	1891800	2726600	2270400	3169600	1631400	2498300	2024300	2721000	2686200	1551900	2140900	1665300	3644300	1951000	1988500	1981700	2142400	1804500	2552200	8394400	4562800	4802100	4532000	5363200	8577300	5256800	7227300	4624600	6200200	26275000	23070000	54775000	22588000	40305000	24685000	38631000	19276000	24185000	26775000	34022000	4720200	4018800	4906400	4552500	4106400	4285600	4183900	4185700	4357600	4336500	4509300	34202000	39882000	36797000	43554000	58017000	42210000	51231000	39523000	39904000	37461000	39784000
1562200	1551000	1553100	1549600	1746700	1620500	1691800	1593400	1568500	1732700	1854800	1276000	1389700	1439600	1307900	1528200	1387700	1595900	1468300	1643200	1364700	1624500	3235600	3319500	3891400	4013700	2870500	3801600	3247800	3850500	3400100	3203600	13536000	16119000	13310000	12826000	16538000	11801000	8966500	13261000	18249000	12390000	13540000	3153700	2116300	2586200	1974800	2431200	2228500	2335900	2348400	2677600	2315300	2426800	12369000	13421000	13443000	14986000	13118000	12014000	11434000	12632000	11067000	15134000	12650000
78337	98485	101290	117600	130760	99202	113910	84700	168120	96837	118160	77083	55542	73916	65614	66083	61468	60290	58731	65752	77932	77840	82717	95787	78746	88271	67040	84058	107050	92091	99713	89577	182510	209220	357260	243510	299740	199740	371730	249960	366060	187420	263580	98997	108430	108730	113820	102590	96721	133450	99574	166100	119490	100740	193240	247400	247160	227250	190310	189570	161720	179480	190370	142440	217390
128970	128890	143830	125210	170920	139560	154950	104210	166130	124880	163370	84148	73712	90333	69638	126260	68217	90874	68699	115750	81381	102320	313720	277190	275590	403350	243520	421920	261740	315750	298030	336740	648800	683360	1102400	610960	960100	601130	789200	630360	676750	713300	776500	324090	291550	334200	403560	289550	287460	439860	287210	292780	305180	331230	606900	768690	664700	911630	628560	938200	973740	778080	729650	786310	656550
61900	63346	67358	66273	71439	56779	82524	54083	74110	71533	70923	36913	37874	58870	47102	47528	48966	40117	45775	46161	42580	51734	298620	275990	285210	244490	192350	277290	335430	322820	304980	274360	122440	184330	198510	189430	218460	151630	245960	160690	176360	135080	200420	157340	178370	241510	176240	183860	173930	233930	162570	210200	172730	159370	385490	213820	216110	229210	200600	228710	205590	187660	209160	187090	223720
14415000	14368000	17148000	10589000	25794000	9510200	15265000	10127000	11172000	9239300	15901000	11688000	11037000	12254000	10708000	22038000	11520000	13122000	8832400	13904000	9026200	15899000	35616000	29630000	30065000	65804000	31856000	35484000	28052000	39359000	36903000	34507000	96105000	137770000	330080000	100100000	222860000	119570000	127160000	126120000	170930000	149900000	144120000	42566000	25660000	28363000	38339000	19806000	23423000	51176000	31147000	36275000	28753000	32719000	180760000	185170000	140630000	188960000	177120000	164330000	310510000	183950000	177470000	197510000	153250000
242210	228710	259380	201760	293270	175520	244260	171220	217210	196390	244810	160270	133140	142060	151130	296950	170550	166690	132760	217050	154660	200790	428690	358960	379190	471170	374250	549160	361540	463110	421760	402350	587960	619870	882180	574440	768640	563970	711680	515250	595830	607180	586050	841240	572880	787010	711880	752650	688460	722720	688250	770230	683590	631770	730930	921260	876270	1045300	1090800	856790	1239900	726440	1028000	1011700	778100
991280	758780	946400	886740	791080	1053100	960820	1285700	805740	950920	997270	935290	816830	889850	1222300	651310	1083300	921760	944290	1050600	1107000	972860	2049800	1815500	1699300	1740500	1660200	2104600	2027500	1892100	2922900	1933300	11197000	13936000	11257000	20321000	19134000	18645000	10442000	8997700	8928300	18747000	13779000	2794800	3093600	2514200	3045700	2279100	2462800	1626800	2685000	2243000	2385000	2182300	19751000	30286000	28991000	27321000	20767000	29320000	16876000	22036000	21498000	22657000	20021000
821950	734770	837540	772860	603760	684800	750210	775530	676300	781010	900720	534770	480540	614440	585100	617620	562410	610010	557670	630380	607460	694450	1528100	1504600	1585700	1248800	1430400	1540600	1546600	1740300	1610400	1392100	11621000	11356000	10540000	9903100	10964000	8566100	11479000	9363800	10821000	12180000	10676000	1872700	1715700	1698400	1979200	1813700	2031200	1491900	1915100	1825800	1940500	1914000	14292000	16985000	15344000	17568000	15650000	16915000	14671000	16319000	16130000	18150000	15035000
1695100	912040	1382000	915610	968450	901890	1027700	865310	1395800	851790	1332500	1773700	929120	926420	1092500	1626600	828380	1318500	797470	936590	818020	1288700	4894500	3035900	2055800	3764900	2422600	4395000	3759000	4226200	3022400	3257300	4079000	4417200	8467800	4080000	6390600	5089100	20223000	3775100	4270400	4490900	5600400	1870100	2253600	3909400	2280100	2931100	2295800	4406900	4267000	3352900	2349900	2990000	6461800	3348000	4748700	4383400	5716500	2988700	4862400	4537900	5141100	3037200	5836400
172860	214130	228140	110970	167700	104360	117560	283550	175250	183120	192770	189300	88487	148700	202380	213190	136290	159130	157770	203860	135950	197910	585970	543160	429580	663300	284710	358030	327950	460410	474390	392910	2576100	2149400	1730800	1210400	1262900	1032300	2694200	3665300	1075200	2197100	1312400	373420	312970	388040	326130	417750	513070	254630	486680	314130	328820	383790	1023200	1389500	1139200	1122900	1419800	1273700	1836400	1174000	1271100	2308300	1199400
32604	54474	46171	46504	45339	39194	64540	39783	48636	40044	40365	20302	46783	25796	27668	16994	36054	13600	31177	21828	31244	30752	21916	29912	25822	20608	23064	27256	29332	34188	28157	25714	26460	32327	38831	39832	32346	28953	51310	42818	54616	25818	39256	51782	48107	53269	57273	55028	46611	54857	47983	90231	47820	48636	245170	223460	344960	277860	267790	257810	180700	204630	259870	229260	175220
12941	13630	13101	15964	12246	13333	16578	10585	18251	17040	13615	10262	11762	10673	9719.5	9750.7	12327	13850	13961	8904.1	12883	12140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6660.5	6445.9	8621.9	8923.6	8209.3	8410.8	7076.3	7478	8105.3	6307.7	19405	15109	15386	16727	15545	18655	15164	14083	14721	18313	15017	39544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60144	80401	48903	49827	58422	69012	65881	60533	55283	66854	78047	26385	24582	36799	41192	21741	31533	26616	28422	38432	28437	30719	108260	138760	146940	121880	136810	144310	132150	138940	118130	114550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61866	75950	85391	36618	114810	50433	59675	45947	57058	48644	54982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38988	34282	47498	67679	37427	40185	51093	29930	127430	45448	65045	38997	35842	39888	63469	30966	38319	43484	31046	35744	30662	56722	54398	42055	43657	42444	38023	45328	95111	63129	50012	67155	65244	70499	93015	107330	92910	69529	131040	72759	72264	70521	93981	57103	34002	53315	48152	66571	49877	41473	47717	58867	48687	45504	205830	378060	359350	365920	1447600	241300	261110	243480	291450	240060	299780
68853	113870	80387	84581	100760	88711	87610	86367	73378	81219	90378	42607	54976	72291	65185	107130	58820	71888	73739	70444	64590	67926	110850	143760	148410	146800	130800	133760	140960	187210	153930	138770	41874	44825	40844	37316	42626	40991	36541	38147	41322	36778	37679	44148	64147	43655	52175	44530	54164	41238	61462	41689	47548	41904	115290	165040	184810	178940	178150	179810	187820	187590	158030	211290	145000
562660	608630	724720	547040	734250	572370	685690	433620	478080	630910	706270	612360	511110	594360	587830	834510	689240	509120	382120	630120	606730	773430	1735500	1296100	1335600	1870300	1235200	2446400	1215500	1219200	1359600	1812300	2784300	4820300	7715700	3654500	5975900	4283600	11687000	4350500	3023000	3548900	5928500	1501600	1385800	1593700	1187700	1113500	1557700	2970300	1366200	1787400	1336300	1601100	7211800	6157600	2566700	6562000	5686400	4508900	7131000	3714300	6004600	5127300	5944400
8791.8	20971	14590	15171	11274	17009	19870	15177	14715	19008	12778	6694.4	11061	17194	20171	15937	24119	11591	19280	10401	11550	12755	41865	42664	49862	32006	34481	38465	41762	73777	47176	42446	18784	18725	4700.8	30959	15495	14425	20352	26833	9315.4	9060.9	15931	28979	45611	45591	50860	39652	45554	33907	75786	37561	43619	34125	12718	38857	48744	41564	21250	52162	15381	38120	28347	42256	23463
112460	116270	531260	163970	126190	86730	222180	105010	262670	97754	137130	110150	107830	187250	137080	118530	119710	132080	150160	218400	139250	165660	484590	227540	233490	199010	261070	359250	266710	610020	361270	415310	941460	1152100	3720700	1021900	1703900	543350	741670	1637400	1277700	653350	1475500	193230	196890	192670	206440	208670	181530	304430	171880	177830	175670	272740	273650	254410	263770	224260	215900	283440	223470	209150	282340	229200	483010
169100	201160	170860	88026	147260	214970	210760	133850	215130	174280	154360	202820	162820	210670	167560	168960	178800	207310	149710	263800	186670	164090	216220	341390	284250	359820	190040	300430	238480	362440	302640	254660	824380	1075600	779480	855350	977170	702410	436740	555260	452970	693200	687570	247510	297010	431000	132620	221720	121970	281970	124770	270130	126530	255170	168540	90396	131940	84874	272590	78354	88701	100290	80234	74769	200050
2269600	1794700	1997500	1530600	1865800	1848600	1854100	1359500	2323400	1723400	2239400	1636200	1415100	1770400	1602900	2067400	1632600	1634600	1459800	1659800	1430100	1984200	7035400	5356600	5092900	6209900	4179300	5574300	4335300	5849700	4480600	4861700	27846000	19628000	28712000	22554000	21902000	17277000	33765000	13950000	15344000	18137000	20703000	4687400	4037400	5406000	2256400	4047100	3375700	5703800	2466500	5186100	3126600	4016100	19057000	7682500	15882000	5555700	18930000	8376000	6767800	8297700	5412800	8235900	15424000
1048900	1031200	1064000	1224500	869790	1066000	1295200	858340	1229600	1123000	1152100	909130	828560	883710	865520	948320	914870	1016100	975600	749100	898930	959560	2509400	2013400	2282300	1557200	1902700	2504900	2212100	2999000	1994100	2127700	7816500	6843000	7416400	7028200	8218900	6019900	6341500	5981900	8284100	7834200	7251600	2239700	2093800	1899700	2316400	1815100	2093000	1485900	2418600	1959100	2063700	1855300	10975000	12199000	9294300	14374000	13237000	12288000	9409000	11885000	11762000	11878000	10331000
890700	808310	1007000	763480	1140600	746190	888970	626310	986390	694420	897250	763220	616640	805420	699140	1085200	633290	877320	679210	783990	644500	884490	2771900	2150200	1916300	3172100	2040200	2665800	1732200	2801800	2105700	2358800	3318100	2799700	4994600	2266300	5065600	2418500	3686900	2699400	3298000	2906300	3413900	2432000	1492700	1993100	1936800	2189500	1854200	1927700	1690700	1782900	1845700	1758800	3103700	3340300	3269400	3563200	3733900	3094900	5846100	2979500	3833500	3656900	3227800
35083	47921	79962	37978	33789	30563	49908	30282	38618	47321	38182	2208.1	1182.1	2377.8	2920.6	4577.3	2267.2	3134.3	3645.5	2160.3	2074.2	2382.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31698	32393	31662	28267	24105	26087	28925	27798	31678	29542	32978	23112	23684	30903	30859	34372	29033	25230	33215	24049	26129	28464	33646	37204	33421	34712	34097	44748	39588	46985	35443	31707	100430	133180	171080	136380	131310	126190	148060	118800	89267	106460	148390	65712	69394	46427	69473	68963	69785	63495	64839	73208	55647	56137	76481	85540	87111	98190	106610	81416	93956	95558	82316	89952	85784
44211	32857	42369	23745	60823	20217	52596	23134	36479	21555	58305	2951.4	1395.8	1399.1	1333.3	1965.4	1365.9	1132.9	1074	985.15	1643.2	3461.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
219120	302700	216870	291560	167810	322620	252580	212230	205840	336790	293550	204290	265940	356670	335200	202930	369290	295350	315770	242050	274620	317790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
474110	555170	453610	371800	345130	309950	436780	442870	441520	552820	452590	494010	474320	566920	601790	442080	568650	768640	444010	451360	567800	643910	917970	1256800	1153600	978870	859500	1046400	1207200	1277900	1013700	1082500	2587100	3180000	2196300	2709900	2619900	2336100	2283700	2994700	3093000	2913600	2392000	1240700	1277600	1094000	1351600	1197700	1470700	820340	1352500	1261300	1019700	1049800	3351000	3550000	3004500	4037400	3481000	3782700	2517000	3794900	3266700	3415100	3016800
746750	775870	944680	744200	940100	783410	1098300	736660	1121600	769600	1066600	724020	744400	860040	700070	955610	761830	891430	725220	799470	572460	932610	1233900	1389400	1462900	1788400	1240400	1864100	1450000	1969700	1368900	1461100	12098000	8088400	9312400	8430200	13600000	8203700	9810900	8877800	14729000	10015000	9773200	2415400	1603700	2369200	2375300	1599900	2063000	1707100	2053400	2031100	1956600	1794600	10452000	20280000	15101000	20716000	16863000	19129000	20384000	18734000	23724000	23134000	15317000
7440.5	9398.9	6169	8765.3	7082.1	7069.3	7984	7346	7720.6	9857.8	8850.4	30042	24200	35335	37014	38027	35967	25905	29124	29966	22928	32411	14350	14454	14681	17403	12939	19030	11946	17162	16636	15702	43526	56002	54795	61740	59766	45296	76283	44945	39292	49211	62189	40371	42428	49683	49425	54646	49242	61786	47916	41917	47677	43562	120270	170260	150200	180680	139180	160800	149710	138290	149490	159560	139660
250570	253740	290340	249380	318850	253810	254510	195420	270470	212260	309390	204100	236070	325250	264580	291280	292190	321160	228950	242790	237180	348830	569120	533050	502100	686610	511230	582810	587800	634240	442650	573260	1909900	1736200	2889700	1672200	3261000	1603600	1698600	1260600	1636100	1406700	1909700	481610	494930	495580	538220	406530	418270	345740	394770	407180	397090	432480	1864000	2714100	2110100	3058500	3195200	2044300	3811300	2347800	3066900	1812900	2418500
29285	79377	54229	42414	31023	34937	47159	40466	45368	53713	50417	44848	34583	37836	48327	30195	48116	46265	79896	42120	50228	46954	53226	176310	112480	59326	109410	54494	185940	93115	107420	85609	337630	798190	204700	271870	296780	321330	176190	552660	221240	233880	225820	48022	70598	56305	81733	134960	52387	84365	55762	52546	73581	61953	56157	88204	71765	108280	82433	55549	54952	96353	78620	109020	81781
744280	742790	676780	664930	558380	686340	782030	689550	763770	771020	790300	704330	624020	778520	732560	719220	722110	791430	743400	660470	702010	797010	1761600	1594700	1599700	1415000	1516500	1934700	1721200	2140300	1846600	1591500	3534800	3730600	3783200	3621900	3700500	3336300	3515500	3861500	4015100	3883300	3921200	1736400	1463400	1542900	1868500	1633900	1763600	1447100	1633000	1454800	1717500	1479200	4258800	5939900	4601500	5410600	5407100	4574300	4542400	5516700	5369100	5125900	4393100
97145	116930	420630	150760	129780	87629	189090	108520	217380	105700	171470	83149	105220	137690	106600	76044	94301	102860	103050	166880	106520	190050	207280	143200	142020	137400	138330	167780	143960	283160	181930	216950	814580	915480	2418500	821440	1089200	530890	617060	1155000	996170	650590	1245200	152410	176450	186000	189050	163120	155400	219060	147660	153540	160600	187640	758470	637540	674410	658520	515690	745100	439690	615820	809440	790680	1334000
3700800	2317100	2486800	2022100	2144600	2184900	3456800	1800400	3305800	2144800	2857900	2205400	1700500	2907300	2003300	2081500	1910300	1950900	1200000	3508700	1663500	2966400	7754400	7352900	6019600	7084100	7544300	11097000	5023000	9326700	7312400	7403600	29682000	38425000	46821000	39082000	55046000	23797000	44772000	32589000	26347000	26569000	35698000	8232400	4516100	13046000	4918500	11189000	6941700	7091100	4136100	10143000	4293900	5790400	64685000	50304000	60786000	34963000	35373000	36487000	49995000	38913000	27066000	41967000	39476000
5332.5	4367.8	4166.8	3913.8	3396.6	4390.8	4489.6	3642.6	3724.3	9964.1	5383.6	2132.3	2148.1	2923.5	2725.6	1697.4	3179.4	2370	3756.8	2402	1912.8	2623.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51659	23453	12686	38138	24182	24637	23650	42990	37257	20467	17181
52620	75962	100910	66190	64709	53551	104810	56326	99773	59073	62587	19256	18887	25366	26498	20209	25635	18815	24143	22364	22147	26119	91691	80784	80016	70605	69076	78555	92404	132560	93958	91678	5816.1	7698.5	13520	8067.3	10673	8243	12423	9086.3	11983	9335.9	10648	95996	83473	115420	103050	103910	89881	133100	97403	138190	92521	93432	42810	54713	58632	55810	52849	67544	80401	41065	61035	57904	49079
12341	9616.9	16957	9530.1	11158	9781.3	17023	8547	13691	9763.8	12772	21421	11268	21568	12761	22522	14533	12636	14668	14134	10464	19195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
124990	116750	112500	110340	94250	90943	114650	78574	102850	113210	118980	135320	93058	142070	122820	112660	111550	105870	121370	116960	120750	134410	522400	249050	368570	365720	292370	397780	310780	392160	384060	359930	107570	129230	182920	131480	171620	124160	287520	130620	137410	119060	129860	210290	209470	284830	245500	276330	269630	311460	230210	303100	250380	196040	491520	394510	399110	458690	425620	415380	394940	364890	364610	371980	351240
1081500	695580	791700	720500	863580	810890	1126300	549600	746180	812510	918530	806290	450320	801970	625160	1046300	700890	783920	721660	698490	620020	836370	2580500	1484800	1526900	1350600	1709400	2628000	1602200	2036100	1586000	1859600	5263100	4787900	9472400	4662700	7598000	4341300	7497900	3552900	4813700	4726000	6229300	2597900	2206600	2526200	2639900	2157700	2345600	2181800	2161900	2280100	2482000	2271200	6983200	8037200	7333300	8818900	8881700	7164500	9905200	7760300	8106300	6852200	7710200
43872	47032	59271	42238	59653	44713	58395	44129	62817	48054	54920	35946	32857	44096	41403	53847	38096	40864	38601	38377	35440	45314	26302	29129	22030	21344	18065	35458	27028	30189	23422	26182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56908	41625	54991	62318	83484	63252	79817	55016	54530	60800	42837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
88433	39835	67088	35421	62119	32532	65123	33444	46056	36542	65361	37436	7700.5	10300	9962.8	46840	10939	11370	11763	30586	11981	30777	75446	31968	29831	51632	28215	62005	31239	55358	32147	45881	100980	85083	163620	83479	150340	73359	250160	73284	103040	87745	110210	41043	28363	61608	30824	67366	30849	63627	26882	35958	26497	43398	173350	95960	148340	103710	168060	99426	165630	94242	120110	97627	109460
23575	27598	19060	19619	14658	21176	22519	21445	18674	25517	22800	8383.3	8075.1	11837	6927.9	5635.3	10142	5043.2	10775	4840.9	6736.8	7216.1	14258	16621	15393	17906	15699	19631	18268	18215	17498	15412	33348	38870	41955	42261	32472	32781	39866	34922	30903	32742	32970	30704	26989	38184	40502	35435	34380	33253	38311	27607	32053	29085	31131	17039	30584	22092	33041	17902	35344	17283	20370	17263	27007
46476	51826	43492	49741	53394	39452	46781	39333	65138	48723	53227	61318	60484	50584	67289	139920	67577	63083	65448	57930	63967	64858	58519	42450	42695	40151	38607	46092	47179	56302	49416	48978	56552	46235	82011	56553	122800	51362	98878	44488	49023	52419	61664	93088	64732	80206	99791	86456	75735	96735	86710	87515	112570	71101	330530	353910	373960	411980	348200	421370	302620	330150	395660	354460	299480
525140	662720	630190	569650	553260	632030	648440	529590	644430	594590	641830	558330	551200	604340	621190	684610	618210	674630	649230	518170	636830	612000	1589900	1570500	1713600	1508800	1593000	1763200	1953400	2576000	1820900	1690800	5135700	4507000	4666400	4382000	4441600	4057900	3394600	2342700	4419400	5201400	4331600	1663500	1580100	1327300	1734300	1438200	1799600	1195100	1719100	1708500	1769200	1377700	6750200	7325600	7191500	8231700	7745300	8426100	7216400	7717900	7142900	6513600	6072500
596950	687930	713650	594620	571870	702110	762310	583340	670050	669400	735250	587790	551210	594900	610090	651830	661280	719260	601360	539860	640680	671990	1286500	1404700	1462100	1157900	1274500	1543500	1566700	2163300	1437800	1456300	4888500	4719800	4336600	4242700	4384900	4475500	3163500	2536700	4468100	5156000	4472600	1507700	1400800	1343700	1559700	1368800	1594700	1223900	1659500	1669600	1702600	1217600	6425200	6782400	6962500	7838700	7075800	7905000	7034900	7336300	6695800	6480000	5281500
249970	180580	228690	159750	249530	149480	190650	128810	177660	141250	190680	80496	91425	136850	133330	169160	131750	114870	127210	180350	102650	152930	262690	245640	250840	249640	132870	189330	205210	293840	204350	209540	579200	591850	912090	555730	1016000	299230	898960	384420	352190	414770	614130	256430	371840	419110	313290	314940	292730	301730	282750	254930	259500	262340	593200	762340	1246000	834880	709890	822280	957340	634810	602940	754700	743030
307050	342680	318880	302650	300460	337680	364410	266550	335660	320910	376350	285680	267060	274310	266090	468500	306760	324920	297070	248450	320370	319720	655790	605870	694740	552630	603060	710720	761010	1029600	679400	687540	1113900	825400	950950	894190	999020	938090	828440	633230	1008300	1149800	1010300	889860	747620	725050	945020	683380	905640	688610	991420	964830	1018800	760140	1751300	2020000	1783700	2286900	1951400	2179000	1771800	2016000	1921900	1843500	1594000
26712	31373	29548	23761	28853	27310	25889	23495	30882	27848	28969	23831	20714	28175	26772	36020	23448	28501	25362	26079	24748	28007	76422	49943	50768	53329	48813	67193	53750	81233	53604	60517	27627	33485	35539	42245	55425	24757	38291	33794	28486	29076	37713	30002	27282	31335	29487	37835	27133	32451	32708	27384	27577	27623	62093	56388	65844	61051	52054	58537	48065	46936	53217	48603	43894
