Majority.protein.IDs	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11
P01861	194080	154580	638300	100120	124340	139830	162430	187620	170230	170440	141240	108740	369690	249620	187700	140130	227370	371830	103020	166790	169180
P01871	774670	3941200	1749900	1346700	1995200	1134400	2895900	2040300	1559900	1298700	607810	1181300	1364800	1067700	2612000	950770	1244400	804730	1101900	1173400	918580
P01876	856480	1766100	1298200	468820	1152500	839550	2783700	1138400	1414000	1021400	1081400	1043000	1268600	1956200	1814000	997030	2577700	1382300	1427200	1851000	1377800
P01877	173780	195050	231100	108360	203030	156130	520340	239560	139960	170790	187460	97737	116140	154740	124420	87912	281150	184290	277850	152540	156060
P01880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24392	8390.7	11070	13318	22076	14439	13012	10390	11033	11377	13588
P02042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79444	67378	75941	76370	125280	65274	65779	74193	96382	80162	59637
P02144	41838	24271	18723	20756	15861	38361	24516	29503	18410	35228	28514	27619	25673	31886	46532	28762	37790	24180	24227	19999	31135
P02452	16270	5365.3	5345.3	8103.6	3673.4	9701.5	6588.3	9842.8	5930.1	10479	15376	14319	28566	13864	50140	14879	23346	13534	12310	12059	18454
P02647	12610000	12264000	12751000	14735000	12890000	9663600	11543000	14344000	15154000	13349000	13888000	8852100	13357000	11129000	10163000	13533000	12615000	13254000	11993000	14922000	10333000
P02649	2395800	1967300	2157000	3271800	2281900	3958800	2408600	2241200	2631200	3197600	2802200	1572900	2120800	2359400	2480200	2393200	3362900	3242900	2116200	1838100	2375800
P02652	1503100	1748000	1893500	1671000	1951300	1547100	2165400	1943000	2106600	1630600	4302700	3761100	3808500	3369000	3597500	4427100	3165900	4380400	3457400	7351200	2112800
P02654	2121500	1361800	1761500	3313400	1185700	2548400	1417700	1847700	2214600	2193100	1714000	720380	1568700	1139200	1661000	1244700	2498000	1764800	1515100	1295100	1482600
P02655	656230	271110	314230	502760	361940	933520	233530	321890	330080	553680	910780	383210	821570	864940	1076400	456070	1599000	704000	740350	518300	843530
P02656	1772900	615320	1135900	2518300	1104400	5438900	534450	570270	1111700	1575400	900630	423410	933730	890350	1361300	498800	1806400	598420	689930	618290	846160
P02671	3202400	1264900	1234500	1401700	1088000	1256200	1011400	1650200	1515400	1519800	1767600	1054500	1337100	747220	1132300	893250	2077900	1091600	1132200	747560	1473400
P02675	272230	171290	145490	168510	174860	132760	150830	172400	136910	301660	59080	56251	129040	62654	121070	79326	167030	93003	72806	66411	227340
